"","b1_division","b1_teams","b1_avg_AG","b1_away_as","b1_away_ds"
"1","B1","Anderlecht","1.3591","0.9622","0.6108"
"2","B1","Antwerp","1.3591","0.981","0.6108"
"3","B1","Cercle Brugge","1.3591","0.7358","0.9773"
"4","B1","Charleroi","1.3591","0.8934","0.8726"
"5","B1","Club Brugge","1.3591","0.946","0.8726"
"6","B1","Eupen","1.3591","0.946","1.3962"
"7","B1","Genk","1.3591","1.6292","0.7417"
"8","B1","Gent","1.3591","1.4716","0.8552"
"9","B1","Kortrijk","1.3591","1.0301","1.181"
"10","B1","Mechelen","1.3591","0.566","1.3156"
"11","B1","Oostende","1.3591","0.8339","1.5067"
"12","B1","Oud-Heverlee Leuven","1.3591","1.0791","0.8959"
"13","B1","Seraing","1.3591","0.946","1.4398"
"14","B1","St Truiden","1.3591","0.7358","0.6516"
"15","B1","St. Gilloise","1.3591","1.5697","0.8959"
"16","B1","Standard","1.3591","0.932","0.9773"
"17","B1","Waregem","1.3591","0.7358","1.1344"
"18","B1","Westerlo","1.3591","0.946","1.0908"
"19","D1","Augsburg","1.3287","1.1916","1.2663"
"20","D1","Bayern Munich","1.3287","2.007","0.6332"
"21","D1","Bochum","1.3287","0.521","1.4611"
"22","D1","Dortmund","1.3287","1.1","0.7932"
"23","D1","Ein Frankfurt","1.3287","1.1916","0.9045"
"24","D1","FC Koln","1.3287","0.6899","1.0854"
"25","D1","Freiburg","1.3287","1.0035","1.0402"
"26","D1","Hertha","1.3287","0.6842","1.2334"
"27","D1","Hoffenheim","1.3287","0.9408","0.995"
"28","D1","Leverkusen","1.3287","1.1289","0.995"
"29","D1","Mainz","1.3287","1.0662","0.9497"
"30","D1","Mgladbach","1.3287","0.8153","1.2211"
"31","D1","RB Leipzig","1.3287","1.3171","0.8593"
"32","D1","Schalke 04","1.3287","0.4105","0.7894"
"33","D1","Stuttgart","1.3287","0.8153","1.1759"
"34","D1","Union Berlin","1.3287","0.9842","0.8349"
"35","D1","Werder Bremen","1.3287","1.0263","1.2334"
"36","D1","Wolfsburg","1.3287","1.0662","0.5427"
"37","D2","Bielefeld","1.2546","0.9299","1.0495"
"38","D2","Braunschweig","1.2546","0.7971","1.3644"
"39","D2","Darmstadt","1.2546","1.1956","0.6822"
"40","D2","Fortuna Dusseldorf","1.2546","0.7971","0.9446"
"41","D2","Greuther Furth","1.2546","0.8635","1.207"
"42","D2","Hamburg","1.2546","1.4613","0.8921"
"43","D2","Hannover","1.2546","0.9963","0.8396"
"44","D2","Hansa Rostock","1.2546","0.7306","0.8396"
"45","D2","Heidenheim","1.2546","0.9299","0.6822"
"46","D2","Holstein Kiel","1.2546","1.3949","1.207"
