"","arg_division","arg_teams","arg_avg_AG","arg_away_as","arg_away_ds"
"1","Liga Profesional","Aldosivi","1.142","1.0008","1.3118"
"2","Liga Profesional","Argentinos Jrs","1.142","0.8757","0.6377"
"3","Liga Profesional","Arsenal Sarandi","1.142","1.0008","1.5305"
"4","Liga Profesional","Atl. Tucuman","1.142","1.0216","1.2754"
"5","Liga Profesional","Banfield","1.142","1.0216","0.7652"
"6","Liga Profesional","Boca Juniors","1.142","1.376","0.4373"
"7","Liga Profesional","Central Cordoba","1.142","1.376","0.6559"
"8","Liga Profesional","Colon Santa FE","1.142","2.0015","0.6559"
"9","Liga Profesional","Defensa y Justicia","1.142","0.5838","1.7855"
"10","Liga Profesional","Estudiantes L.P.","1.142","1.6054","0.6377"
"11","Liga Profesional","Gimnasia L.P.","1.142","0.6255","0.9839"
"12","Liga Profesional","Godoy Cruz","1.142","1.376","1.2025"
"13","Liga Profesional","Huracan","1.142","1.0008","1.0932"
"14","Liga Profesional","Independiente","1.142","0.7662","0.6696"
"15","Liga Profesional","Lanus","1.142","0.8757","0.9839"
"16","Liga Profesional","Newells Old Boys","1.142","1.0008","1.6398"
"17","Liga Profesional","Patronato","1.142","0.5838","1.658"
"18","Liga Profesional","Platense","1.142","0.5838","0.6377"
"19","Liga Profesional","Racing Club","1.142","0.3284","0.7652"
"20","Liga Profesional","River Plate","1.142","1.6419","0.5739"
"21","Liga Profesional","Rosario Central","1.142","0.2919","1.2754"
"22","Liga Profesional","San Lorenzo","1.142","1.1675","0.8928"
"23","Liga Profesional","Sarmiento Junin","1.142","0.3753","1.4211"
"24","Liga Profesional","Talleres Cordoba","1.142","1.1258","1.2025"
"25","Liga Profesional","Union de Santa Fe","1.142","0.6255","0.9839"
"26","Liga Profesional","Velez Sarsfield","1.142","1.6262","0.5466"
"27","Admiral Bundesliga","A. Klagenfurt","1.4569","0.6864","0"
"28","Admiral Bundesliga","Admira","1.4569","0.5148","1.2117"
"29","Admiral Bundesliga","Altach","1.4569","0.6864","1.368"
"30","Admiral Bundesliga","Austria Vienna","1.4569","1.0296","0.6949"
"31","Admiral Bundesliga","Hartberg","1.4569","0.8151","1.1726"
"32","Admiral Bundesliga","LASK","1.4569","0.9867","0.8208"
"33","Admiral Bundesliga","Rapid Vienna","1.4569","1.3728","1.0163"
"34","Admiral Bundesliga","Ried","1.4569","0.6006","1.1335"
"35","Admiral Bundesliga","Salzburg","1.4569","1.8447","0.6645"
"36","Admiral Bundesliga","St. Polten","1.4569","0.9286","1.1404"
"37","Admiral Bundesliga","Sturm Graz","1.4569","0.858","0.6645"
"38","Admiral Bundesliga","Tirol","1.4569","1.0725","1.329"
"39","Admiral Bundesliga","Wolfsberger AC","1.4569","1.292","0.8829"
"40","Serie A","America MG","1.0596","0.9438","1.7062"
"41","Serie A","Athletico-PR","1.0596","1.4156","0.8531"
"42","Serie A","Atletico-MG","1.0596","1.0617","0.6398"
"43","Serie A","Atletico GO","1.0596","0.8258","0.9597"
"44","Serie A","Bahia","1.0596","1.3482","1.4625"
"45","Serie A","Bragantino","1.0596","1.4681","0.8531"
"46","Serie A","Ceara","1.0596","0.5393","0.7312"
"47","Serie A","Chapecoense-SC","1.0596","1.0617","1.5996"
"48","Serie A","Corinthians","1.0596","0.7078","0.4265"
"49","Serie A","Cuiaba","1.0596","0.8089","0.7312"
"50","Serie A","Flamengo RJ","1.0596","2.2021","0.5687"
"51","Serie A","Fluminense","1.0596","0.7078","0.7465"
"52","Serie A","Fortaleza","1.0596","0.9438","1.1375"
"53","Serie A","Gremio","1.0596","0.4719","1.2796"
"54","Serie A","Internacional","1.0596","1.2977","1.0664"
"55","Serie A","Juventude","1.0596","0.4719","0.9953"
"56","Serie A","Palmeiras","1.0596","1.3482","0.6094"
"57","Serie A","Santos","1.0596","0.9438","1.5843"
"58","Serie A","Sao Paulo","1.0596","0.734","1.327"
"59","Serie A","Sport Recife","1.0596","0.7078","0.7465"
"60","Super League","Beijing Guoan","1.2407","0.6909","1.0286"
"61","Super League","Cangzhou","1.2407","0.9211","1.5428"
"62","Super League","Changchun Yatai","1.2407","1.3817","0.9257"
"63","Super League","Chongqing Liangjiang Athletic","1.2407","0.5757","1.44"
"64","Super League","Dalian Pro","1.2407","0.806","1.44"
"65","Super League","Guangzhou City","1.2407","0.806","0.72"
"66","Super League","Guangzhou FC","1.2407","2.0726","0.8229"
"67","Super League","Hebei","1.2407","0.403","0.72"
"68","Super League","Henan Songshan Longmen","1.2407","0.4606","0.8229"
