"","b1_division","b1_teams","b1_avg_HG","b1_home_as","b1_home_ds"
"1","B1","Anderlecht","1.4545","1.2605","0.6781"
"2","B1","Antwerp","1.4545","1.8334","0.5651"
"3","B1","Cercle Brugge","1.4545","0.55","0.6781"
"4","B1","Charleroi","1.4545","1.0313","1.3562"
"5","B1","Club Brugge","1.4545","1.4896","0.6781"
"6","B1","Eupen","1.4545","0.4583","1.3562"
"7","B1","Genk","1.4545","1.375","0.5651"
"8","B1","Gent","1.4545","1.2375","1.085"
"9","B1","Kortrijk","1.4545","0.4125","1.085"
"10","B1","Mechelen","1.4545","1.2605","1.3562"
"11","B1","Oostende","1.4545","0.6875","0.9493"
"12","B1","Oud-Heverlee Leuven","1.4545","0.9625","1.2206"
"13","B1","Seraing","1.4545","0.1375","1.2206"
"14","B1","St Truiden","1.4545","0.6875","1.085"
"15","B1","St. Gilloise","1.4545","1.1","0.6781"
"16","B1","Standard","1.4545","1.0313","0.7911"
"17","B1","Waregem","1.4545","0.8021","2.0343"
"18","B1","Westerlo","1.4545","1.375","0.5425"
"19","D1","Augsburg","1.5556","0.3857","1.2678"
"20","D1","Bayern Munich","1.5556","1.4464","0.5282"
"21","D1","Bochum","1.5556","0.6428","1.6904"
"22","D1","Dortmund","1.5556","0.9","0.7043"
"23","D1","Ein Frankfurt","1.5556","1.0285","1.1269"
"24","D1","FC Koln","1.5556","0.9643","0.7043"
"25","D1","Freiburg","1.5556","0.6428","0.7043"
"26","D1","Hertha","1.5556","0.7714","0.9861"
"27","D1","Hoffenheim","1.5556","1.1571","0.7043"
"28","D1","Leverkusen","1.5556","1.0285","1.2678"
"29","D1","Mainz","1.5556","0.3214","0.8804"
"30","D1","Mgladbach","1.5556","1.5428","0.5635"
"31","D1","RB Leipzig","1.5556","1.7678","0.3522"
"32","D1","Schalke 04","1.5556","1.2857","2.113"
"33","D1","Stuttgart","1.5556","0.3857","0.9861"
"34","D1","Union Berlin","1.5556","1.2857","0.5282"
"35","D1","Werder Bremen","1.5556","1.6071","1.4086"
"36","D1","Wolfsburg","1.5556","1.125","1.4086"
"37","D2","Bielefeld","1.7071","1.0544","1.5968"
"38","D2","Braunschweig","1.7071","0.9763","1.1976"
