"","arg_division","arg_teams","arg_avg_HG","arg_home_as","arg_home_ds"
"1","Liga Profesional","Aldosivi","1.3745","0.5659","0.7966"
"2","Liga Profesional","Argentinos Jrs","1.3745","1.0509","0.5975"
"3","Liga Profesional","Arsenal Sarandi","1.3745","0.8892","0.8962"
"4","Liga Profesional","Atl. Tucuman","1.3745","0.97","1.4937"
"5","Liga Profesional","Banfield","1.3745","1.1317","1.195"
"6","Liga Profesional","Barracas Central","1.3745","0.873","1.7028"
"7","Liga Profesional","Boca Juniors","1.3745","1.2732","0.8215"
"8","Liga Profesional","Central Cordoba","1.3745","1.0509","1.5933"
"9","Liga Profesional","Colon Santa FE","1.3745","1.1317","1.2945"
"10","Liga Profesional","Defensa y Justicia","1.3745","0.8892","0.9958"
"11","Liga Profesional","Estudiantes L.P.","1.3745","1.4551","0.8962"
"12","Liga Profesional","Gimnasia L.P.","1.3745","1.2934","0.8962"
"13","Liga Profesional","Godoy Cruz","1.3745","1.0509","1.0954"
"14","Liga Profesional","Huracan","1.3745","0.97","0.9958"
"15","Liga Profesional","Independiente","1.3745","1.0509","0.7966"
"16","Liga Profesional","Lanus","1.3745","0.8084","0.5975"
"17","Liga Profesional","Newells Old Boys","1.3745","0.97","0.4979"
"18","Liga Profesional","Patronato","1.3745","0.485","1.3941"
"19","Liga Profesional","Platense","1.3745","0.6467","0.9958"
"20","Liga Profesional","Racing Club","1.3745","1.3823","0.1792"
"21","Liga Profesional","River Plate","1.3745","1.4551","0.9958"
"22","Liga Profesional","Rosario Central","1.3745","0.97","0.8962"
"23","Liga Profesional","San Lorenzo","1.3745","0.97","1.4937"
"24","Liga Profesional","Sarmiento Junin","1.3745","1.2126","1.4937"
"25","Liga Profesional","Talleres Cordoba","1.3745","0.6467","0.9958"
"26","Liga Profesional","Tigre","1.3745","0.873","0.6274"
"27","Liga Profesional","Union de Santa Fe","1.3745","0.8084","1.195"
"28","Liga Profesional","Velez Sarsfield","1.3745","0.97","0.6971"
"29","Admiral Bundesliga","A. Klagenfurt","1.5744","0.8733","1.4759"
"30","Admiral Bundesliga","Admira","1.5744","0.6352","1.0474"
"31","Admiral Bundesliga","Altach","1.5744","0.397","1.1426"
"32","Admiral Bundesliga","Austria Vienna","1.5744","0.9924","0.8569"
"33","Admiral Bundesliga","Hartberg","1.5744","0.794","1.0474"
"34","Admiral Bundesliga","LASK","1.5744","1.0321","0.9046"
"35","Admiral Bundesliga","Rapid Vienna","1.5744","1.0835","0.8962"
"36","Admiral Bundesliga","Ried","1.5744","1.0321","1.0474"
"37","Admiral Bundesliga","Salzburg","1.5744","1.8261","0.3333"
"38","Admiral Bundesliga","Sturm Graz","1.5744","1.2703","1.095"
"39","Admiral Bundesliga","Tirol","1.5744","1.0586","1.0156"
"40","Admiral Bundesliga","Wolfsberger AC","1.5744","0.9924","1.1426"
"41","Serie A","America MG","1.3714","0.9722","0.8516"
"42","Serie A","Athletico-PR","1.3714","1.1459","1.0219"
"43","Serie A","Atletico-MG","1.3714","1.3672","1.0219"
"44","Serie A","Atletico GO","1.3714","0.9375","0.8759"
"45","Serie A","Avai","1.3714","1.3542","1.4598"
"46","Serie A","Botafogo RJ","1.3714","0.7292","1.3138"
"47","Serie A","Bragantino","1.3714","1.1459","1.0219"
"48","Serie A","Ceara","1.3714","0.6077","1.3625"
"49","Serie A","Corinthians","1.3714","0.9375","0.292"
"50","Serie A","Coritiba","1.3714","0.9375","0.8759"
"51","Serie A","Cuiaba","1.3714","0.4167","0.7299"
"52","Serie A","Flamengo RJ","1.3714","1.0417","0.5839"
"53","Serie A","Fluminense","1.3714","1.0417","1.3138"
"54","Serie A","Fortaleza","1.3714","0.3646","0.7664"
"55","Serie A","Goias","1.3714","0.8334","1.0219"
"56","Serie A","Internacional","1.3714","1.3542","1.1678"
"57","Serie A","Juventude","1.3714","0.625","1.7518"
"58","Serie A","Palmeiras","1.3714","1.6667","0.8759"
"59","Serie A","Santos","1.3714","1.25","0.8759"
