"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"146","E0",2022-11-13,"Fulham","Man United",1,2,"A",0,1,"A",4,4.02,1.91,"0-1","1-2",14,7,14,9,1,1,0,0,10,3,3,13,"10-3","Y","Y","N",2,0,"Fulham-Man United",165,3,84,20,100,60,260,1680,39,252,1092,2145,780
"148","E0",2022-12-26,"Crystal Palace","Fulham",0,3,"A",0,1,"A",2.09,3.66,3.68,"0-1","0-3",4,0,23,11,0,0,2,0,1,8,3,9,"1-8","Y","Y","N",0,2,"Crystal Palace-Fulham",182,3,36,50,0,150,450,1800,27,108,324,1638,1350
"161","E0",2022-12-31,"Fulham","Southampton",2,1,"H",1,0,"H",2.04,3.59,3.95,"1-0","2-1",8,2,9,3,0,1,0,0,4,4,3,8,"4-4","Y","Y","N",1,0,"Fulham-Southampton",176,3,42,10,0,30,80,420,24,126,336,1408,240
"170","E0",2023-01-03,"Leicester","Fulham",0,1,"A",0,1,"A",2.26,3.73,3.2,"0-1","0-1",15,6,11,2,2,6,0,0,6,3,1,9,"6-3","N","N","N",8,0,"Leicester-Fulham",17,1,9,80,1200,80,720,720,9,9,81,153,720
"177","E0",2023-01-12,"Fulham","Chelsea",2,1,"H",1,0,"H",3.43,3.6,2.21,"1-0","2-1",8,3,20,10,4,3,0,1,5,7,3,12,"5-7","Y","Y","N",7,1,"Fulham-Chelsea",145,3,76,95,2200,285,1140,7220,36,228,912,1740,3420
"186","E0",2023-01-15,"Newcastle","Fulham",1,0,"H",0,0,"D",1.53,4.55,6.52,"0-0","1-0",20,5,5,0,1,3,0,0,10,5,1,15,"10-5","N","N","N",4,0,"Newcastle-Fulham",89,1,14,40,300,40,600,560,15,14,210,1335,600
"199","E0",2023-01-23,"Fulham","Tottenham",0,1,"A",0,1,"A",3.33,3.88,2.15,"0-1","0-1",10,5,10,3,1,3,0,0,3,8,1,11,"3-8","N","N","N",4,0,"Fulham-Tottenham",45,1,10,40,300,40,440,400,11,10,110,495,440
"200","E0",2023-02-03,"Chelsea","Fulham",0,0,"D",0,0,"D",1.65,4.11,5.79,"0-0","0-0",12,3,10,4,1,4,0,0,6,2,0,8,"6-2","N","N","N",5,0,"Chelsea-Fulham",0,0,0,50,400,0,400,0,0,0,0,0,0
"129","E0",2022-11-05,"Nottm Forest","Brentford",2,2,"D",1,1,"D",2.83,3.43,2.66,"1-1","2-2",15,7,6,2,2,2,0,0,3,3,4,6,"3-3","Y","Y","Y",4,0,"Nottm Forest-Brentford",230,4,53,40,400,160,240,2120,24,212,318,1380,960
"140","E0",2022-11-12,"Nottm Forest","Crystal Palace",1,0,"H",0,0,"D",3.25,3.31,2.43,"0-0","1-0",9,2,8,0,1,4,0,0,1,5,1,6,"1-5","N","N","N",5,0,"Nottm Forest-Crystal Palace",54,1,10,50,400,50,300,500,6,10,60,324,300
"155","E0",2022-12-27,"Man United","Nottm Forest",3,0,"H",2,0,"H",1.31,5.7,11.66,"2-0","3-0",17,8,8,3,3,1,0,0,9,9,3,18,"9-9","Y","Y","N",4,0,"Man United-Nottm Forest",129,3,36,40,300,120,720,1440,54,108,648,2322,2160
"166","E0",2023-01-01,"Nottm Forest","Chelsea",1,1,"D",0,1,"A",5.43,3.98,1.7,"0-1","1-1",12,5,7,2,2,2,0,0,1,2,2,3,"1-2","Y","N","N",4,0,"Nottm Forest-Chelsea",79,2,41,40,400,80,120,1640,6,82,123,237,240
"172","E0",2023-01-04,"Southampton","Nottm Forest",0,1,"A",0,1,"A",2.1,3.52,3.82,"0-1","0-1",8,0,11,1,2,2,0,0,6,2,1,8,"6-2","N","N","N",4,0,"Southampton-Nottm Forest",27,1,9,40,400,40,320,360,8,9,72,216,320
"182","E0",2023-01-14,"Nottm Forest","Leicester",2,0,"H",0,0,"D",2.74,3.46,2.72,"0-0","2-0",15,5,6,1,1,2,0,0,3,5,2,8,"3-5","Y","N","N",3,0,"Nottm Forest-Leicester",141,2,40,30,200,60,240,1200,16,80,320,1128,480
"191","E0",2023-01-21,"Bournemouth","Nottm Forest",1,1,"D",1,0,"H",2.86,3.15,2.82,"1-0","1-1",16,4,20,5,1,2,0,0,4,6,2,10,"4-6","Y","N","N",3,0,"Bournemouth-Nottm Forest",111,2,48,30,200,60,300,1440,20,96,480,1110,600
"208","E0",2023-02-05,"Nottm Forest","Leeds",1,0,"H",1,0,"H",2.69,3.46,2.76,"1-0","1-0",6,2,10,4,4,2,0,0,0,2,1,2,"0-2","N","N","N",6,0,"Nottm Forest-Leeds",14,1,20,60,800,60,120,1200,2,20,40,28,120
"17","E0",2023-02-05,"Nottm Forest","Leeds",1,0,"H",1,0,"H",2.69,3.46,2.76,"1-0","1-0",6,2,10,4,4,2,0,0,0,2,1,2,"0-2","N","N","N",6,0,"Nottm Forest-Leeds",100.25,1.9375,33,44.6875,475,82.1875,403.125,1418.75,18.5625,85.25,320.375,978.6875,795.625
