"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"6","F1",2022-08-07,"Lens","Brest",3,2,"H",1,0,"H",1.6,4.6,5.51,"1-0","3-2",17,7,6,4,2,4,0,0,6,3,5,9,"Y","Y","Y",6,0,"Lens-Brest",302,5,38,60,800,300,540,2280,45,190,342,2718,2700
"14","F1",2022-08-14,"Ajaccio","Lens",0,0,"D",0,0,"D",3.31,3.29,2.4,"0-0","0-0",9,2,12,3,5,2,0,0,1,3,0,4,"N","N","N",7,0,"Ajaccio-Lens",0,0,0,70,1000,0,280,0,0,0,0,0,0
"21","F1",2022-08-20,"Monaco","Lens",1,4,"A",1,2,"A",1.78,4.1,4.6,"1-2","1-4",12,5,14,6,4,0,1,0,3,5,5,8,"Y","Y","Y",4,1,"Monaco-Lens",219,5,49,65,0,325,520,3185,40,245,392,1752,2600
"32","F1",2022-08-27,"Lens","Rennes",2,1,"H",0,0,"D",2.6,3.51,2.83,"0-0","2-1",17,4,12,6,0,1,0,0,7,2,3,9,"Y","Y","N",1,0,"Lens-Rennes",226,3,43,10,0,30,90,430,27,129,387,2034,270
"45","F1",2022-08-31,"Lens","Lorient",5,2,"H",2,1,"H",1.56,4.47,6.2,"2-1","5-2",15,8,10,3,1,3,0,0,4,5,7,9,"Y","Y","Y",4,0,"Lens-Lorient",363,7,99,40,300,280,360,3960,63,693,891,3267,2520
"57","F1",2022-09-04,"Reims","Lens",1,1,"D",0,0,"D",3.23,3.58,2.31,"0-0","1-1",17,4,20,4,2,2,0,1,4,4,2,8,"Y","N","N",4,1,"Reims-Lens",153,2,0,65,900,130,520,0,16,0,0,1224,1040
"61","F1",2022-09-09,"Lens","Troyes",1,0,"H",1,0,"H",1.52,4.75,6.35,"1-0","1-0",12,3,7,2,2,1,0,0,9,1,1,10,"N","N","N",3,0,"Lens-Troyes",39,1,4,30,200,30,300,120,10,4,40,390,300
"79","F1",2022-09-18,"Nantes","Lens",0,0,"D",0,0,"D",3.29,3.62,2.26,"0-0","0-0",12,4,8,2,1,1,0,0,3,7,0,10,"N","N","N",2,0,"Nantes-Lens",0,0,0,20,100,0,200,0,0,0,0,0,0
"90","F1",2022-10-02,"Lens","Lyon",1,0,"H",0,0,"D",2.57,3.87,2.67,"0-0","1-0",21,6,4,0,2,2,0,0,6,2,1,8,"N","N","N",4,0,"Lens-Lyon",82,1,7,40,400,40,320,280,8,7,56,656,320
"100","F1",2022-10-09,"Lille","Lens",1,0,"H",1,0,"H",2.49,3.59,2.92,"1-0","1-0",12,6,10,3,3,5,0,0,5,9,1,14,"N","N","N",8,0,"Lille-Lens",44,1,9,80,1500,80,1120,720,14,9,126,616,1120
"103","F1",2022-10-15,"Lens","Montpellier",1,0,"H",0,0,"D",1.43,5.11,7.78,"0-0","1-0",17,5,8,1,2,2,0,0,4,5,1,9,"N","N","N",4,0,"Lens-Montpellier",67,1,22,40,400,40,360,880,9,22,198,603,360
"113","F1",2022-10-22,"Marseille","Lens",0,1,"A",0,0,"D",2.21,3.57,3.45,"0-0","0-1",13,3,12,4,3,3,0,0,7,3,1,10,"N","N","N",6,0,"Marseille-Lens",78,1,20,60,900,60,600,1200,10,20,200,780,600
"121","F1",2022-10-28,"Lens","Toulouse",3,0,"H",0,0,"D",1.58,4.6,5.73,"0-0","3-0",13,8,9,0,2,1,0,0,6,8,3,14,"Y","Y","N",3,0,"Lens-Toulouse",236,3,0,30,200,90,420,0,42,0,0,3304,1260
"133","F1",2022-11-05,"Angers","Lens",1,2,"A",0,1,"A",5.02,4.09,1.72,"0-1","1-2",6,3,12,4,1,2,0,0,3,4,3,7,"Y","Y","N",3,0,"Angers-Lens",159,3,41,30,200,90,210,1230,21,123,287,1113,630
"142","F1",2022-11-12,"Lens","Clermont",2,1,"H",0,1,"A",1.43,5.03,7.96,"0-1","2-1",16,3,5,2,1,3,0,0,5,3,3,8,"Y","Y","N",4,0,"Lens-Clermont",167,3,56,40,300,120,320,2240,24,168,448,1336,960
"160","F1",2022-12-29,"Nice","Lens",0,0,"D",0,0,"D",3.25,3.06,2.58,"0-0","0-0",9,5,10,2,2,3,0,0,4,6,0,10,"N","N","N",5,0,"Nice-Lens",0,0,0,50,600,0,500,0,0,0,0,0,0
"166","F1",2023-01-01,"Lens","Paris SG",3,1,"H",2,1,"H",3.31,3.54,2.28,"2-1","3-1",10,4,16,6,2,3,0,0,3,7,4,10,"Y","Y","Y",5,0,"Lens-Paris SG",88,4,102,50,600,200,500,5100,40,408,1020,880,2000
"179","F1",2023-01-11,"Strasbourg","Lens",2,2,"D",2,2,"D",3.85,3.64,2.05,"2-2","2-2",9,6,15,8,1,1,0,0,3,4,4,7,"Y","Y","Y",2,0,"Strasbourg-Lens",73,4,52,20,100,80,140,1040,28,208,364,511,560
"181","F1",2023-01-14,"Lens","Auxerre",1,0,"H",0,0,"D",1.38,5.09,9.65,"0-0","1-0",10,2,6,1,2,4,0,1,9,2,1,11,"N","N","N",6,1,"Lens-Auxerre",59,1,29,85,1300,85,935,2465,11,29,319,649,935
