"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"5","F1","2022-08-07","Angers","Nantes",0,0,"D",0,0,"D",2.82,3.29,2.75,"0-0","0-0",16,6,14,4,3,3,0,0,3,6,15,13,0,9,28,"3-6","N","N","N",6,0,"Angers-Nantes",0,0,0,60,900,0,540,0,0,0,0,0,0
"11","F1","2022-08-12","Nantes","Lille",1,1,"D",1,0,"H",3.12,3.42,2.44,"1-0","1-1",10,1,16,5,1,4,0,0,5,11,14,10,2,16,24,"5-11","Y","N","N",5,0,"Nantes-Lille",104,2,58,50,400,100,800,2900,32,116,928,1664,1600
"22","F1","2022-08-20","Marseille","Nantes",2,1,"H",0,0,"D",1.61,4.37,5.74,"0-0","2-1",16,5,12,3,5,1,1,0,7,4,15,6,3,11,21,"7-4","Y","Y","N",6,1,"Marseille-Nantes",230,3,113,85,750,255,935,9605,33,339,1243,2530,2805
"33","F1","2022-08-28","Nantes","Toulouse",3,1,"H",0,1,"A",2.44,3.38,3.16,"0-1","3-1",16,8,9,3,0,3,0,0,4,5,11,9,4,9,20,"4-5","Y","Y","Y",3,0,"Nantes-Toulouse",181,4,71,30,0,120,270,2130,36,284,639,1629,1080
"44","F1","2022-08-31","Strasbourg","Nantes",1,1,"D",1,0,"H",1.93,3.76,4.15,"1-0","1-1",5,2,12,3,0,3,0,0,3,6,13,18,2,9,31,"3-6","Y","N","N",3,0,"Strasbourg-Nantes",113,2,51,30,0,60,270,1530,18,102,459,1017,540
"52","F1","2022-09-03","Nantes","Paris SG",0,3,"A",0,1,"A",9.2,6.2,1.31,"0-1","0-3",10,1,19,7,1,4,1,0,1,7,6,12,3,8,18,"1-7","Y","Y","N",5,1,"Nantes-Paris SG",140,3,39,75,1400,225,600,2925,24,117,312,1120,1800
"67","F1","2022-09-11","Lorient","Nantes",3,2,"H",1,1,"D",2.18,3.23,3.93,"1-1","3-2",13,5,9,4,2,3,0,0,2,5,9,17,5,7,26,"2-5","Y","Y","Y",5,0,"Lorient-Nantes",251,5,83,50,600,250,350,4150,35,415,581,1757,1750
"79","F1","2022-09-18","Nantes","Lens",0,0,"D",0,0,"D",3.29,3.62,2.26,"0-0","0-0",12,4,8,2,1,1,0,0,3,7,14,14,0,10,28,"3-7","N","N","N",2,0,"Nantes-Lens",0,0,0,20,100,0,200,0,0,0,0,0,0
"89","F1","2022-10-02","Monaco","Nantes",4,1,"H",3,0,"H",1.58,4.65,5.59,"3-0","4-1",10,6,7,2,0,1,0,0,7,7,8,10,5,14,18,"7-7","Y","Y","Y",1,0,"Monaco-Nantes",177,5,78,10,0,50,140,780,70,390,1092,2478,700
"99","F1","2022-10-09","Rennes","Nantes",3,0,"H",1,0,"H",1.52,4.73,6.43,"1-0","3-0",14,4,8,3,1,0,1,0,4,3,13,14,3,7,27,"4-3","Y","Y","N",1,1,"Rennes-Nantes",189,3,59,35,0,105,245,2065,21,177,413,1323,735
"106","F1","2022-10-16","Nantes","Brest",4,1,"H",2,1,"H",2.26,3.27,3.64,"2-1","4-1",17,6,11,2,0,2,0,0,7,5,12,10,5,12,22,"7-5","Y","Y","Y",2,0,"Nantes-Brest",247,5,188,20,0,100,240,3760,60,940,2256,2964,1200
"119","F1","2022-10-23","Nice","Nantes",1,1,"D",0,0,"D",1.91,3.66,4.4,"0-0","1-1",11,5,11,4,3,4,0,2,7,3,9,9,2,10,18,"7-3","Y","N","N",7,2,"Nice-Nantes",139,2,43,120,2700,240,1200,5160,20,86,430,1390,2400
"127","F1","2022-10-30","Nantes","Clermont",1,1,"D",0,0,"D",2.05,3.71,3.77,"0-0","1-1",13,4,10,6,0,2,0,0,2,2,15,9,2,4,24,"2-2","Y","N","N",2,0,"Nantes-Clermont",127,2,34,20,0,40,80,680,8,68,136,508,160
"137","F1","2022-11-06","Reims","Nantes",1,0,"H",0,0,"D",2.13,3.54,3.69,"0-0","1-0",22,9,15,5,2,4,0,1,10,4,7,13,1,14,20,"10-4","N","N","N",6,1,"Reims-Nantes",82,1,29,85,1300,85,1190,2465,14,29,406,1148,1190
"148","F1","2022-11-13","Nantes","Ajaccio",2,2,"D",0,0,"D",2.03,3.39,4.25,"0-0","2-2",15,5,13,4,3,3,0,0,9,6,16,17,4,15,33,"9-6","Y","Y","Y",6,0,"Nantes-Ajaccio",282,4,146,60,900,240,900,8760,60,584,2190,4230,3600
"152","F1","2022-12-28","Troyes","Nantes",0,0,"D",0,0,"D",2.49,3.58,2.93,"0-0","0-0",6,2,19,5,0,2,0,0,4,4,9,13,0,8,22,"4-4","N","N","N",2,0,"Troyes-Nantes",0,0,0,20,0,0,160,0,0,0,0,0,0
"163","F1","2023-01-01","Nantes","Auxerre",1,0,"H",0,0,"D",1.9,3.55,4.65,"0-0","1-0",10,3,14,6,1,2,0,0,3,7,10,19,1,10,29,"3-7","N","N","N",3,0,"Nantes-Auxerre",74,1,11,30,200,30,300,330,10,11,110,740,300
"175","F1","2023-01-11","Nantes","Lyon",0,0,"D",0,0,"D",3.39,3.43,2.29,"0-0","0-0",13,5,10,6,2,3,0,0,6,1,12,15,0,7,27,"6-1","N","N","N",5,0,"Nantes-Lyon",0,0,0,50,600,0,350,0,0,0,0,0,0
"186","F1","2023-01-15","Montpellier","Nantes",0,3,"A",0,1,"A",2.62,3.51,2.81,"0-1","0-3",11,5,12,7,1,2,2,0,3,5,13,14,3,8,27,"3-5","Y","Y","N",3,2,"Montpellier-Nantes",210,3,44,80,1200,240,640,3520,24,132,352,1680,1920
"197","F1","2023-01-29","Clermont","Nantes",0,0,"D",0,0,"D",2.44,3.34,3.19,"0-0","0-0",9,0,4,0,2,1,0,0,9,1,9,23,0,10,32,"9-1","N","N","N",3,0,"Clermont-Nantes",0,0,0,30,200,0,300,0,0,0,0,0,0
"203","F1","2023-02-01","Nantes","Marseille",0,2,"A",0,0,"D",4.72,3.88,1.81,"0-0","0-2",12,2,13,4,4,3,0,0,5,7,14,16,2,12,30,"5-7","Y","N","N",7,0,"Nantes-Marseille",147,2,46,70,1200,140,840,3220,24,92,552,1764,1680
"215","F1","2023-02-05","Ajaccio","Nantes",0,2,"A",0,0,"D",2.91,3.09,2.81,"0-0","0-2",8,2,7,3,2,1,1,0,2,2,16,16,2,4,32,"2-2","Y","N","N",3,1,"Ajaccio-Nantes",153,2,17,55,450,110,220,935,8,34,68,612,440
"229","F1","2023-02-12","Nantes","Lorient",1,0,"H",0,0,"D",2.05,3.56,3.93,"0-0","1-0",13,6,9,5,0,0,0,0,7,3,12,11,1,10,23,"7-3","N","N","N",0,0,"Nantes-Lorient",66,1,10,0,0,0,0,0,10,10,100,660,0
"239","F1","2023-02-19","Lens","Nantes",3,1,"H",2,1,"H",1.52,4.43,7.05,"2-1","3-1",19,6,6,3,0,0,0,0,2,5,9,15,4,7,24,"2-5","Y","Y","Y",0,0,"Lens-Nantes",184,4,149,0,0,0,0,0,28,596,1043,1288,0
"247","F1","2023-02-26","Nantes","Rennes",0,1,"A",0,1,"A",3.56,3.41,2.23,"0-1","0-1",20,7,11,3,2,2,0,0,12,4,8,12,1,16,20,"12-4","N","N","N",4,0,"Nantes-Rennes",20,1,10,40,400,40,640,400,16,10,160,320,640
"253","F1","2023-03-04","Paris SG","Nantes",4,2,"H",2,2,"D",1.33,5.89,9.22,"2-2","4-2",17,11,8,5,0,2,0,0,4,6,7,8,6,10,15,"4-6","Y","Y","Y",2,0,"Paris SG-Nantes",248,6,102,20,0,120,200,2040,60,612,1020,2480,1200
"268","F1","2023-03-12","Nantes","Nice",2,2,"D",1,1,"D",3.02,3.21,2.6,"1-1","2-2",10,3,16,8,1,1,0,0,1,10,9,11,4,11,20,"1-10","Y","Y","Y",2,0,"Nantes-Nice",195,4,112,20,100,80,220,2240,44,448,1232,2145,880
"8","F1","2022-08-07","Montpellier","Troyes",3,2,"H",2,2,"D",2.21,3.53,3.49,"2-2","3-2",17,6,15,10,1,0,0,0,3,6,13,10,5,9,23,"3-6","Y","Y","Y",1,0,"Montpellier-Troyes",128,5,74,10,0,50,90,740,45,370,666,1152,450
"13","F1","2022-08-13","Paris SG","Montpellier",5,2,"H",2,0,"H",1.1,11.52,25.32,"2-0","5-2",20,10,7,4,2,1,0,0,11,0,15,18,7,11,33,"11-0","Y","Y","Y",3,0,"Paris SG-Montpellier",437,7,250,30,200,210,330,7500,77,1750,2750,4807,2310
"26","F1","2022-08-21","Montpellier","Auxerre",1,2,"A",1,0,"H",2.11,3.75,3.53,"1-0","1-2",13,7,7,2,1,3,2,2,7,2,10,13,3,9,23,"7-2","Y","Y","N",4,4,"Montpellier-Auxerre",184,3,113,140,4800,420,1260,15820,27,339,1017,1656,3780
"34","F1","2022-08-28","Brest","Montpellier",0,7,"A",0,5,"A",1.94,3.65,4.26,"0-5","0-7",6,0,14,8,0,2,1,0,5,4,15,16,7,9,31,"5-4","Y","Y","Y",2,1,"Brest-Montpellier",231,7,217,45,500,315,405,9765,63,1519,1953,2079,2835
"43","F1","2022-08-31","Montpellier","Ajaccio",2,0,"H",1,0,"H",2.15,3.41,3.79,"1-0","2-0",9,4,15,0,2,4,1,1,3,8,9,17,2,11,26,"3-8","Y","N","N",6,2,"Montpellier-Ajaccio",105,2,28,110,2925,220,1210,3080,22,56,308,1155,2420
"53","F1","2022-09-04","Montpellier","Lille",1,3,"A",1,1,"D",3.4,3.78,2.16,"1-1","1-3",4,2,26,7,0,4,1,0,1,9,8,11,4,10,19,"1-9","Y","Y","Y",4,1,"Montpellier-Lille",208,4,59,65,1000,260,650,3835,40,236,590,2080,2600
"66","F1","2022-09-11","Angers","Montpellier",2,1,"H",1,1,"D",2.44,3.8,2.86,"1-1","2-1",11,5,7,2,2,4,0,0,2,5,15,12,3,7,27,"2-5","Y","Y","N",6,0,"Angers-Montpellier",85,3,37,60,800,180,420,2220,21,111,259,595,1260
"72","F1","2022-09-17","Montpellier","Strasbourg",2,1,"H",1,0,"H",2.55,3.61,2.84,"1-0","2-1",10,4,8,2,4,4,0,0,8,6,11,20,3,14,31,"8-6","Y","Y","N",8,0,"Montpellier-Strasbourg",192,3,38,80,1600,240,1120,3040,42,114,532,2688,3360
"87","F1","2022-10-02","Toulouse","Montpellier",4,2,"H",3,1,"H",1.93,3.96,3.98,"3-1","4-2",12,6,23,6,5,4,1,0,3,12,13,6,6,15,19,"3-12","Y","Y","Y",9,1,"Toulouse-Montpellier",196,6,113,115,3000,690,1725,12995,90,678,1695,2940,10350
"94","F1","2022-10-09","Montpellier","Monaco",0,2,"A",0,1,"A",3.74,4.21,1.93,"0-1","0-2",11,1,11,7,2,3,0,0,7,2,13,16,2,9,29,"7-2","Y","N","N",5,0,"Montpellier-Monaco",125,2,45,50,600,100,450,2250,18,90,405,1125,900
