"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"4","F1","2022-08-07","Toulouse","Nice",1,1,"D",1,0,"H",2.93,3.43,2.57,"1-0","1-1",6,4,11,4,1,2,0,0,6,3,10,8,2,9,18,"6-3","Y","N","N",3,0,"Toulouse-Nice",98,2,0,30,200,60,270,0,18,0,0,882,540
"17","F1","2022-08-14","Troyes","Toulouse",0,3,"A",0,1,"A",2.75,3.42,2.73,"0-1","0-3",12,2,10,4,2,1,0,0,6,6,14,19,3,12,33,"6-6","Y","Y","N",3,0,"Troyes-Toulouse",175,3,0,30,200,90,360,0,36,0,0,2100,1080
"27","F1","2022-08-21","Toulouse","Lorient",2,2,"D",1,1,"D",2.05,3.55,3.95,"1-1","2-2",16,8,14,4,2,1,0,0,3,6,14,10,4,9,24,"3-6","Y","Y","Y",3,0,"Toulouse-Lorient",177,4,0,30,200,120,270,0,36,0,0,1593,1080
"33","F1","2022-08-28","Nantes","Toulouse",3,1,"H",0,1,"A",2.44,3.38,3.16,"0-1","3-1",16,8,9,3,0,3,0,0,4,5,11,9,4,9,20,"4-5","Y","Y","Y",3,0,"Nantes-Toulouse",181,4,0,30,0,120,270,0,36,0,0,1629,1080
"49","F1","2022-08-31","Toulouse","Paris SG",0,3,"A",0,1,"A",11.03,7.21,1.25,"0-1","0-3",14,7,20,13,1,0,0,0,3,9,10,7,3,12,17,"3-9","Y","Y","N",1,0,"Toulouse-Paris SG",177,3,0,10,0,30,120,0,36,0,0,2124,360
"56","F1","2022-09-04","Clermont","Toulouse",2,0,"H",0,0,"D",3.12,3.3,2.51,"0-0","2-0",12,3,14,4,4,1,0,0,4,6,14,12,2,10,26,"4-6","Y","N","N",5,0,"Clermont-Toulouse",136,2,0,50,400,100,500,0,20,0,0,1360,1000
"68","F1","2022-09-11","Toulouse","Reims",1,0,"H",1,0,"H",2.35,3.48,3.24,"1-0","1-0",14,3,11,1,2,2,0,1,4,6,17,11,1,10,28,"4-6","N","N","N",4,1,"Toulouse-Reims",31,1,0,65,900,65,650,0,10,0,0,310,650
"73","F1","2022-09-17","Lille","Toulouse",2,1,"H",1,0,"H",1.79,4.13,4.49,"1-0","2-1",10,4,14,5,2,0,0,0,5,7,20,14,3,12,34,"5-7","Y","Y","N",2,0,"Lille-Toulouse",106,3,0,20,0,60,240,0,36,0,0,1272,720
"87","F1","2022-10-02","Toulouse","Montpellier",4,2,"H",3,1,"H",1.93,3.96,3.98,"3-1","4-2",12,6,23,6,5,4,1,0,3,12,13,6,6,15,19,"3-12","Y","Y","Y",9,1,"Toulouse-Montpellier",196,6,0,115,3000,690,1725,0,90,0,0,2940,10350
"91","F1","2022-10-07","Lyon","Toulouse",1,1,"D",1,0,"H",1.51,4.96,6.13,"1-0","1-1",19,8,5,2,2,2,0,0,4,5,13,11,2,9,24,"4-5","Y","N","N",4,0,"Lyon-Toulouse",69,2,0,40,400,80,360,0,18,0,0,621,720
"104","F1","2022-10-16","Toulouse","Angers",3,2,"H",2,1,"H",1.88,4.13,4.03,"2-1","3-2",14,7,13,6,3,2,0,0,2,8,12,15,5,10,27,"2-8","Y","Y","Y",5,0,"Toulouse-Angers",240,5,0,50,600,250,500,0,50,0,0,2400,2500
"117","F1","2022-10-23","Toulouse","Strasbourg",2,2,"D",1,0,"H",2.28,3.67,3.21,"1-0","2-2",17,6,11,5,2,1,1,0,6,6,14,8,4,12,22,"6-6","Y","Y","Y",3,1,"Toulouse-Strasbourg",237,4,0,55,450,220,660,0,48,0,0,2844,2640
"121","F1","2022-10-28","Lens","Toulouse",3,0,"H",0,0,"D",1.58,4.6,5.73,"0-0","3-0",13,8,9,0,2,1,0,0,6,8,12,13,3,14,25,"6-8","Y","Y","N",3,0,"Lens-Toulouse",236,3,0,30,200,90,420,0,42,0,0,3304,1260
"138","F1","2022-11-06","Toulouse","Monaco",0,2,"A",0,0,"D",3.22,3.92,2.19,"0-0","0-2",13,5,24,10,0,1,0,0,7,6,9,11,2,13,20,"7-6","Y","N","N",1,0,"Toulouse-Monaco",106,2,0,10,0,20,130,0,26,0,0,1378,260
"143","F1","2022-11-12","Rennes","Toulouse",2,1,"H",1,0,"H",1.54,4.73,6.1,"1-0","2-1",16,8,10,4,0,0,0,0,4,4,9,10,3,8,19,"4-4","Y","Y","N",0,0,"Rennes-Toulouse",138,3,0,0,0,0,0,0,24,0,0,1104,0
"159","F1","2022-12-29","Marseille","Toulouse",6,1,"H",2,0,"H",1.54,4.65,6.19,"2-0","6-1",13,7,10,6,1,2,0,0,1,6,14,8,7,7,22,"1-6","Y","Y","Y",3,0,"Marseille-Toulouse",394,7,0,30,200,210,210,0,49,0,0,2758,1470
"164","F1","2023-01-01","Toulouse","Ajaccio",2,0,"H",0,0,"D",2.04,3.38,4.2,"0-0","2-0",11,4,1,0,3,1,0,0,5,2,15,15,2,7,30,"5-2","Y","N","N",4,0,"Toulouse-Ajaccio",108,2,0,40,300,80,280,0,14,0,0,756,560
"172","F1","2023-01-11","Auxerre","Toulouse",0,5,"A",0,3,"A",2.83,3.41,2.66,"0-3","0-5",19,4,9,7,3,1,0,0,7,4,22,13,5,11,35,"7-4","Y","Y","Y",4,0,"Auxerre-Toulouse",241,5,0,40,300,200,440,0,55,0,0,2651,2200
"188","F1","2023-01-15","Toulouse","Brest",1,1,"D",0,1,"A",2.03,3.62,3.93,"0-1","1-1",16,7,17,5,2,2,0,0,10,5,16,12,2,15,28,"10-5","Y","N","N",4,0,"Toulouse-Brest",83,2,0,40,400,80,600,0,30,0,0,1245,1200
"198","F1","2023-01-29","Strasbourg","Toulouse",1,2,"A",1,1,"D",2.39,3.49,3.17,"1-1","1-2",11,2,10,3,2,2,1,0,4,2,14,10,3,6,24,"4-2","Y","Y","N",4,1,"Strasbourg-Toulouse",96,3,0,65,900,195,390,0,18,0,0,576,1170
"205","F1","2023-02-01","Toulouse","Troyes",4,1,"H",2,1,"H",1.78,4.13,4.58,"2-1","4-1",13,6,11,3,2,3,0,0,8,0,12,14,5,8,26,"8-0","Y","Y","Y",5,0,"Toulouse-Troyes",207,5,0,50,600,250,400,0,40,0,0,1656,2000
"211","F1","2023-02-04","Paris SG","Toulouse",2,1,"H",1,1,"D",1.38,5.63,7.98,"1-1","2-1",22,5,14,5,2,2,0,0,6,2,9,14,3,8,23,"6-2","Y","Y","N",4,0,"Paris SG-Toulouse",116,3,0,40,400,120,320,0,24,0,0,928,960
"224","F1","2023-02-12","Toulouse","Rennes",3,1,"H",3,0,"H",3.16,3.54,2.36,"3-0","3-1",13,7,13,4,1,1,0,0,2,7,12,17,4,9,29,"2-7","Y","Y","Y",2,0,"Toulouse-Rennes",147,4,0,20,100,80,180,0,36,0,0,1323,720
"240","F1","2023-02-19","Toulouse","Marseille",2,3,"A",1,0,"H",3.9,3.9,1.96,"1-0","2-3",15,6,15,7,0,2,0,0,3,10,8,10,5,13,18,"3-10","Y","Y","Y",2,0,"Toulouse-Marseille",279,5,0,20,0,100,260,0,65,0,0,3627,1300
"248","F1","2023-02-26","Reims","Toulouse",3,0,"H",2,0,"H",2.16,3.53,3.62,"2-0","3-0",18,6,13,6,0,0,0,0,4,2,12,14,3,6,26,"4-2","Y","Y","N",0,0,"Reims-Toulouse",79,3,0,0,0,0,0,0,18,0,0,474,0
"258","F1","2023-03-05","Toulouse","Clermont",0,1,"A",0,0,"D",1.81,3.85,4.6,"0-0","0-1",9,0,12,3,4,1,0,0,4,5,20,4,1,9,24,"4-5","N","N","N",5,0,"Toulouse-Clermont",76,1,0,50,400,50,450,0,9,0,0,684,450
"266","F1","2023-03-12","Angers","Toulouse",0,2,"A",0,1,"A",3.8,3.75,2.01,"0-1","0-2",13,2,8,5,0,1,0,0,6,8,8,11,2,14,19,"6-8","Y","N","N",1,0,"Angers-Toulouse",83,2,0,10,0,20,140,0,28,0,0,1162,280
"272","F1","2023-03-18","Toulouse","Lille",0,2,"A",0,0,"D",3.29,3.7,2.2,"0-0","0-2",16,4,18,5,2,0,0,0,12,8,12,2,2,20,14,"12-8","Y","N","N",2,0,"Toulouse-Lille",175,2,0,20,0,40,400,0,40,0,0,3500,800
"286","F1","2023-04-02","Brest","Toulouse",3,1,"H",1,1,"D",2.85,3.53,2.54,"1-1","3-1",17,7,8,3,2,5,0,1,4,2,16,12,4,6,28,"4-2","Y","Y","Y",7,1,"Brest-Toulouse",190,4,0,95,1500,380,570,0,24,0,0,1140,2280
"1","F1","2022-08-05","Lyon","Ajaccio",2,1,"H",2,1,"H",1.33,5.53,10.75,"2-1","2-1",11,6,8,4,1,6,1,1,4,3,10,18,3,7,28,"4-3","Y","Y","N",7,2,"Lyon-Ajaccio",65,3,0,120,2975,360,840,0,21,0,0,455,2520
"20","F1","2022-08-19","Lyon","Troyes",4,1,"H",1,1,"D",1.3,6.19,9.6,"1-1","4-1",16,8,4,1,0,1,0,0,4,5,9,7,5,9,16,"4-5","Y","Y","Y",1,0,"Lyon-Troyes",213,5,0,10,0,50,90,0,45,0,0,1917,450
"38","F1","2022-08-28","Reims","Lyon",1,1,"D",1,0,"H",4.29,4.13,1.82,"1-0","1-1",8,5,18,5,1,1,1,0,2,7,12,12,2,9,24,"2-7","Y","N","N",2,1,"Reims-Lyon",110,2,0,45,350,90,405,0,18,0,0,990,810
"41","F1","2022-08-31","Lyon","Auxerre",2,1,"H",1,0,"H",1.3,6.4,9.32,"1-0","2-1",20,8,6,2,0,2,0,0,9,3,13,13,3,12,26,"9-3","Y","Y","N",2,0,"Lyon-Auxerre",181,3,0,20,0,60,240,0,36,0,0,2172,720
"51","F1","2022-09-03","Lyon","Angers",5,0,"H",2,0,"H",1.32,6.23,9.49,"2-0","5-0",16,9,8,3,2,1,0,0,13,3,5,9,5,16,14,"13-3","Y","Y","Y",3,0,"Lyon-Angers",278,5,0,30,200,150,480,0,80,0,0,4448,2400
"60","F1","2022-09-07","Lorient","Lyon",3,1,"H",2,1,"H",4.64,4.42,1.72,"2-1","3-1",11,6,15,7,1,3,0,0,1,6,8,18,4,7,26,"1-6","Y","Y","Y",4,0,"Lorient-Lyon",116,4,0,40,300,160,280,0,28,0,0,812,1120
"70","F1","2022-09-11","Monaco","Lyon",2,1,"H",0,0,"D",2.55,3.72,2.77,"0-0","2-1",11,4,20,6,1,2,0,0,1,6,12,9,3,7,21,"1-6","Y","Y","N",3,0,"Monaco-Lyon",199,3,0,30,200,90,210,0,21,0,0,1393,630
