"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"10","I1",2022-08-15,"Juventus","Sassuolo",3,0,"H",2,0,"H",1.5,4.83,6.61,"2-0","3-0",14,4,19,7,1,3,0,0,3,2,3,5,"Y","Y","N",4,0,"Juventus-Sassuolo",120,3,40,40,300,120,200,1600,15,120,200,600,600
"20","I1",2022-08-22,"Sampdoria","Juventus",0,0,"D",0,0,"D",6.12,4.1,1.62,"0-0","0-0",10,1,10,4,3,2,0,0,3,4,0,7,"N","N","N",5,0,"Sampdoria-Juventus",0,0,0,50,600,0,350,0,0,0,0,0,0
"24","I1",2022-08-27,"Juventus","Roma",1,1,"D",1,0,"H",2.49,3.23,3.22,"1-0","1-1",14,3,8,4,2,2,0,0,4,5,2,9,"Y","N","N",4,0,"Juventus-Roma",71,2,18,40,400,80,360,720,18,36,162,639,720
"37","I1",2022-08-31,"Juventus","Spezia",2,0,"H",1,0,"H",1.29,5.91,11.23,"1-0","2-0",15,3,9,0,0,2,0,0,7,3,2,10,"Y","N","N",2,0,"Juventus-Spezia",99,2,23,20,0,40,200,460,20,46,230,990,400
"41","I1",2022-09-03,"Fiorentina","Juventus",1,1,"D",1,1,"D",3.17,3.27,2.49,"1-1","1-1",17,5,4,1,1,3,0,0,10,2,2,12,"Y","N","N",4,0,"Fiorentina-Juventus",38,2,113,40,300,80,480,4520,24,226,1356,456,960
"59","I1",2022-09-11,"Juventus","Salernitana",2,2,"D",0,2,"A",1.44,4.86,8.08,"0-2","2-2",22,7,11,5,5,4,2,1,8,2,4,10,"Y","Y","Y",9,3,"Juventus-Salernitana",204,4,208,165,6500,660,1650,34320,40,832,2080,2040,6600
"68","I1",2022-09-18,"Monza","Juventus",1,0,"H",0,0,"D",4.62,3.73,1.85,"0-0","1-0",17,4,10,2,2,1,0,1,5,3,1,8,"N","N","N",3,1,"Monza-Juventus",74,1,9,55,700,55,440,495,8,9,72,592,440
"79","I1",2022-10-02,"Juventus","Bologna",3,0,"H",1,0,"H",1.53,4.43,6.79,"1-0","3-0",17,6,9,1,0,1,0,0,2,4,3,6,"Y","Y","N",1,0,"Juventus-Bologna",145,3,40,10,0,30,60,400,18,120,240,870,180
"82","I1",2022-10-08,"Milan","Juventus",2,0,"H",1,0,"H",2.11,3.46,3.84,"1-0","2-0",21,3,10,3,2,3,0,0,9,3,2,12,"Y","N","N",5,0,"Milan-Juventus",99,2,33,50,600,100,600,1650,24,66,396,1188,1200
"92","I1",2022-10-15,"Torino","Juventus",0,1,"A",0,0,"D",3.13,3.19,2.57,"0-0","0-1",15,2,14,8,2,0,0,0,3,6,1,9,"N","N","N",2,0,"Torino-Juventus",74,1,9,20,0,20,180,180,9,9,81,666,180
"101","I1",2022-10-21,"Juventus","Empoli",4,0,"H",1,0,"H",1.42,5.12,7.81,"1-0","4-0",21,7,12,4,2,2,0,0,6,4,4,10,"Y","Y","Y",4,0,"Juventus-Empoli",235,4,76,40,400,160,400,3040,40,304,760,2350,1600
"112","I1",2022-10-29,"Lecce","Juventus",0,1,"A",0,0,"D",4.75,3.42,1.92,"0-0","0-1",5,0,13,5,3,5,0,0,7,7,1,14,"N","N","N",8,0,"Lecce-Juventus",73,1,44,80,1500,80,1120,3520,14,44,616,1022,1120
"130","I1",2022-11-06,"Juventus","Inter",2,0,"H",0,0,"D",3.19,3.34,2.44,"0-0","2-0",8,3,14,4,2,2,0,0,2,8,2,10,"Y","N","N",4,0,"Juventus-Inter",136,2,69,40,400,80,400,2760,20,138,690,1360,800
"139","I1",2022-11-10,"Verona","Juventus",0,1,"A",0,0,"D",5.63,3.82,1.71,"0-0","0-1",15,2,11,3,3,2,0,1,5,4,1,9,"N","N","N",5,1,"Verona-Juventus",60,1,18,75,1350,75,675,1350,9,18,162,540,675
"150","I1",2022-11-13,"Juventus","Lazio",3,0,"H",1,0,"H",2.03,3.48,4.11,"1-0","3-0",13,9,10,3,2,1,0,0,2,6,3,8,"Y","Y","N",3,0,"Juventus-Lazio",186,3,50,30,200,90,240,1500,24,150,400,1488,720
