"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"176","I1",2023-01-15,"Torino","Spezia",0,1,"A",0,1,"A",1.65,3.97,5.96,"0-1","0-1",11,4,13,5,3,3,0,0,7,2,13,12,1,9,25,"7-2","N","N","N",6,0,"Torino-Spezia",28,1,18,60,900,60,540,1080,9,18,162,252,540
"186","I1",2023-01-22,"Spezia","Roma",0,2,"A",0,1,"A",4.73,3.67,1.85,"0-1","0-2",8,0,13,3,3,1,0,0,4,0,17,11,2,4,28,"4-0","Y","N","N",4,0,"Spezia-Roma",94,2,101,40,300,80,160,4040,8,202,404,376,320
"191","I1",2023-01-27,"Bologna","Spezia",2,0,"H",1,0,"H",1.9,3.47,4.8,"1-0","2-0",18,6,6,4,2,2,0,0,5,5,8,16,2,10,24,"5-5","Y","N","N",4,0,"Bologna-Spezia",114,2,10,40,400,80,400,400,20,20,100,1140,800
"204","I1",2023-02-05,"Spezia","Napoli",0,3,"A",0,0,"D",8.83,5.39,1.38,"0-0","0-3",9,3,12,5,3,2,0,0,3,6,19,18,3,9,37,"3-6","Y","Y","N",5,0,"Spezia-Napoli",188,3,0,50,600,150,450,0,27,0,0,1692,1350
"212","I1",2023-02-11,"Empoli","Spezia",2,2,"D",0,2,"A",2.07,3.47,3.99,"0-2","2-2",25,8,9,3,1,5,1,1,7,3,10,13,4,10,23,"7-3","Y","Y","Y",6,2,"Empoli-Spezia",217,4,103,110,2625,440,1100,11330,40,412,1030,2170,4400
"228","I1",2023-02-19,"Spezia","Juventus",0,2,"A",0,1,"A",6.09,3.99,1.64,"0-1","0-2",18,7,15,3,2,2,0,0,7,4,8,9,2,11,17,"7-4","Y","N","N",4,0,"Spezia-Juventus",98,2,0,40,400,80,440,0,22,0,0,1078,880
"235","I1",2023-02-26,"Udinese","Spezia",2,2,"D",1,1,"D",1.68,3.91,5.09,"1-1","2-2",15,6,9,2,2,2,0,0,5,2,11,16,4,7,27,"5-2","Y","Y","Y",4,0,"Udinese-Spezia",155,4,82,40,400,160,280,3280,28,328,574,1085,1120
"174","I1",2023-01-14,"Inter","Verona",1,0,"H",1,0,"H",1.31,6.24,9.9,"1-0","1-0",11,3,6,1,0,3,0,0,3,4,11,13,1,7,24,"3-4","N","N","N",3,0,"Inter-Verona",3,1,10,30,0,30,210,300,7,10,70,21,210
"181","I1",2023-01-21,"Verona","Lecce",2,0,"H",1,0,"H",2.46,3.07,3.44,"1-0","2-0",11,4,9,3,3,0,0,0,5,4,15,12,2,9,27,"5-4","Y","N","N",3,0,"Verona-Lecce",94,2,37,30,0,60,270,1110,18,74,333,846,540
"200","I1",2023-01-30,"Udinese","Verona",1,1,"D",1,1,"D",1.89,3.67,4.49,"1-1","1-1",26,8,10,2,1,3,0,0,14,6,9,11,2,20,20,"14-6","Y","N","N",4,0,"Udinese-Verona",25,2,74,40,300,80,800,2960,40,148,1480,500,1600
"208","I1",2023-02-06,"Verona","Lazio",1,1,"D",0,1,"A",4,3.57,2.03,"0-1","1-1",15,4,9,2,4,1,0,0,6,5,16,12,2,11,28,"6-5","Y","N","N",5,0,"Verona-Lazio",96,2,35,50,400,100,550,1750,22,70,385,1056,1100
"219","I1",2023-02-13,"Verona","Salernitana",1,0,"H",1,0,"H",1.87,3.47,4.96,"1-0","1-0",14,4,8,3,2,3,0,0,5,1,14,21,1,6,35,"5-1","N","N","N",5,0,"Verona-Salernitana",31,1,0,50,600,50,300,0,6,0,0,186,300
"229","I1",2023-02-19,"Roma","Verona",1,0,"H",1,0,"H",1.66,3.77,6.32,"1-0","1-0",9,5,7,1,1,2,0,0,5,1,15,19,1,6,34,"5-1","N","N","N",3,0,"Roma-Verona",45,1,18,30,200,30,180,540,6,18,108,270,180
"237","I1",2023-02-27,"Verona","Fiorentina",0,3,"A",0,2,"A",3.38,3.39,2.32,"0-2","0-3",12,3,16,7,3,3,0,0,4,2,15,11,3,6,26,"4-2","Y","Y","N",6,0,"Verona-Fiorentina",139,3,84,60,900,180,360,5040,18,252,504,834,1080
"15","I1",2023-02-27,"Verona","Fiorentina",0,3,"A",0,2,"A",3.38,3.39,2.32,"0-2","0-3",12,3,16,7,3,3,0,0,4,2,15,11,3,6,26,"4-2","Y","Y","N",6,0,"Verona-Fiorentina",94.7857142857143,2.14285714285714,40.8571428571429,47.8571428571429,573.214285714286,112.857142857143,431.428571428571,2273.57142857143,19.3571428571429,110.857142857143,367.857142857143,821.857142857143,1030
