"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4577","B1",2023-01-29,"Cercle Brugge","Gent",3,2,"H",0,0,"D",3.28,3.39,2.25,"0-0","3-2",10,6,9,5,1,1,0,0,4,2,18,7,5,6,25,"4-2","Y","Y","Y",2,0,5,20,100,100,120,30,600
"4588","B1",2023-02-05,"Gent","Genk",2,3,"A",1,1,"D",2.39,3.6,2.88,"1-1","2-3",20,6,11,5,1,1,0,0,4,3,12,12,5,7,24,"4-3","Y","Y","Y",2,0,5,20,100,100,140,35,700
"4593","B1",2023-02-11,"Westerlo","Gent",3,3,"D",2,2,"D",3,3.45,2.44,"2-2","3-3",8,5,16,9,1,1,0,0,3,6,7,6,6,9,13,"3-6","Y","Y","Y",2,0,6,20,100,120,180,54,1080
"4605","B1",2023-02-19,"Gent","Oud-Heverlee Leuven",2,0,"H",0,0,"D",1.62,4.18,5.2,"0-0","2-0",12,6,14,4,2,1,0,0,5,9,15,12,2,14,27,"5-9","Y","N","N",3,0,2,30,200,60,420,28,840
"4613","B1",2023-02-26,"Club Brugge","Gent",2,0,"H",0,0,"D",2.13,3.46,3.48,"0-0","2-0",16,6,6,2,2,0,0,0,9,3,9,10,2,12,19,"9-3","Y","N","N",2,0,2,20,0,40,240,24,480
"4624","B1",2023-03-05,"Gent","Anderlecht",1,0,"H",0,0,"D",2.1,3.64,3.4,"0-0","1-0",14,5,10,3,1,4,0,1,4,2,8,9,1,6,17,"4-2","N","N","N",5,1,1,75,650,75,450,6,450
"4572","B1",2023-01-28,"Westerlo","Mechelen",2,0,"H",1,0,"H",2.01,3.72,3.74,"1-0","2-0",26,8,8,2,1,3,0,1,11,5,4,10,2,16,14,"11-5","Y","N","N",4,1,2,65,550,130,1040,32,2080
"4583","B1",2023-02-04,"Eupen","Westerlo",1,1,"D",0,1,"A",3.16,3.66,2.25,"0-1","1-1",7,3,15,6,1,0,0,0,4,7,18,7,2,11,25,"4-7","Y","N","N",1,0,2,10,0,20,110,22,220
"45931","B1",2023-02-11,"Westerlo","Gent",3,3,"D",2,2,"D",3,3.45,2.44,"2-2","3-3",8,5,16,9,1,1,0,0,3,6,7,6,6,9,13,"3-6","Y","Y","Y",2,0,6,20,100,120,180,54,1080
"4607","B1",2023-02-19,"St Truiden","Westerlo",0,1,"A",0,1,"A",2.78,3.22,2.68,"0-1","0-1",6,1,13,3,1,0,1,0,1,6,8,6,1,7,14,"1-6","N","N","N",1,1,1,35,0,35,245,7,245
"4612","B1",2023-02-25,"Westerlo","St. Gilloise",4,2,"H",2,1,"H",3.61,3.77,2.03,"2-1","4-2",9,6,20,8,2,2,0,0,4,6,9,9,6,10,18,"4-6","Y","Y","Y",4,0,6,40,400,240,400,60,2400
"4621","B1",2023-03-04,"Standard","Westerlo",2,0,"H",1,0,"H",2.6,3.67,2.66,"1-0","2-0",23,5,7,0,0,2,1,0,7,1,12,11,2,8,23,"7-1","Y","N","N",2,1,2,45,500,90,360,16,720
"13","B1",2023-03-04,"Standard","Westerlo",2,0,"H",1,0,"H",2.6,3.67,2.66,"1-0","2-0",23,5,7,0,0,2,1,0,7,1,12,11,2,8,23,"7-1","Y","N","N",2,1,3.33333333333333,33.3333333333333,225,94.1666666666667,323.75,30.6666666666667,907.916666666667
