"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6428","B1",2023-03-11,"Eupen","Oostende",4,4,"D",1,1,"D",2.62,3.6,2.68,"1-1","4-4",29,10,14,9,0,3,0,1,9,2,9,10,8,11,19,"9-2","Y","Y","Y",3,1,8,55,0,440,605,88,4840
"6437","B1",2023-03-18,"Oostende","Westerlo",1,2,"A",0,1,"A",2.87,3.87,2.34,"0-1","1-2",22,12,7,2,1,2,0,0,7,5,9,9,3,12,18,"7-5","Y","Y","N",3,0,3,30,200,90,360,36,1080
"6448","B1",2023-04-01,"Oostende","Standard",1,3,"A",1,3,"A",3.04,3.8,2.23,"1-3","1-3",15,4,13,7,3,1,1,0,6,7,11,6,4,13,17,"6-7","Y","Y","Y",4,1,4,65,550,260,845,52,3380
"6461","B1",2023-04-09,"St Truiden","Oostende",5,0,"H",2,0,"H",2.33,3.35,3.16,"2-0","5-0",18,11,11,4,1,1,0,0,6,2,14,12,5,8,26,"6-2","Y","Y","Y",2,0,5,20,100,100,160,40,800
"6465","B1",2023-04-15,"Oostende","Oud-Heverlee Leuven",0,4,"A",0,2,"A",2.37,4.21,2.62,"0-2","0-4",13,3,19,8,1,0,0,0,7,6,10,8,4,13,18,"7-6","Y","Y","Y",1,0,4,10,0,40,130,52,520
"6476","B1",2023-04-23,"Gent","Oostende",1,2,"A",0,0,"D",1.21,7.1,11.31,"0-0","1-2",19,4,13,6,2,3,0,0,3,5,4,10,3,8,14,"3-5","Y","Y","N",5,0,3,50,600,150,400,24,1200
"6426","B1",2023-03-10,"Charleroi","Oud-Heverlee Leuven",0,1,"A",0,1,"A",1.94,3.72,3.96,"0-1","0-1",25,5,9,2,1,4,0,0,7,4,8,11,1,11,19,"7-4","N","N","N",5,0,1,50,400,50,550,11,550
"6441","B1",2023-03-19,"Oud-Heverlee Leuven","Anderlecht",0,2,"A",0,1,"A",3.12,3.57,2.25,"0-1","0-2",9,5,12,5,3,2,0,0,4,7,11,13,2,11,24,"4-7","Y","N","N",5,0,2,50,600,100,550,22,1100
"6449","B1",2023-04-02,"Genk","Oud-Heverlee Leuven",2,1,"H",1,0,"H",1.51,4.64,5.85,"1-0","2-1",22,8,11,5,4,2,0,0,11,5,10,9,3,16,19,"11-5","Y","Y","N",6,0,3,60,800,180,960,48,2880
"6455","B1",2023-04-08,"Oud-Heverlee Leuven","Mechelen",4,1,"H",2,0,"H",2.19,3.82,3.18,"2-0","4-1",17,11,16,6,1,3,0,0,2,8,8,13,5,10,21,"2-8","Y","Y","Y",4,0,5,40,300,200,400,50,2000
"64651","B1",2023-04-15,"Oostende","Oud-Heverlee Leuven",0,4,"A",0,2,"A",2.37,4.21,2.62,"0-2","0-4",13,3,19,8,1,0,0,0,7,6,10,8,4,13,18,"7-6","Y","Y","Y",1,0,4,10,0,40,130,52,520
"6478","B1",2023-04-23,"Oud-Heverlee Leuven","Standard",3,2,"H",1,0,"H",2.65,3.74,2.51,"1-0","3-2",12,5,14,5,0,2,0,0,6,7,9,9,5,13,18,"6-7","Y","Y","Y",2,0,5,20,0,100,260,65,1300
"13","B1",2023-04-23,"Oud-Heverlee Leuven","Standard",3,2,"H",1,0,"H",2.65,3.74,2.51,"1-0","3-2",12,5,14,5,0,2,0,0,6,7,9,9,5,13,18,"6-7","Y","Y","Y",2,0,3.91666666666667,38.3333333333333,295.833333333333,145.833333333333,445.833333333333,45,1680.83333333333
