"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4574","B1",2023-01-28,"Oud-Heverlee Leuven","St Truiden",1,1,"D",0,1,"A",2.34,3.49,3.14,"0-1","1-1",13,5,8,4,0,3,0,0,6,3,7,18,2,9,25,"6-3","Y","N","N",3,0,2,30,0,60,270,18,540
"4584","B1",2023-02-04,"Seraing","Oud-Heverlee Leuven",2,1,"H",1,1,"D",4.32,3.79,1.85,"1-1","2-1",14,4,19,5,1,0,0,0,7,11,10,10,3,18,20,"7-11","Y","Y","N",1,0,3,10,0,30,180,54,540
"4590","B1",2023-02-10,"Oud-Heverlee Leuven","Cercle Brugge",0,0,"D",0,0,"D",2.4,3.46,3.05,"0-0","0-0",7,1,11,5,1,0,0,0,6,7,12,10,0,13,22,"6-7","N","N","N",1,0,0,10,0,0,130,0,0
"4605","B1",2023-02-19,"Gent","Oud-Heverlee Leuven",2,0,"H",0,0,"D",1.62,4.18,5.2,"0-0","2-0",12,6,14,4,2,1,0,0,5,9,15,12,2,14,27,"5-9","Y","N","N",3,0,2,30,200,60,420,28,840
"4614","B1",2023-02-26,"Oud-Heverlee Leuven","Antwerp",1,1,"D",1,0,"H",3.59,3.65,2.03,"1-0","1-1",9,4,17,4,1,0,0,0,3,7,9,13,2,10,22,"3-7","Y","N","N",1,0,2,10,0,20,100,20,200
"4620","B1",2023-03-04,"Oud-Heverlee Leuven","Waregem",4,2,"H",3,0,"H",1.87,3.97,4,"3-0","4-2",13,8,12,4,2,1,0,0,3,5,11,10,6,8,21,"3-5","Y","Y","Y",3,0,6,30,200,180,240,48,1440
"4578","B1",2023-01-29,"Waregem","Club Brugge",1,2,"A",1,2,"A",4.99,4.37,1.61,"1-2","1-2",11,4,12,2,2,4,1,0,4,8,8,17,3,12,25,"4-8","Y","Y","N",6,1,3,85,1800,255,1020,36,3060
"4586","B1",2023-02-05,"Antwerp","Club Brugge",0,0,"D",0,0,"D",2.66,3.28,2.84,"0-0","0-0",7,2,4,1,1,5,0,0,2,5,12,22,0,7,34,"2-5","N","N","N",6,0,0,60,500,0,420,0,0
"4591","B1",2023-02-10,"Club Brugge","St. Gilloise",1,1,"D",1,1,"D",2.63,3.46,2.75,"1-1","1-1",10,4,19,2,1,4,0,0,5,3,13,10,2,8,23,"5-3","Y","N","N",5,0,2,50,400,100,400,16,800
"4604","B1",2023-02-19,"Cercle Brugge","Club Brugge",2,2,"D",0,1,"A",3.49,3.5,2.11,"0-1","2-2",28,10,7,5,2,2,0,0,17,4,10,12,4,21,22,"17-4","Y","Y","Y",4,0,4,40,400,160,840,84,3360
"4613","B1",2023-02-26,"Club Brugge","Gent",2,0,"H",0,0,"D",2.13,3.46,3.48,"0-0","2-0",16,6,6,2,2,0,0,0,9,3,9,10,2,12,19,"9-3","Y","N","N",2,0,2,20,0,40,240,24,480
"4617","B1",2023-03-03,"Oostende","Club Brugge",3,0,"H",1,0,"H",4.56,4.33,1.7,"1-0","3-0",13,6,11,3,2,2,0,0,0,5,12,16,3,5,28,"0-5","Y","Y","N",4,0,3,40,400,120,200,15,600
"13","B1",2023-03-03,"Oostende","Club Brugge",3,0,"H",1,0,"H",4.56,4.33,1.7,"1-0","3-0",13,6,11,3,2,2,0,0,0,5,12,16,3,5,28,"0-5","Y","Y","N",4,0,2.41666666666667,34.5833333333333,325,85.4166666666667,371.666666666667,28.5833333333333,988.333333333333
