"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","D1",2023-10-07,"Augsburg","Darmstadt",1,2,"A",0,0,"D",1.92,3.9,3.98,"0-0","1-2",17,3,17,5,4,2,0,0,4,4,13,12,3,8,25,"4-4","Y","Y","N",6,0,"Augsburg-Darmstadt",208,3,47,60,800,180,480,2820,24,141,376,1664,1440
"2","D1",2023-10-22,"Heidenheim","Augsburg",2,5,"A",2,3,"A",2.42,3.69,2.91,"2-3","2-5",16,5,9,6,3,2,0,0,6,5,11,11,7,11,22,"6-5","Y","Y","Y",5,0,"Heidenheim-Augsburg",299,7,107,50,600,350,550,5350,77,749,1177,3289,3850
"3","D1",2023-10-28,"Augsburg","Wolfsburg",3,2,"H",1,2,"A",2.91,3.67,2.4,"1-2","3-2",9,5,13,6,6,4,1,0,5,5,19,14,5,10,33,"5-5","Y","Y","Y",10,1,"Augsburg-Wolfsburg",257,5,93,125,3400,625,1250,11625,50,465,930,2570,6250
"4","D1",2023-11-04,"FC Koln","Augsburg",1,1,"D",1,1,"D",2.32,3.75,2.97,"1-1","1-1",28,12,18,3,1,4,0,0,10,2,10,10,2,12,20,"10-2","Y","N","N",5,0,"FC Koln-Augsburg",41,2,58,50,400,100,600,2900,24,116,696,492,1200
"5","D1",2023-11-11,"Augsburg","Hoffenheim",1,1,"D",0,1,"A",2.62,3.92,2.52,"0-1","1-1",11,6,12,6,1,2,0,0,3,5,9,11,2,8,20,"3-5","Y","N","N",3,0,"Augsburg-Hoffenheim",76,2,19,30,200,60,240,570,16,38,152,608,480
"6","D1",2023-11-25,"Union Berlin","Augsburg",1,1,"D",0,1,"A",2.01,3.65,3.79,"0-1","1-1",16,6,11,2,2,2,0,0,3,4,10,15,2,7,25,"3-4","Y","N","N",4,0,"Union Berlin-Augsburg",127,2,19,40,400,80,280,760,14,38,133,889,560
"7","D1",2023-10-07,"Werder Bremen","Hoffenheim",2,3,"A",1,2,"A",2.75,3.92,2.44,"1-2","2-3",13,3,11,4,5,4,0,0,4,4,15,6,5,8,21,"4-4","Y","Y","Y",9,0,"Werder Bremen-Hoffenheim",234,5,67,90,2000,450,720,6030,40,335,536,1872,3600
"8","D1",2023-10-21,"Hoffenheim","Ein Frankfurt",1,3,"A",1,3,"A",2.15,3.72,3.4,"1-3","1-3",14,5,13,5,3,0,0,0,6,3,7,7,4,9,14,"6-3","Y","Y","Y",3,0,"Hoffenheim-Ein Frankfurt",82,4,72,30,0,120,270,2160,36,288,648,738,1080
"9","D1",2023-10-28,"Stuttgart","Hoffenheim",2,3,"A",0,2,"A",1.88,4.15,3.82,"0-2","2-3",23,10,7,5,2,1,0,0,6,0,13,11,5,6,24,"6-0","Y","Y","Y",3,0,"Stuttgart-Hoffenheim",227,5,98,30,200,150,180,2940,30,490,588,1362,900
"10","D1",2023-11-04,"Hoffenheim","Leverkusen",2,3,"A",0,2,"A",4.92,4.9,1.59,"0-2","2-3",12,7,10,4,3,2,0,0,4,3,6,10,5,7,16,"4-3","Y","Y","Y",5,0,"Hoffenheim-Leverkusen",238,5,76,50,600,250,350,3800,35,380,532,1666,1750
"11","D1",2023-11-11,"Augsburg","Hoffenheim",1,1,"D",0,1,"A",2.62,3.92,2.52,"0-1","1-1",11,6,12,6,1,2,0,0,3,5,9,11,2,8,20,"3-5","Y","N","N",3,0,"Augsburg-Hoffenheim",76,2,19,30,200,60,240,570,16,38,152,608,480
"12","D1",2023-11-26,"Hoffenheim","Mainz",1,1,"D",0,1,"A",1.85,4.08,4.01,"0-1","1-1",15,6,15,6,4,4,0,0,4,5,9,14,2,9,23,"4-5","Y","N","N",8,0,"Hoffenheim-Mainz",87,2,39,80,1600,160,720,3120,18,78,351,783,1440
"13","D1",2023-11-26,"Hoffenheim","Mainz",1,1,"D",0,1,"A",1.85,4.08,4.01,"0-1","1-1",15,6,15,6,4,4,0,0,4,5,9,14,2,9,23,"4-5","Y","N","N",8,0,"Hoffenheim-Mainz",162.666666666667,3.66666666666667,59.5,55.4166666666667,866.666666666667,215.416666666667,490,3553.75,31.6666666666667,263,522.583333333333,1378.41666666667,1919.16666666667
