"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"637","D1","4/22/2023","Mainz","Bayern Munich",3,1,"H",0,1,"A",5.23,4.7,1.6,"0-1","1-Mar",13,4,11,2,2,0,0,0,2,7,14,6,4,9,20,"7-Feb","Y","Y","Y",2,0,"Mainz-Bayern Munich",246,4,45,20,0,80,180,900,36,180,405,2214,720
"649","D1","4/30/2023","Bayern Munich","Hertha",2,0,"H",0,0,"D",1.12,10.61,20.33,"0-0","Feb-00",25,9,2,1,2,0,0,0,18,1,5,8,2,19,13,"18-1","Y","N","N",2,0,"Bayern Munich-Hertha",148,2,18,20,0,40,380,360,38,36,342,2812,760
"658","D1","5/6/2023","Werder Bremen","Bayern Munich",1,2,"A",0,0,"D",7.8,6.23,1.33,"0-0","2-Jan",12,2,12,4,2,1,0,0,1,11,14,11,3,12,25,"11-Jan","Y","Y","N",3,0,"Werder Bremen-Bayern Munich",221,3,39,30,200,90,360,1170,36,117,468,2652,1080
"661","D1","5/13/2023","Bayern Munich","Schalke 04",6,0,"H",2,0,"H",1.14,10.41,17.11,"Feb-00","Jun-00",23,14,8,0,0,3,0,0,4,3,10,10,6,7,20,"3-Apr","Y","Y","Y",3,0,"Bayern Munich-Schalke 04",335,6,124,30,0,180,210,3720,42,744,868,2345,1260
"674","D1","5/20/2023","Bayern Munich","RB Leipzig",1,3,"A",1,0,"H",1.52,5.17,5.49,"Jan-00","3-Jan",17,4,16,8,1,1,0,0,7,2,8,11,4,9,19,"2-Jul","Y","Y","Y",2,0,"Bayern Munich-RB Leipzig",251,4,69,20,100,80,180,1380,36,276,621,2259,720
"681","D1","5/27/2023","FC Koln","Bayern Munich",1,2,"A",0,1,"A",7.82,6.29,1.32,"0-1","2-Jan",9,3,11,3,3,0,0,0,7,3,11,8,3,10,19,"3-Jul","Y","Y","N",3,0,"FC Koln-Bayern Munich",178,3,60,30,0,90,300,1800,30,180,600,1780,900
"633","D1","4/21/2023","Augsburg","Stuttgart",1,1,"D",1,0,"H",3.39,3.76,2.17,"Jan-00","1-Jan",4,1,6,3,5,3,0,0,1,3,17,12,2,4,29,"3-Jan","Y","N","N",8,0,"Augsburg-Stuttgart",86,2,10,80,1500,160,320,800,8,20,40,344,640
"643","D1","4/29/2023","Ein Frankfurt","Augsburg",1,1,"D",1,0,"H",1.57,4.6,5.63,"Jan-00","1-Jan",7,1,9,3,2,2,0,0,5,7,6,11,2,12,17,"7-May","Y","N","N",4,0,"Ein Frankfurt-Augsburg",83,2,22,40,400,80,480,880,24,44,264,996,960
"653","D1","5/6/2023","Augsburg","Union Berlin",1,0,"H",0,0,"D",3.49,3.27,2.29,"0-0","Jan-00",11,3,12,4,2,2,0,0,3,7,10,14,1,10,24,"7-Mar","N","N","N",4,0,"Augsburg-Union Berlin",53,1,7,40,400,40,400,280,10,7,70,530,400
"662","D1","5/13/2023","Bochum","Augsburg",3,2,"H",1,1,"D",2.19,3.61,3.39,"1-Jan","2-Mar",15,8,12,2,3,2,0,0,7,7,13,16,5,14,29,"7-Jul","Y","Y","Y",5,0,"Bochum-Augsburg",237,5,91,50,600,250,700,4550,70,455,1274,3318,3500
"676","D1","5/21/2023","Augsburg","Dortmund",0,3,"A",0,0,"D",6.52,5.7,1.42,"0-0","0-3",4,1,28,10,3,3,1,0,3,8,12,9,3,11,21,"8-Mar","Y","Y","N",6,1,"Augsburg-Dortmund",232,3,37,85,1650,255,935,3145,33,111,407,2552,2805
"682","D1","5/27/2023","Mgladbach","Augsburg",2,0,"H",2,0,"H",2.19,3.83,3.16,"Feb-00","Feb-00",17,7,9,3,0,1,0,1,4,4,5,19,2,8,24,"4-Apr","Y","N","N",1,1,"Mgladbach-Augsburg",43,2,43,35,0,70,280,1505,16,86,344,344,560
"13","D1","5/27/2023","Mgladbach","Augsburg",2,0,"H",2,0,"H",2.19,3.83,3.16,"Feb-00","Feb-00",17,7,9,3,0,1,0,1,4,4,5,19,2,8,24,"4-Apr","Y","N","N",1,1,"Mgladbach-Augsburg",176.083333333333,3.08333333333333,47.0833333333333,40,404.166666666667,117.916666666667,393.75,1707.5,31.5833333333333,188,475.25,1845.5,1192.08333333333
