"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"232","D1",2023-04-01,"Bayern Munich","Dortmund",4,2,"H",3,0,"H",1.51,5.26,5.62,"3-0","4-2",16,9,10,4,1,1,0,0,6,2,11,7,6,8,18,"6-2","Y","Y","Y",2,0,"Bayern Munich-Dortmund",266,6,0,20,100,120,160,0,48,0,0,2128,960
"236","D1",2023-04-08,"Dortmund","Union Berlin",2,1,"H",1,0,"H",1.61,4.11,6.07,"1-0","2-1",14,6,7,2,5,2,0,0,8,0,8,11,3,8,19,"8-0","Y","Y","N",7,0,"Dortmund-Union Berlin",168,3,56,70,1000,210,560,3920,24,168,448,1344,1680
"248","D1",2023-04-15,"Stuttgart","Dortmund",3,3,"D",0,2,"A",3.53,3.96,2.03,"0-2","3-3",12,5,15,6,5,3,1,0,5,7,7,14,6,12,21,"5-7","Y","Y","Y",8,1,"Stuttgart-Dortmund",401,6,62,105,2250,630,1260,6510,72,372,744,4812,7560
"258","D1",2023-04-22,"Dortmund","Ein Frankfurt",4,0,"H",3,0,"H",1.62,4.67,5.03,"3-0","4-0",14,7,9,2,2,3,0,0,5,2,10,13,4,7,23,"5-2","Y","Y","Y",5,0,"Dortmund-Ein Frankfurt",150,4,79,50,600,200,350,3950,28,316,553,1050,1400
"262","D1",2023-04-28,"Bochum","Dortmund",1,1,"D",1,1,"D",6.55,5.26,1.47,"1-1","1-1",10,4,21,6,1,2,0,0,4,11,13,9,2,15,22,"4-11","Y","N","N",3,0,"Bochum-Dortmund",12,2,35,30,200,60,450,1050,30,70,525,180,900
"279","D1",2023-05-07,"Dortmund","Wolfsburg",6,0,"H",3,0,"H",1.54,5.16,5.32,"3-0","6-0",20,10,10,3,0,1,0,0,10,6,11,14,6,16,25,"10-6","Y","Y","Y",1,0,"Dortmund-Wolfsburg",278,6,128,10,0,60,160,1280,96,768,2048,4448,960
"233","D1",2023-04-02,"FC Koln","Mgladbach",0,0,"D",0,0,"D",2.23,3.71,3.24,"0-0","0-0",12,5,8,2,3,3,0,0,11,1,18,8,0,12,26,"11-1","N","N","N",6,0,"FC Koln-Mgladbach",0,0,0,60,900,0,720,0,0,0,0,0,0
"241","D1",2023-04-09,"Mgladbach","Wolfsburg",2,0,"H",1,0,"H",2.43,3.72,2.88,"1-0","2-0",13,6,9,2,0,1,0,0,5,8,12,11,2,13,23,"5-8","Y","N","N",1,0,"Mgladbach-Wolfsburg",97,2,29,10,0,20,130,290,26,58,377,1261,260
"249","D1",2023-04-15,"Ein Frankfurt","Mgladbach",1,1,"D",0,1,"A",1.77,4.25,4.37,"0-1","1-1",16,5,4,2,1,2,0,0,10,2,16,5,2,12,21,"10-2","Y","N","N",3,0,"Ein Frankfurt-Mgladbach",96,2,32,30,200,60,360,960,24,64,384,1152,720
"261","D1",2023-04-23,"Mgladbach","Union Berlin",0,1,"A",0,0,"D",2.42,3.36,3.16,"0-0","0-1",8,4,14,4,3,2,0,0,2,2,10,12,1,4,22,"2-2","N","N","N",5,0,"Mgladbach-Union Berlin",60,1,27,50,600,50,200,1350,4,27,108,240,200
"266","D1",2023-04-29,"Stuttgart","Mgladbach",2,1,"H",1,0,"H",1.84,4.08,4.15,"1-0","2-1",18,5,9,4,2,2,0,1,5,8,11,14,3,13,25,"5-8","Y","Y","N",4,1,"Stuttgart-Mgladbach",183,3,24,65,900,195,845,1560,39,72,312,2379,2535
"277","D1",2023-05-06,"Mgladbach","Bochum",2,0,"H",1,0,"H",1.93,4,3.86,"1-0","2-0",25,9,14,3,2,1,0,0,11,3,7,13,2,14,20,"11-3","Y","N","N",3,0,"Mgladbach-Bochum",125,2,36,30,200,60,420,1080,28,72,504,1750,840
"13","D1",2023-05-06,"Mgladbach","Bochum",2,0,"H",1,0,"H",1.93,4,3.86,"1-0","2-0",25,9,14,3,2,1,0,0,11,3,7,13,2,14,20,"11-3","Y","N","N",3,0,"Mgladbach-Bochum",153,3.08333333333333,42.3333333333333,44.1666666666667,579.166666666667,138.75,467.916666666667,1829.16666666667,34.9166666666667,165.583333333333,500.25,1728.66666666667,1501.25
