"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","D1",2023-08-27,"Mainz","Ein Frankfurt",1,1,"D",1,0,"H",2.39,3.74,2.92,"1-0","1-1",13,7,8,2,3,4,0,1,5,4,23,12,2,9,35,"5-4","Y","N","N",7,1,"Mainz-Ein Frankfurt",115,2,14,95,1950,190,855,1330,18,28,126,1035,1710
"2","D1",2023-09-03,"Ein Frankfurt","FC Koln",1,1,"D",0,1,"A",2.18,3.49,3.54,"0-1","1-1",12,4,6,2,1,3,0,0,8,1,10,10,2,9,20,"8-1","Y","N","N",4,0,"Ein Frankfurt-FC Koln",130,2,40,40,300,80,360,1600,18,80,360,1170,720
"3","D1",2023-09-16,"Bochum","Ein Frankfurt",1,1,"D",0,0,"D",2.95,3.63,2.42,"0-0","1-1",24,10,8,6,3,2,0,0,8,2,13,14,2,10,27,"8-2","Y","N","N",5,0,"Bochum-Ein Frankfurt",129,2,33,50,600,100,500,1650,20,66,330,1290,1000
"4","D1",2023-09-24,"Ein Frankfurt","Freiburg",0,0,"D",0,0,"D",2.16,3.66,3.42,"0-0","0-0",13,5,9,2,4,2,0,0,7,3,12,5,0,10,17,"7-3","N","N","N",6,0,"Ein Frankfurt-Freiburg",0,0,0,60,800,0,600,0,0,0,0,0,0
"5","D1",2023-09-30,"Wolfsburg","Ein Frankfurt",2,0,"H",1,0,"H",2.11,3.53,3.68,"1-0","2-0",19,7,7,3,1,6,0,1,7,4,11,18,2,11,29,"7-4","Y","N","N",7,1,"Wolfsburg-Ein Frankfurt",115,2,46,95,850,190,1045,4370,22,92,506,1265,2090
"6","D1",2023-08-26,"Heidenheim","Hoffenheim",2,3,"A",1,0,"H",2.96,3.81,2.34,"1-0","2-3",19,9,16,6,1,5,0,0,10,6,13,9,5,16,22,"10-6","Y","Y","Y",6,0,"Heidenheim-Hoffenheim",331,5,99,60,500,300,960,5940,80,495,1584,5296,4800
"7","D1",2023-09-01,"Dortmund","Heidenheim",2,2,"D",2,0,"H",1.26,7.07,10.23,"2-0","2-2",20,9,15,6,3,3,0,0,3,6,9,22,4,9,31,"3-6","Y","Y","Y",6,0,"Dortmund-Heidenheim",165,4,60,60,900,240,540,3600,36,240,540,1485,2160
"8","D1",2023-09-17,"Heidenheim","Werder Bremen",4,2,"H",2,0,"H",2.39,3.88,2.85,"2-0","4-2",19,4,11,4,1,1,0,0,10,1,21,9,6,11,30,"10-1","Y","Y","Y",2,0,"Heidenheim-Werder Bremen",306,6,78,20,100,120,220,1560,66,468,858,3366,1320
"9","D1",2023-09-24,"Leverkusen","Heidenheim",4,1,"H",1,0,"H",1.23,7.35,11.42,"1-0","4-1",20,10,1,1,1,1,0,0,7,2,9,10,5,9,19,"7-2","Y","Y","Y",2,0,"Leverkusen-Heidenheim",286,5,80,20,100,100,180,1600,45,400,720,2574,900
"10","D1",2023-09-30,"Heidenheim","Union Berlin",1,0,"H",0,0,"D",3.05,3.72,2.32,"0-0","1-0",9,4,19,8,1,2,0,0,5,7,11,14,1,12,25,"5-7","N","N","N",3,0,"Heidenheim-Union Berlin",59,1,37,30,200,30,360,1110,12,37,444,708,360
"11","D1",2023-09-30,"Heidenheim","Union Berlin",1,0,"H",0,0,"D",3.05,3.72,2.32,"0-0","1-0",9,4,19,8,1,2,0,0,5,7,11,14,1,12,25,"5-7","N","N","N",3,0,"Heidenheim-Union Berlin",163.6,2.9,48.7,53,630,135,562,2276,31.7,190.6,546.8,1818.9,1506
