"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","D1",2024-03-17,"Dortmund","Ein Frankfurt",3,1,"H",1,1,"D",1.63,4.47,5.01,"1-1","3-1",16,6,8,6,1,2,0,0,8,3,5,9,4,11,14,"8-3","Y","Y","Y",3,0,"Dortmund-Ein Frankfurt",217,4,92,30,200,120,330,2760,44,368,1012,2387,1320
"2","D1",2024-03-30,"Ein Frankfurt","Union Berlin",0,0,"D",0,0,"D",2.07,3.41,3.88,"0-0","0-0",18,4,10,2,3,1,0,0,6,2,8,14,0,8,22,"6-2","N","N","N",4,0,"Ein Frankfurt-Union Berlin",0,0,0,40,300,0,320,0,0,0,0,0,0
"3","D1",2024-04-05,"Ein Frankfurt","Werder Bremen",1,1,"D",0,0,"D",1.78,4.02,4.56,"0-0","1-1",19,5,10,7,3,2,1,1,9,0,10,14,2,9,24,"9-0","Y","N","N",5,2,"Ein Frankfurt-Werder Bremen",139,2,48,100,2475,200,900,4800,18,96,432,1251,1800
"4","D1",2024-04-13,"Stuttgart","Ein Frankfurt",3,0,"H",3,0,"H",1.51,4.76,6.01,"3-0","3-0",9,6,10,3,1,3,0,0,4,5,4,15,3,9,19,"4-5","Y","Y","N",4,0,"Stuttgart-Ein Frankfurt",65,3,53,40,300,120,360,2120,27,159,318,585,1080
"5","D1",2024-04-19,"Ein Frankfurt","Augsburg",3,1,"H",0,1,"A",2.06,3.76,3.6,"0-1","3-1",12,7,6,1,3,3,0,0,6,5,2,19,4,11,21,"6-5","Y","Y","Y",6,0,"Ein Frankfurt-Augsburg",219,4,42,60,900,240,660,2520,44,168,462,2409,2640
"6","D1",2024-04-27,"Bayern Munich","Ein Frankfurt",2,1,"H",1,1,"D",1.42,5.46,6.65,"1-1","2-1",19,9,10,3,0,3,0,0,4,2,11,7,3,6,18,"4-2","Y","Y","N",3,0,"Bayern Munich-Ein Frankfurt",93,3,29,30,0,90,180,870,18,87,174,558,540
"7","D1",2024-03-17,"Freiburg","Leverkusen",2,3,"A",1,2,"A",5.92,4.39,1.56,"1-2","2-3",9,3,18,7,1,0,0,0,2,8,13,6,5,10,19,"2-8","Y","Y","Y",1,0,"Freiburg-Leverkusen",184,5,103,10,0,50,100,1030,50,515,1030,1840,500
"8","D1",2024-03-30,"Leverkusen","Hoffenheim",2,1,"H",0,1,"A",1.21,7.55,11.72,"0-1","2-1",36,12,6,2,0,1,0,0,9,2,9,8,3,11,17,"9-2","Y","Y","N",1,0,"Leverkusen-Hoffenheim",211,3,36,10,0,30,110,360,33,108,396,2321,330
"9","D1",2024-04-06,"Union Berlin","Leverkusen",0,1,"A",0,1,"A",6.19,4.31,1.55,"0-1","0-1",8,1,19,8,3,2,1,0,7,10,10,14,1,17,24,"7-10","N","N","N",5,1,"Union Berlin-Leverkusen",45,1,10,75,1100,75,1275,750,17,10,170,765,1275
"10","D1",2024-04-14,"Leverkusen","Werder Bremen",5,0,"H",1,0,"H",1.2,7.49,12.7,"1-0","5-0",19,10,7,3,2,1,0,0,7,0,10,4,5,7,14,"7-0","Y","Y","Y",3,0,"Leverkusen-Werder Bremen",306,5,86,30,200,150,210,2580,35,430,774,2142,1050
"11","D1",2024-04-21,"Dortmund","Leverkusen",1,1,"D",0,0,"D",2.56,3.84,2.5,"0-0","1-1",9,2,13,5,4,3,0,0,2,6,14,11,2,8,25,"2-6","Y","N","N",7,0,"Dortmund-Leverkusen",171,2,16,70,1200,140,560,1120,16,32,128,1368,1120
"12","D1",2024-04-27,"Leverkusen","Stuttgart",2,2,"D",0,0,"D",1.76,4.31,4.25,"0-0","2-2",14,6,11,4,4,3,0,0,5,2,10,19,4,7,29,"5-2","Y","Y","Y",7,0,"Leverkusen-Stuttgart",255,4,82,70,1200,280,490,5740,28,328,574,1785,1960
"13","D1",2024-04-27,"Leverkusen","Stuttgart",2,2,"D",0,0,"D",1.76,4.31,4.25,"0-0","2-2",14,6,11,4,4,3,0,0,5,2,10,19,4,7,29,"5-2","Y","Y","Y",7,0,"Leverkusen-Stuttgart",158.75,3,49.75,47.0833333333333,656.25,124.583333333333,457.916666666667,2054.16666666667,27.5,191.75,455.833333333333,1450.91666666667,1134.58333333333
