"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"161","D1","2023-01-29","Schalke 04","FC Koln",0,0,"D",0,0,"D",3.81,3.75,2.02,"0-0","0-0",15,2,7,0,3,4,0,0,7,7,13,16,0,14,29,"7-7","N","N","N",7,0,"Schalke 04-FC Koln",0,0,0,70,1200,0,980,0,0,0,0,0,0
"167","D1","2023-02-04","FC Koln","RB Leipzig",0,0,"D",0,0,"D",4.11,3.79,1.93,"0-0","0-0",9,0,7,2,3,4,0,0,5,1,10,15,0,6,25,"5-1","N","N","N",7,0,"FC Koln-RB Leipzig",0,0,0,70,1200,0,420,0,0,0,0,0,0
"180","D1","2023-02-12","FC Koln","Ein Frankfurt",3,0,"H",0,0,"D",2.71,3.66,2.63,"0-0","3-0",9,4,7,1,3,2,0,0,3,9,15,11,3,12,26,"3-9","Y","Y","N",5,0,"FC Koln-Ein Frankfurt",206,3,60,50,600,150,600,3000,36,180,720,2472,1800
"184","D1","2023-02-18","Stuttgart","FC Koln",3,0,"H",1,0,"H",2.48,3.53,2.97,"1-0","3-0",18,7,11,4,3,4,0,0,3,6,10,12,3,9,22,"3-6","Y","Y","N",7,0,"Stuttgart-FC Koln",142,3,62,70,1200,210,630,4340,27,186,558,1278,1890
"191","D1","2023-02-25","FC Koln","Wolfsburg",0,2,"A",0,1,"A",2.4,3.6,3.06,"0-1","0-2",11,5,6,4,1,2,0,0,10,2,9,16,2,12,25,"10-2","Y","N","N",3,0,"FC Koln-Wolfsburg",72,2,58,30,200,60,360,1740,24,116,696,864,720
"204","D1","2023-03-04","Union Berlin","FC Koln",0,0,"D",0,0,"D",1.93,3.45,4.56,"0-0","0-0",8,2,12,4,1,0,0,0,5,4,9,10,0,9,19,"5-4","N","N","N",1,0,"Union Berlin-FC Koln",0,0,0,10,0,0,90,0,0,0,0,0,0
"158","D1","2023-01-28","Mainz","Bochum",5,2,"H",3,0,"H",1.74,4.06,4.96,"3-0","5-2",14,7,14,4,0,1,0,0,3,2,17,11,7,5,28,"3-2","Y","Y","Y",1,0,"Mainz-Bochum",332,7,96,10,0,70,50,960,35,672,480,1660,350
"164","D1","2023-02-04","Bochum","Hoffenheim",5,2,"H",3,0,"H",2.8,3.64,2.56,"3-0","5-2",17,11,10,4,2,3,0,0,6,6,13,15,7,12,28,"6-6","Y","Y","Y",5,0,"Bochum-Hoffenheim",370,7,111,50,600,350,600,5550,84,777,1332,4440,4200
"173","D1","2023-02-11","Bayern Munich","Bochum",3,0,"H",1,0,"H",1.15,9.98,16.58,"1-0","3-0",25,12,7,1,1,1,0,0,6,3,10,12,3,9,22,"6-3","Y","Y","N",2,0,"Bayern Munich-Bochum",178,3,43,20,100,60,180,860,27,129,387,1602,540
"182","D1","2023-02-18","Bochum","Freiburg",0,2,"A",0,1,"A",3.15,3.56,2.36,"0-1","0-2",15,6,15,5,4,2,1,0,5,5,15,10,2,10,25,"5-5","Y","N","N",6,1,"Bochum-Freiburg",90,2,47,85,1300,170,850,3995,20,94,470,900,1700
"195","D1","2023-02-25","Werder Bremen","Bochum",3,0,"H",2,0,"H",2.04,3.78,3.72,"2-0","3-0",12,6,9,2,3,2,0,0,2,0,16,16,3,2,32,"2-0","Y","Y","N",5,0,"Werder Bremen-Bochum",131,3,40,50,600,150,100,2000,6,120,80,262,300
"201","D1","2023-03-04","Bochum","Schalke 04",0,2,"A",0,1,"A",2.44,3.48,3.03,"0-1","0-2",6,4,9,5,2,1,0,0,4,4,17,11,2,8,28,"4-4","Y","N","N",3,0,"Bochum-Schalke 04",124,2,12,30,200,60,240,360,16,24,96,992,480
"13","D1","2023-03-04","Bochum","Schalke 04",0,2,"A",0,1,"A",2.44,3.48,3.03,"0-1","0-2",6,4,9,5,2,1,0,0,4,4,17,11,2,8,28,"4-4","Y","N","N",3,0,"Bochum-Schalke 04",137.083333333333,2.66666666666667,44.0833333333333,45.4166666666667,600,106.666666666667,425,1900.41666666667,22.9166666666667,191.5,401.583333333333,1205.83333333333,998.333333333333
