"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"184","D1","2023-02-18","Stuttgart","FC Koln",3,0,"H",1,0,"H",2.48,3.53,2.97,"1-0","3-0",18,7,11,4,3,4,0,0,3,6,10,12,3,9,22,"3-6","Y","Y","N",7,0,"Stuttgart-FC Koln",142,3,62,70,1200,210,630,4340,27,186,558,1278,1890
"191","D1","2023-02-25","FC Koln","Wolfsburg",0,2,"A",0,1,"A",2.4,3.6,3.06,"0-1","0-2",11,5,6,4,1,2,0,0,10,2,9,16,2,12,25,"10-2","Y","N","N",3,0,"FC Koln-Wolfsburg",72,2,0,30,200,60,360,0,24,0,0,864,720
"204","D1","2023-03-04","Union Berlin","FC Koln",0,0,"D",0,0,"D",1.93,3.45,4.56,"0-0","0-0",8,2,12,4,1,0,0,0,5,4,9,10,0,9,19,"5-4","N","N","N",1,0,"Union Berlin-FC Koln",0,0,0,10,0,0,90,0,0,0,0,0,0
"208","D1","2023-03-10","FC Koln","Bochum",0,2,"A",0,1,"A",1.78,3.87,4.92,"0-1","0-2",11,5,9,3,2,2,0,0,10,1,9,14,2,11,23,"10-1","Y","N","N",4,0,"FC Koln-Bochum",85,2,11,40,400,80,440,440,22,22,121,935,880
"222","D1","2023-03-18","Dortmund","FC Koln",6,1,"H",4,1,"H",1.47,4.99,6.61,"4-1","6-1",11,8,11,5,1,0,0,0,1,6,7,10,7,7,17,"1-6","Y","Y","Y",1,0,"Dortmund-FC Koln",281,7,0,10,0,70,70,0,49,0,0,1967,490
"233","D1","2023-04-02","FC Koln","Mgladbach",0,0,"D",0,0,"D",2.23,3.71,3.24,"0-0","0-0",12,5,8,2,3,3,0,0,11,1,18,8,0,12,26,"11-1","N","N","N",6,0,"FC Koln-Mgladbach",0,0,0,60,900,0,720,0,0,0,0,0,0
"183","D1","2023-02-18","Mgladbach","Bayern Munich",3,2,"H",1,1,"D",7.11,5.81,1.4,"1-1","3-2",17,7,13,4,0,1,0,1,4,0,9,9,5,4,18,"4-0","Y","Y","Y",1,1,"Mgladbach-Bayern Munich",277,5,0,35,0,175,140,0,20,0,0,1108,700
"190","D1","2023-02-24","Mainz","Mgladbach",4,0,"H",1,0,"H",2.19,3.68,3.4,"1-0","4-0",14,8,8,2,2,3,0,0,3,3,17,6,4,6,23,"3-3","Y","Y","Y",5,0,"Mainz-Mgladbach",236,4,0,50,600,200,300,0,24,0,0,1416,1200
"203","D1","2023-03-04","Mgladbach","Freiburg",0,0,"D",0,0,"D",2.52,3.57,2.86,"0-0","0-0",10,4,8,3,5,2,1,0,6,5,11,15,0,11,26,"6-5","N","N","N",7,1,"Mgladbach-Freiburg",0,0,0,95,1500,0,1045,0,0,0,0,0,0
"212","D1","2023-03-11","RB Leipzig","Mgladbach",3,0,"H",0,0,"D",1.43,5.16,7.18,"0-0","3-0",14,9,7,3,1,0,0,0,11,0,9,9,3,11,18,"11-0","Y","Y","N",1,0,"RB Leipzig-Mgladbach",209,3,0,10,0,30,110,0,33,0,0,2299,330
"217","D1","2023-03-17","Mgladbach","Werder Bremen",2,2,"D",0,0,"D",1.83,4.02,4.39,"0-0","2-2",21,9,6,3,1,1,0,0,6,5,9,12,4,11,21,"6-5","Y","Y","Y",2,0,"Mgladbach-Werder Bremen",275,4,0,20,100,80,220,0,44,0,0,3025,880
"2331","D1","2023-04-02","FC Koln","Mgladbach",0,0,"D",0,0,"D",2.23,3.71,3.24,"0-0","0-0",12,5,8,2,3,3,0,0,11,1,18,8,0,12,26,"11-1","N","N","N",6,0,"FC Koln-Mgladbach",0,0,0,60,900,0,720,0,0,0,0,0,0
"13","D1","2023-04-02","FC Koln","Mgladbach",0,0,"D",0,0,"D",2.23,3.71,3.24,"0-0","0-0",12,5,8,2,3,3,0,0,11,1,18,8,0,12,26,"11-1","N","N","N",6,0,"FC Koln-Mgladbach",131.416666666667,2.5,6.08333333333333,40.8333333333333,483.333333333333,75.4166666666667,403.75,398.333333333333,20.25,17.3333333333333,56.5833333333333,1074.33333333333,590.833333333333
