"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","D1",2024-01-20,"RB Leipzig","Leverkusen",2,3,"A",1,0,"H",2.44,3.78,2.79,"1-0","2-3",11,6,18,5,2,3,0,0,1,9,11,11,5,10,22,"1-9","Y","Y","Y",5,0,"RB Leipzig-Leverkusen",263,5,63,50,600,250,500,3150,50,315,630,2630,2500
"2","D1",2024-01-27,"Leverkusen","Mgladbach",0,0,"D",0,0,"D",1.27,6.56,9.6,"0-0","0-0",28,8,4,3,3,1,0,0,8,2,15,6,0,10,21,"8-2","N","N","N",4,0,"Leverkusen-Mgladbach",0,0,0,40,300,0,400,0,0,0,0,0,0
"3","D1",2024-02-03,"Darmstadt","Leverkusen",0,2,"A",0,1,"A",9.27,6.36,1.28,"0-1","0-2",8,6,18,7,2,2,0,0,4,3,14,8,2,7,22,"4-3","Y","N","N",4,0,"Darmstadt-Leverkusen",85,2,38,40,400,80,280,1520,14,76,266,595,560
"4","D1",2024-02-10,"Leverkusen","Bayern Munich",3,0,"H",1,0,"H",2.68,3.9,2.47,"1-0","3-0",14,8,8,1,3,2,0,0,4,6,13,13,3,10,26,"4-6","Y","Y","N",5,0,"Leverkusen-Bayern Munich",158,3,52,50,600,150,500,2600,30,156,520,1580,1500
"5","D1",2024-02-17,"Heidenheim","Leverkusen",1,2,"A",0,1,"A",8.03,5.8,1.35,"0-1","1-2",6,3,17,4,2,1,0,0,4,5,15,5,3,9,20,"4-5","Y","Y","N",3,0,"Heidenheim-Leverkusen",213,3,61,30,200,90,270,1830,27,183,549,1917,810
"6","D1",2024-02-23,"Leverkusen","Mainz",2,1,"H",1,1,"D",1.26,6.53,12.14,"1-1","2-1",18,7,13,4,3,5,0,1,11,2,14,16,3,13,30,"11-2","Y","Y","N",8,1,"Leverkusen-Mainz",79,3,73,105,2250,315,1365,7665,39,219,949,1027,4095
"7","D1",2024-01-26,"Ein Frankfurt","Mainz",1,0,"H",0,0,"D",2.17,3.44,3.54,"0-0","1-0",13,4,7,0,2,1,0,0,2,1,10,12,1,3,22,"2-1","N","N","N",3,0,"Ein Frankfurt-Mainz",73,1,27,30,200,30,90,810,3,27,81,219,90
"8","D1",2024-02-03,"Mainz","Werder Bremen",0,1,"A",0,1,"A",2.12,3.52,3.59,"0-1","0-1",20,5,6,1,4,3,0,0,11,1,22,16,1,12,38,"11-1","N","N","N",7,0,"Mainz-Werder Bremen",2,1,7,70,1200,70,840,490,12,7,84,24,840
"9","D1",2024-02-07,"Mainz","Union Berlin",1,1,"D",1,1,"D",2.22,3.29,3.58,"1-1","1-1",16,7,15,4,2,4,0,0,8,3,14,15,2,11,29,"8-3","Y","N","N",6,0,"Mainz-Union Berlin",90,2,35,60,800,120,660,2100,22,70,385,990,1320
"10","D1",2024-02-11,"Stuttgart","Mainz",3,1,"H",2,0,"H",1.44,4.77,7.45,"2-0","3-1",10,7,16,6,1,1,0,0,4,5,7,9,4,9,16,"4-5","Y","Y","Y",2,0,"Stuttgart-Mainz",163,4,68,20,100,80,180,1360,36,272,612,1467,720
"11","D1",2024-02-17,"Mainz","Augsburg",1,0,"H",1,0,"H",2.03,3.66,3.72,"1-0","1-0",19,4,10,4,3,2,0,1,7,7,8,16,1,14,24,"7-7","N","N","N",5,1,"Mainz-Augsburg",44,1,3,75,1350,75,1050,225,14,3,42,616,1050
"12","D1",2024-02-23,"Leverkusen","Mainz",2,1,"H",1,1,"D",1.26,6.53,12.14,"1-1","2-1",18,7,13,4,3,5,0,1,11,2,14,16,3,13,30,"11-2","Y","Y","N",8,1,"Leverkusen-Mainz",79,3,73,105,2250,315,1365,7665,39,219,949,1027,4095
"13","D1",2024-02-23,"Leverkusen","Mainz",2,1,"H",1,1,"D",1.26,6.53,12.14,"1-1","2-1",18,7,13,4,3,5,0,1,11,2,14,16,3,13,30,"11-2","Y","Y","N",8,1,"Leverkusen-Mainz",104.083333333333,2.33333333333333,41.6666666666667,56.25,854.166666666667,131.25,625,2451.25,23.8333333333333,128.916666666667,422.25,1007.66666666667,1465
