"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","D1",2023-11-26,"Hoffenheim","Mainz",1,1,"D",0,1,"A",1.85,4.08,4.01,"0-1","1-1",15,6,15,6,4,4,0,0,4,5,9,14,2,9,23,"4-5","Y","N","N",8,0,"Hoffenheim-Mainz",87,2,39,80,1600,160,720,3120,18,78,351,783,1440
"2","D1",2023-12-03,"Mainz","Freiburg",0,1,"A",0,0,"D",2.29,3.56,3.16,"0-0","0-1",19,6,13,5,1,1,0,0,14,3,16,11,1,17,27,"14-3","N","N","N",2,0,"Mainz-Freiburg",70,1,38,20,100,20,340,760,17,38,646,1190,340
"3","D1",2023-12-10,"FC Koln","Mainz",0,0,"D",0,0,"D",2.48,3.44,2.95,"0-0","0-0",7,3,13,5,2,4,0,0,1,7,10,10,0,8,20,"1-7","N","N","N",6,0,"FC Koln-Mainz",0,0,0,60,800,0,480,0,0,0,0,0,0
"4","D1",2023-12-16,"Mainz","Heidenheim",0,1,"A",0,1,"A",1.67,4.23,4.93,"0-1","0-1",16,4,5,2,3,3,0,0,8,1,9,20,1,9,29,"8-1","N","N","N",6,0,"Mainz-Heidenheim",12,1,18,60,900,60,540,1080,9,18,162,108,540
"5","D1",2023-12-19,"Dortmund","Mainz",1,1,"D",1,1,"D",1.57,4.84,5.33,"1-1","1-1",21,8,11,6,0,4,0,0,6,1,11,14,2,7,25,"6-1","Y","N","N",4,0,"Dortmund-Mainz",72,2,22,40,0,80,280,880,14,44,154,504,560
"6","D1",2024-01-13,"Mainz","Wolfsburg",1,1,"D",0,1,"A",2.25,3.47,3.33,"0-1","1-1",12,4,9,4,3,4,0,0,7,3,21,16,2,10,37,"7-3","Y","N","N",7,0,"Mainz-Wolfsburg",73,2,37,70,1200,140,700,2590,20,74,370,730,1400
"7","D1",2023-11-12,"Leverkusen","Union Berlin",4,0,"H",1,0,"H",1.29,6.09,10.4,"1-0","4-0",19,10,2,2,0,1,0,0,10,1,8,5,4,11,13,"10-1","Y","Y","Y",1,0,"Leverkusen-Union Berlin",236,4,49,10,0,40,110,490,44,196,539,2596,440
"8","D1",2023-11-25,"Union Berlin","Augsburg",1,1,"D",0,1,"A",2.01,3.65,3.79,"0-1","1-1",16,6,11,2,2,2,0,0,3,4,10,15,2,7,25,"3-4","Y","N","N",4,0,"Union Berlin-Augsburg",127,2,19,40,400,80,280,760,14,38,133,889,560
"9","D1",2023-12-09,"Union Berlin","Mgladbach",3,1,"H",1,0,"H",2.18,3.68,3.29,"1-0","3-1",16,6,13,4,1,3,0,0,6,7,9,8,4,13,17,"6-7","Y","Y","Y",4,0,"Union Berlin-Mgladbach",226,4,49,40,300,160,520,1960,52,196,637,2938,2080
"10","D1",2023-12-16,"Bochum","Union Berlin",3,0,"H",1,0,"H",2.68,3.48,2.68,"1-0","3-0",21,7,10,2,2,2,0,0,6,4,12,13,3,10,25,"6-4","Y","Y","N",4,0,"Bochum-Union Berlin",177,3,27,40,400,120,400,1080,30,81,270,1770,1200
"11","D1",2023-12-20,"Union Berlin","FC Koln",2,0,"H",0,0,"D",1.95,3.59,4.09,"0-0","2-0",12,8,15,7,0,0,0,0,4,5,10,7,2,9,17,"4-5","Y","N","N",0,0,"Union Berlin-FC Koln",133,2,27,0,0,0,0,0,18,54,243,1197,0
"12","D1",2024-01-13,"Freiburg","Union Berlin",0,0,"D",0,0,"D",2.1,3.62,3.54,"0-0","0-0",14,4,8,4,0,2,0,0,4,3,7,9,0,7,16,"4-3","N","N","N",2,0,"Freiburg-Union Berlin",0,0,0,20,0,0,140,0,0,0,0,0,0
"13","D1",2024-01-13,"Freiburg","Union Berlin",0,0,"D",0,0,"D",2.1,3.62,3.54,"0-0","0-0",14,4,8,4,0,2,0,0,4,3,7,9,0,7,16,"4-3","N","N","N",2,0,"Freiburg-Union Berlin",101.083333333333,1.91666666666667,27.0833333333333,40,475,71.6666666666667,375.833333333333,1060,19.6666666666667,68.0833333333333,292.083333333333,1058.75,713.333333333333
