"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","D1",2023-10-06,"Mgladbach","Mainz",2,2,"D",1,1,"D",2.08,3.93,3.48,"1-1","2-2",20,9,13,7,3,1,0,0,10,3,9,9,4,13,18,"10-3","Y","Y","Y",4,0,"Mgladbach-Mainz",209,4,86,40,300,160,520,3440,52,344,1118,2717,2080
"2","D1",2023-10-22,"FC Koln","Mgladbach",3,1,"H",1,0,"H",2.37,3.77,2.93,"1-0","3-1",21,8,5,2,0,2,0,1,8,3,13,10,4,11,23,"8-3","Y","Y","Y",2,1,"FC Koln-Mgladbach",173,4,61,45,0,180,495,2745,44,244,671,1903,1980
"3","D1",2023-10-28,"Mgladbach","Heidenheim",2,1,"H",1,1,"D",1.8,4.26,4.16,"1-1","2-1",11,6,8,3,0,3,0,0,6,4,5,18,3,10,23,"6-4","Y","Y","N",3,0,"Mgladbach-Heidenheim",94,3,41,30,0,90,300,1230,30,123,410,940,900
"4","D1",2023-11-04,"Freiburg","Mgladbach",3,3,"D",1,3,"A",2.08,4,3.31,"1-3","3-3",15,8,10,5,2,2,0,0,8,2,7,10,6,10,17,"8-2","Y","Y","Y",4,0,"Freiburg-Mgladbach",260,6,83,40,400,240,400,3320,60,498,830,2600,2400
"5","D1",2023-11-10,"Mgladbach","Wolfsburg",4,0,"H",2,0,"H",2.41,3.75,2.89,"2-0","4-0",16,8,12,4,1,3,0,0,8,5,7,12,4,13,19,"8-5","Y","Y","Y",4,0,"Mgladbach-Wolfsburg",193,4,81,40,300,160,520,3240,52,324,1053,2509,2080
"6","D1",2023-11-25,"Dortmund","Mgladbach",4,2,"H",3,2,"H",1.48,5.38,5.62,"3-2","4-2",20,13,10,3,1,2,0,0,5,4,11,11,6,9,22,"5-4","Y","Y","Y",3,0,"Dortmund-Mgladbach",238,6,142,30,200,180,270,4260,54,852,1278,2142,1620
"7","D1",2023-10-07,"Dortmund","Union Berlin",4,2,"H",1,2,"A",1.61,4.51,5.28,"1-2","4-2",12,7,12,6,1,1,0,0,4,6,7,15,6,10,22,"4-6","Y","Y","Y",2,0,"Dortmund-Union Berlin",221,6,92,20,100,120,200,1840,60,552,920,2210,1200
"8","D1",2023-10-20,"Dortmund","Werder Bremen",1,0,"H",0,0,"D",1.3,6.69,8.63,"0-0","1-0",22,5,6,1,1,5,0,0,10,4,5,10,1,14,15,"10-4","N","N","N",6,0,"Dortmund-Werder Bremen",67,1,19,60,500,60,840,1140,14,19,266,938,840
"9","D1",2023-10-29,"Ein Frankfurt","Dortmund",3,3,"D",2,1,"H",3.31,3.73,2.18,"2-1","3-3",11,7,14,4,3,2,0,0,0,4,11,10,6,4,21,"0-4","Y","Y","Y",5,0,"Ein Frankfurt-Dortmund",281,6,79,50,600,300,200,3950,24,474,316,1124,1200
"10","D1",2023-11-04,"Dortmund","Bayern Munich",0,4,"A",0,2,"A",3.77,4.42,1.84,"0-2","0-4",15,1,14,8,3,2,0,0,3,2,14,6,4,5,20,"3-2","Y","Y","Y",5,0,"Dortmund-Bayern Munich",175,4,29,50,600,200,250,1450,20,116,145,875,1000
"11","D1",2023-11-11,"Stuttgart","Dortmund",2,1,"H",1,1,"D",2.61,3.85,2.56,"1-1","2-1",22,10,5,1,2,3,0,0,6,1,13,16,3,7,29,"6-1","Y","Y","N",5,0,"Stuttgart-Dortmund",161,3,49,50,600,150,350,2450,21,147,343,1127,1050
"12","D1",2023-11-25,"Dortmund","Mgladbach",4,2,"H",3,2,"H",1.48,5.38,5.62,"3-2","4-2",20,13,10,3,1,2,0,0,5,4,11,11,6,9,22,"5-4","Y","Y","Y",3,0,"Dortmund-Mgladbach",238,6,142,30,200,180,270,4260,54,852,1278,2142,1620
"13","D1",2023-11-25,"Dortmund","Mgladbach",4,2,"H",3,2,"H",1.48,5.38,5.62,"3-2","4-2",20,13,10,3,1,2,0,0,5,4,11,11,6,9,22,"5-4","Y","Y","Y",3,0,"Dortmund-Mgladbach",192.5,4.41666666666667,75.3333333333333,40.4166666666667,316.666666666667,168.333333333333,384.583333333333,2777.08333333333,40.4166666666667,378.75,719,1768.91666666667,1497.5
