"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"640","D1","4/23/2023","Leverkusen","RB Leipzig",2,0,"H",1,0,"H",2.55,3.74,2.72,"Jan-00","Feb-00",8,6,26,8,3,5,0,1,0,9,10,9,2,9,19,"0-9","Y","N","N",8,1,"Leverkusen-RB Leipzig",126,2,34,105,2250,210,945,3570,18,68,306,1134,1890
"645","D1","4/29/2023","RB Leipzig","Hoffenheim",1,0,"H",1,0,"H",1.44,5.2,6.89,"Jan-00","Jan-00",16,2,5,2,0,2,0,0,7,1,9,14,1,8,23,"1-Jul","N","N","N",2,0,"RB Leipzig-Hoffenheim",28,1,18,20,0,20,160,360,8,18,144,224,160
"654","D1","5/6/2023","Freiburg","RB Leipzig",0,1,"A",0,0,"D",4.05,3.69,1.95,"0-0","0-1",5,2,13,6,2,4,0,0,3,3,9,11,1,6,20,"3-Mar","N","N","N",6,0,"Freiburg-RB Leipzig",73,1,44,60,800,60,360,2640,6,44,264,438,360
"668","D1","5/14/2023","RB Leipzig","Werder Bremen",2,1,"H",0,0,"D",1.26,6.76,10.27,"0-0","1-Feb",20,7,6,2,2,5,0,0,3,2,12,20,3,5,32,"2-Mar","Y","Y","N",7,0,"RB Leipzig-Werder Bremen",247,3,31,70,1000,210,350,2170,15,93,155,1235,1050
"674","D1","5/20/2023","Bayern Munich","RB Leipzig",1,3,"A",1,0,"H",1.52,5.17,5.49,"Jan-00","3-Jan",17,4,16,8,1,1,0,0,7,2,8,11,4,9,19,"2-Jul","Y","Y","Y",2,0,"Bayern Munich-RB Leipzig",251,4,69,20,100,80,180,1380,36,276,621,2259,720
"683","D1","5/27/2023","RB Leipzig","Schalke 04",4,2,"H",2,1,"H",1.63,4.74,4.7,"1-Feb","2-Apr",19,12,16,4,2,2,0,0,4,5,13,11,6,9,24,"5-Apr","Y","Y","Y",4,0,"RB Leipzig-Schalke 04",278,6,111,40,400,240,360,4440,54,666,999,2502,2160
"633","D1","4/21/2023","Augsburg","Stuttgart",1,1,"D",1,0,"H",3.39,3.76,2.17,"Jan-00","1-Jan",4,1,6,3,5,3,0,0,1,3,17,12,2,4,29,"3-Jan","Y","N","N",8,0,"Augsburg-Stuttgart",86,2,10,80,1500,160,320,800,8,20,40,344,640
"646","D1","4/29/2023","Stuttgart","Mgladbach",2,1,"H",1,0,"H",1.84,4.08,4.15,"Jan-00","1-Feb",18,5,9,4,2,2,0,1,5,8,11,14,3,13,25,"8-May","Y","Y","N",4,1,"Stuttgart-Mgladbach",183,3,24,65,900,195,845,1560,39,72,312,2379,2535
"655","D1","5/6/2023","Hertha","Stuttgart",2,1,"H",2,1,"H",3.16,3.59,2.31,"1-Feb","1-Feb",7,3,16,4,4,1,0,0,3,5,9,19,3,8,28,"5-Mar","Y","Y","N",5,0,"Hertha-Stuttgart",112,3,36,50,400,150,400,1800,24,108,288,896,1200
"667","D1","5/14/2023","Stuttgart","Leverkusen",1,1,"D",0,0,"D",2.51,3.71,2.78,"0-0","1-Jan",9,1,12,3,3,4,0,0,7,3,7,14,2,10,21,"3-Jul","Y","N","N",7,0,"Stuttgart-Leverkusen",127,2,34,70,1200,140,700,2380,20,68,340,1270,1400
"675","D1","5/21/2023","Mainz","Stuttgart",1,4,"A",1,1,"D",2.58,3.66,2.72,"1-Jan","4-Jan",9,6,8,6,3,1,0,0,6,3,18,11,5,9,29,"3-Jun","Y","Y","Y",4,0,"Mainz-Stuttgart",296,5,52,40,300,200,360,2080,45,260,468,2664,1800
"684","D1","5/27/2023","Stuttgart","Hoffenheim",1,1,"D",0,0,"D",1.61,4.68,4.92,"0-0","1-Jan",19,4,8,2,0,0,0,0,9,2,12,10,2,11,22,"2-Sep","Y","N","N",0,0,"Stuttgart-Hoffenheim",155,2,19,0,0,0,0,0,22,38,209,1705,0
"13","D1","5/27/2023","Stuttgart","Hoffenheim",1,1,"D",0,0,"D",1.61,4.68,4.92,"0-0","1-Jan",19,4,8,2,0,0,0,0,9,2,12,10,2,11,22,"2-Sep","Y","N","N",0,0,"Stuttgart-Hoffenheim",163.5,2.83333333333333,40.1666666666667,51.6666666666667,737.5,138.75,415,1931.66666666667,24.5833333333333,144.25,345.5,1420.83333333333,1159.58333333333
