"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3822","D2",2023-04-01,"Karlsruhe","Braunschweig",1,1,"D",0,1,"A",1.75,4.07,4.74,"0-1","1-1",19,7,6,2,2,6,0,1,13,1,12,9,2,14,21,"13-1","Y","N","N",8,1,2,105,1700,210,1470,28,2940
"3828","D2",2023-04-08,"Braunschweig","Kaiserslautern",1,0,"H",0,0,"D",2.81,3.22,2.77,"0-0","1-0",16,5,8,4,1,2,0,0,9,3,8,15,1,12,23,"9-3","N","N","N",3,0,1,30,200,30,360,12,360
"3845","D2",2023-04-16,"St Pauli","Braunschweig",1,2,"A",0,2,"A",1.58,4.28,6.11,"0-2","1-2",21,7,10,2,1,2,0,0,4,1,7,12,3,5,19,"4-1","Y","Y","N",3,0,3,30,200,90,150,15,450
"3851","D2",2023-04-22,"Braunschweig","Magdeburg",1,2,"A",0,1,"A",2.33,3.66,3.07,"0-1","1-2",17,7,10,3,4,3,0,0,4,1,18,14,3,5,32,"4-1","Y","Y","N",7,0,3,70,1200,210,350,15,1050
"3856","D2",2023-04-28,"Paderborn","Braunschweig",5,1,"H",2,0,"H",1.74,4.17,4.69,"2-0","5-1",15,6,11,3,2,4,0,0,4,0,9,9,6,4,18,"4-0","Y","Y","Y",6,0,6,60,800,360,240,24,1440
"3870","D2",2023-05-07,"Braunschweig","Sandhausen",2,1,"H",0,0,"D",2.03,3.72,3.74,"0-0","2-1",12,6,10,5,1,0,0,0,3,12,15,8,3,15,23,"3-12","Y","Y","N",1,0,3,10,0,30,150,45,450
"3821","D2",2023-04-01,"Hannover","Sandhausen",3,1,"H",1,1,"D",1.95,3.84,3.91,"1-1","3-1",14,6,17,5,4,2,0,0,7,9,10,13,4,16,23,"7-9","Y","Y","Y",6,0,4,60,800,240,960,64,3840
"3829","D2",2023-04-08,"Hamburg","Hannover",6,1,"H",2,0,"H",1.55,4.59,5.93,"2-0","6-1",17,8,6,2,3,1,0,0,6,3,11,5,7,9,16,"6-3","Y","Y","Y",4,0,7,40,300,280,360,63,2520
"3838","D2",2023-04-14,"Hannover","Heidenheim",0,3,"A",0,3,"A",3.45,3.49,2.21,"0-3","0-3",14,6,12,4,3,1,0,0,6,8,11,13,3,14,24,"6-8","Y","Y","N",4,0,3,40,300,120,560,42,1680
"3848","D2",2023-04-22,"Bielefeld","Hannover",1,3,"A",1,2,"A",1.86,3.87,4.26,"1-2","1-3",14,5,7,4,3,2,0,1,4,6,14,9,4,10,23,"4-6","Y","Y","Y",5,1,4,75,1350,300,750,40,3000
"3860","D2",2023-04-29,"Hannover","Nurnberg",3,0,"H",1,0,"H",2.45,3.44,3.05,"1-0","3-0",12,7,14,2,1,1,0,0,3,9,13,6,3,12,19,"3-9","Y","Y","N",2,0,3,20,100,60,240,36,720
"3868","D2",2023-05-06,"Karlsruhe","Hannover",2,1,"H",2,1,"H",1.77,4.28,4.34,"2-1","2-1",10,5,18,4,1,0,0,0,4,6,14,6,3,10,20,"4-6","Y","Y","N",1,0,3,10,0,30,100,30,300
"13","D2",2023-05-06,"Karlsruhe","Hannover",2,1,"H",2,1,"H",1.77,4.28,4.34,"2-1","2-1",10,5,18,4,1,0,0,0,4,6,14,6,3,10,20,"4-6","Y","Y","N",1,0,3.5,45.8333333333333,579.166666666667,163.333333333333,474.166666666667,34.5,1562.5
