"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2929","D2",2024-01-28,"Braunschweig","Magdeburg",1,0,"H",1,0,"H",2.73,3.64,2.59,"1-0","1-0",14,7,8,4,1,5,0,1,3,2,8,15,1,5,23,"3-2","N","N","N",6,1,1,85,750,85,425,5,425
"2935","D2",2024-02-03,"Schalke 04","Braunschweig",1,0,"H",0,0,"D",1.85,3.96,4.24,"0-0","1-0",18,7,8,1,2,2,0,0,3,5,8,7,1,8,15,"3-5","N","N","N",4,0,1,40,400,40,320,8,320
"2943","D2",2024-02-10,"Braunschweig","Karlsruhe",2,0,"H",1,0,"H",2.52,3.66,2.8,"1-0","2-0",13,8,15,7,2,2,0,0,5,11,6,13,2,16,19,"5-11","Y","N","N",4,0,2,40,400,80,640,32,1280
"2958","D2",2024-02-18,"St Pauli","Braunschweig",1,0,"H",1,0,"H",1.39,4.82,9.47,"1-0","1-0",10,4,9,2,3,2,1,0,5,4,7,11,1,9,18,"5-4","N","N","N",5,1,1,75,1100,75,675,9,675
"2961","D2",2024-02-24,"Braunschweig","Hertha",1,1,"D",1,0,"H",2.58,3.6,2.76,"1-0","1-1",9,3,12,2,2,0,1,0,5,4,13,11,2,9,24,"5-4","Y","N","N",2,1,2,45,0,90,405,18,810
"2972","D2",2024-03-02,"Nurnberg","Braunschweig",2,1,"H",2,0,"H",2.46,3.52,2.96,"2-0","2-1",15,5,10,2,3,2,0,0,5,4,5,11,3,9,16,"5-4","Y","Y","N",5,0,3,50,600,150,450,27,1350
"2925","D2",2024-01-27,"Hansa Rostock","Elversberg",2,1,"H",0,1,"A",2.98,3.65,2.39,"0-1","2-1",11,4,21,2,2,3,0,1,2,11,14,9,3,13,23,"2-11","Y","Y","N",5,1,3,75,1100,225,975,39,2925
"2939","D2",2024-02-04,"Hannover","Hansa Rostock",2,1,"H",1,1,"D",1.61,4.25,5.77,"1-1","2-1",15,5,10,4,4,2,1,0,6,6,13,13,3,12,26,"6-6","Y","Y","N",6,1,3,85,1300,255,1020,36,3060
"2949","D2",2024-02-11,"Osnabruck","Hansa Rostock",0,0,"D",0,0,"D",2.4,3.54,3.04,"0-0","0-0",25,7,8,1,3,2,0,0,9,2,9,23,0,11,32,"9-2","N","N","N",5,0,0,50,600,0,550,0,0
"2952","D2",2024-02-17,"Hansa Rostock","Hamburg",2,2,"D",0,1,"A",4.75,4.41,1.68,"0-1","2-2",10,7,13,4,4,2,0,0,1,1,20,13,4,2,33,"1-1","Y","Y","Y",6,0,4,60,800,240,120,8,480
"2965","D2",2024-02-25,"Fortuna Dusseldorf","Hansa Rostock",2,0,"H",2,0,"H",1.44,4.97,7.3,"2-0","2-0",17,10,14,3,1,0,0,0,2,7,3,10,2,9,13,"2-7","Y","N","N",1,0,2,10,0,20,90,18,180
"2971","D2",2024-03-02,"Hansa Rostock","Kaiserslautern",0,3,"A",0,1,"A",2.9,3.5,2.52,"0-1","0-3",7,2,20,10,3,1,1,0,2,7,15,9,3,9,24,"2-7","Y","Y","N",4,1,3,65,550,195,585,27,1755
"13","D2",2024-03-02,"Hansa Rostock","Kaiserslautern",0,3,"A",0,1,"A",2.9,3.5,2.52,"0-1","0-3",7,2,20,10,3,1,1,0,2,7,15,9,3,9,24,"2-7","Y","Y","N",4,1,2.08333333333333,56.6666666666667,633.333333333333,121.25,521.25,18.9166666666667,1105
