"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2971","D2",2023-02-03,"Sandhausen","Darmstadt",0,4,"A",0,2,"A",3.85,3.46,2.08,"0-2","0-4",17,4,11,6,3,1,0,0,3,7,11,9,4,10,20,"3-7","Y","Y","Y",4,0,4,40,300,160,400,40,1600
"2985","D2",2023-02-12,"Darmstadt","Braunschweig",2,1,"H",0,0,"D",1.56,4.41,6.08,"0-0","2-1",21,6,9,4,5,7,0,1,8,1,13,21,3,9,34,"8-1","Y","Y","N",12,1,3,145,4750,435,1305,27,3915
"2993","D2",2023-02-18,"Hansa Rostock","Darmstadt",0,1,"A",0,0,"D",3.69,3.39,2.16,"0-0","0-1",14,0,17,7,0,1,0,0,9,5,12,6,1,14,18,"9-5","N","N","N",1,0,1,10,0,10,140,14,140
"3002","D2",2023-02-25,"Darmstadt","Hamburg",1,1,"D",0,1,"A",2.72,3.71,2.56,"0-1","1-1",12,6,13,2,1,5,0,0,6,5,9,19,2,11,28,"6-5","Y","N","N",6,0,2,60,500,120,660,22,1320
"3011","D2",2023-03-04,"Heidenheim","Darmstadt",1,0,"H",0,0,"D",2.48,3.52,2.94,"0-0","1-0",17,4,10,2,3,1,1,0,9,2,18,11,1,11,29,"9-2","N","N","N",4,1,1,65,550,65,715,11,715
"3017","D2",2023-03-11,"Bielefeld","Darmstadt",3,1,"H",0,0,"D",3.37,3.5,2.25,"0-0","3-1",20,9,12,4,0,0,0,0,6,4,7,13,4,10,20,"6-4","Y","Y","Y",0,0,4,0,0,0,0,40,0
"2973","D2",2023-02-04,"Kaiserslautern","Holstein Kiel",2,1,"H",1,1,"D",2.36,3.49,3.15,"1-1","2-1",16,4,11,3,3,3,0,0,8,3,9,9,3,11,18,"8-3","Y","Y","N",6,0,3,60,900,180,660,33,1980
"2987","D2",2023-02-12,"St Pauli","Kaiserslautern",1,0,"H",0,0,"D",2.09,3.54,3.73,"0-0","1-0",17,3,9,1,5,6,0,0,4,4,12,22,1,8,34,"4-4","N","N","N",11,0,1,110,3000,110,880,8,880
"2989","D2",2023-02-17,"Paderborn","Kaiserslautern",1,0,"H",0,0,"D",2,3.73,3.83,"0-0","1-0",13,6,16,2,0,3,0,0,3,6,8,16,1,9,24,"3-6","N","N","N",3,0,1,30,0,30,270,9,270
"3000","D2",2023-02-25,"Kaiserslautern","Greuther Furth",3,1,"H",1,0,"H",2.55,3.42,2.92,"1-0","3-1",14,6,14,2,3,3,0,1,2,7,13,10,4,9,23,"2-7","Y","Y","Y",6,1,4,85,1650,340,765,36,3060
"3006","D2",2023-03-03,"Magdeburg","Kaiserslautern",2,0,"H",1,0,"H",2.86,3.63,2.48,"1-0","2-0",21,10,12,5,4,4,0,0,4,2,14,16,2,6,30,"4-2","Y","N","N",8,0,2,80,1600,160,480,12,960
"3015","D2",2023-03-10,"Kaiserslautern","Sandhausen",2,2,"D",1,1,"D",1.71,3.85,5.32,"1-1","2-2",10,5,7,2,1,3,0,0,8,5,13,16,4,13,29,"8-5","Y","Y","Y",4,0,4,40,300,160,520,52,2080
"13","D2",2023-03-10,"Kaiserslautern","Sandhausen",2,2,"D",1,1,"D",1.71,3.85,5.32,"1-1","2-2",10,5,7,2,1,3,0,0,8,5,13,16,4,13,29,"8-5","Y","Y","Y",4,0,2.5,60.4166666666667,1129.16666666667,147.5,566.25,25.3333333333333,1410
