"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1646","D2",2023-10-20,"Elversberg","Braunschweig",3,0,"H",2,0,"H",1.9,4.14,3.84,"2-0","3-0",13,7,7,4,0,1,0,0,6,1,12,9,3,7,21,"6-1","Y","Y","N",1,0,3,10,0,30,70,21,210
"1662","D2",2023-10-29,"Magdeburg","Elversberg",1,2,"A",0,2,"A",2.13,3.92,3.29,"0-2","1-2",18,5,8,4,2,2,0,0,5,3,12,14,3,8,26,"5-3","Y","Y","N",4,0,3,40,400,120,320,24,960
"1664","D2",2023-11-03,"Elversberg","St Pauli",0,2,"A",0,2,"A",3.65,3.88,2.01,"0-2","0-2",7,2,10,4,2,1,0,0,6,3,10,7,2,9,17,"6-3","Y","N","N",3,0,2,30,200,60,270,18,540
"1673","D2",2023-11-10,"Schalke 04","Elversberg",1,2,"A",1,2,"A",2.14,3.86,3.3,"1-2","1-2",22,3,13,5,3,2,0,0,8,2,11,11,3,10,22,"8-2","Y","Y","N",5,0,3,50,600,150,500,30,1500
"1684","D2",2023-11-25,"Elversberg","Paderborn",4,1,"H",1,1,"D",2.48,3.88,2.72,"1-1","4-1",15,9,9,4,2,3,0,0,4,3,10,13,5,7,23,"4-3","Y","Y","Y",5,0,5,50,600,250,350,35,1750
"1697","D2",2023-12-03,"Hertha","Elversberg",5,1,"H",2,1,"H",1.96,4.04,3.67,"2-1","5-1",14,6,15,5,0,2,0,0,3,4,7,8,6,7,15,"3-4","Y","Y","Y",2,0,6,20,0,120,140,42,840
"1654","D2",2023-10-22,"Nurnberg","Hertha",3,1,"H",0,1,"A",2.77,3.77,2.49,"0-1","3-1",18,7,14,6,3,2,1,1,11,5,13,11,4,16,24,"11-5","Y","Y","Y",5,2,4,100,2475,400,1600,64,6400
"1661","D2",2023-10-29,"Holstein Kiel","Nurnberg",0,2,"A",0,0,"D",2.11,3.89,3.37,"0-0","0-2",14,1,21,5,2,4,0,0,7,3,12,8,2,10,20,"7-3","Y","N","N",6,0,2,60,800,120,600,20,1200
"1667","D2",2023-11-04,"Nurnberg","Schalke 04",1,2,"A",0,1,"A",2.25,3.84,3.09,"0-1","1-2",15,4,11,4,4,2,0,0,4,7,9,18,3,11,27,"4-7","Y","Y","N",6,0,3,60,800,180,660,33,1980
"1677","D2",2023-11-11,"Paderborn","Nurnberg",1,3,"A",0,3,"A",2.13,3.87,3.33,"0-3","1-3",24,9,12,8,2,1,0,1,12,2,17,8,4,14,25,"12-2","Y","Y","Y",3,1,4,55,700,220,770,56,3080
"1690","D2",2023-11-26,"Karlsruhe","Nurnberg",4,1,"H",1,0,"H",2.29,3.88,3,"1-0","4-1",19,8,12,3,2,3,0,0,6,8,10,9,5,14,19,"6-8","Y","Y","Y",5,0,5,50,600,250,700,70,3500
"1695","D2",2023-12-02,"Nurnberg","Fortuna Dusseldorf",0,5,"A",0,3,"A",2.81,3.7,2.49,"0-3","0-5",4,1,14,7,2,3,0,0,2,5,10,6,5,7,16,"2-5","Y","Y","Y",5,0,5,50,600,250,350,35,1750
"13","D2",2023-12-02,"Nurnberg","Fortuna Dusseldorf",0,5,"A",0,3,"A",2.81,3.7,2.49,"0-3","0-5",4,1,14,7,2,3,0,0,2,5,10,6,5,7,16,"2-5","Y","Y","Y",5,0,3.75,47.9166666666667,647.916666666667,179.166666666667,527.5,37.3333333333333,1975.83333333333
