"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1650","D2",2023-10-21,"Paderborn","St Pauli",2,2,"D",1,0,"H",3.21,3.95,2.16,"1-0","2-2",6,3,17,3,0,1,0,0,3,6,7,11,4,9,18,"3-6","Y","Y","Y",1,0,4,10,0,40,90,36,360
"1657","D2",2023-10-28,"Hertha","Paderborn",3,1,"H",2,0,"H",2.25,3.95,3.02,"2-0","3-1",11,5,16,6,5,1,1,0,3,9,13,14,4,12,27,"3-9","Y","Y","Y",6,1,4,85,750,340,1020,48,4080
"1672","D2",2023-11-05,"Karlsruhe","Paderborn",0,3,"A",0,1,"A",2.19,3.77,3.27,"0-1","0-3",16,7,11,5,4,1,0,0,2,3,10,10,3,5,20,"2-3","Y","Y","N",5,0,3,50,400,150,250,15,750
"1677","D2",2023-11-11,"Paderborn","Nurnberg",1,3,"A",0,3,"A",2.13,3.87,3.33,"0-3","1-3",24,9,12,8,2,1,0,1,12,2,17,8,4,14,25,"12-2","Y","Y","Y",3,1,4,55,700,220,770,56,3080
"1684","D2",2023-11-25,"Elversberg","Paderborn",4,1,"H",1,1,"D",2.48,3.88,2.72,"1-1","4-1",15,9,9,4,2,3,0,0,4,3,10,13,5,7,23,"4-3","Y","Y","Y",5,0,5,50,600,250,350,35,1750
"1699","D2",2023-12-03,"Paderborn","Hannover",1,0,"H",0,0,"D",2.41,3.71,2.92,"0-0","1-0",21,6,8,1,1,2,0,1,6,5,18,13,1,11,31,"6-5","N","N","N",3,1,1,55,450,55,605,11,605
"1647","D2",2023-10-20,"Hannover","Magdeburg",2,1,"H",1,0,"H",2.16,3.95,3.21,"1-0","2-1",14,4,13,8,2,3,0,0,6,9,9,14,3,15,23,"6-9","Y","Y","N",5,0,3,50,600,150,750,45,2250
"1658","D2",2023-10-28,"Schalke 04","Hannover",3,2,"H",1,0,"H",2.34,4.06,2.82,"1-0","3-2",11,6,14,3,4,1,0,0,4,5,15,15,5,9,30,"4-5","Y","Y","Y",5,0,5,50,400,250,450,45,2250
"1670","D2",2023-11-05,"Hannover","Braunschweig",2,0,"H",2,0,"H",1.59,4.51,5.56,"2-0","2-0",12,6,0,0,2,7,0,1,2,5,10,13,2,7,23,"2-5","Y","N","N",9,1,2,115,1900,230,805,14,1610
"1674","D2",2023-11-10,"St Pauli","Hannover",0,0,"D",0,0,"D",1.66,4.14,5.31,"0-0","0-0",13,2,2,0,2,4,0,0,7,1,12,15,0,8,27,"7-1","N","N","N",6,0,0,60,800,0,480,0,0
"1683","D2",2023-11-24,"Hannover","Hertha",2,2,"D",0,2,"A",2.28,3.61,3.21,"0-2","2-2",18,6,8,4,0,1,0,0,9,1,10,16,4,10,26,"9-1","Y","Y","Y",1,0,4,10,0,40,100,40,400
"16991","D2",2023-12-03,"Paderborn","Hannover",1,0,"H",0,0,"D",2.41,3.71,2.92,"0-0","1-0",21,6,8,1,1,2,0,1,6,5,18,13,1,11,31,"6-5","N","N","N",3,1,1,55,450,55,605,11,605
"13","D2",2023-12-03,"Paderborn","Hannover",1,0,"H",0,0,"D",2.41,3.71,2.92,"0-0","1-0",21,6,8,1,1,2,0,1,6,5,18,13,1,11,31,"6-5","N","N","N",3,1,3,53.75,587.5,148.333333333333,522.916666666667,29.6666666666667,1478.33333333333
