"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2176","D2",2023-11-04,"Nurnberg","Schalke 04",1,2,"A",0,1,"A",2.25,3.84,3.09,"0-1","1-2",15,4,11,4,4,2,0,0,4,7,9,18,3,11,27,"4-7","Y","Y","N",6,0,3,60,800,180,660,33,1980
"2182","D2",2023-11-10,"Schalke 04","Elversberg",1,2,"A",1,2,"A",2.14,3.86,3.3,"1-2","1-2",22,3,13,5,3,2,0,0,8,2,11,11,3,10,22,"8-2","Y","Y","N",5,0,3,50,600,150,500,30,1500
"2196","D2",2023-11-25,"Fortuna Dusseldorf","Schalke 04",5,3,"H",3,0,"H",1.88,4,4.03,"3-0","5-3",13,9,11,7,1,2,0,0,6,8,8,9,8,14,17,"6-8","Y","Y","Y",3,0,8,30,200,240,420,112,3360
"2200","D2",2023-12-01,"Schalke 04","Osnabruck",4,0,"H",1,0,"H",1.56,4.52,5.91,"1-0","4-0",14,5,8,2,2,2,0,0,3,0,15,11,4,3,26,"3-0","Y","Y","Y",4,0,4,40,400,160,120,12,480
"2217","D2",2023-12-10,"Hansa Rostock","Schalke 04",0,2,"A",0,0,"D",2.83,3.72,2.47,"0-0","0-2",3,0,18,3,1,2,1,0,3,4,16,13,2,7,29,"3-4","Y","N","N",3,1,2,55,700,110,385,14,770
"2219","D2",2023-12-15,"Schalke 04","Greuther Furth",2,2,"D",1,0,"H",2.24,3.63,3.28,"1-0","2-2",12,8,11,8,4,1,1,0,2,3,14,14,4,5,28,"2-3","Y","Y","Y",5,1,4,75,650,300,375,20,1500
"2178","D2",2023-11-04,"Hamburg","Magdeburg",2,0,"H",1,0,"H",1.57,5.02,5.15,"1-0","2-0",16,7,13,4,1,2,0,1,4,6,18,10,2,10,28,"4-6","Y","N","N",3,1,2,55,450,110,550,20,1100
"2185","D2",2023-11-11,"Holstein Kiel","Hamburg",4,2,"H",1,0,"H",3.43,4.03,2.05,"1-0","4-2",16,8,15,7,2,2,0,0,7,6,13,13,6,13,26,"7-6","Y","Y","Y",4,0,6,40,400,240,520,78,3120
"2191","D2",2023-11-24,"Hamburg","Braunschweig",2,1,"H",2,0,"H",1.31,6.18,9.49,"2-0","2-1",16,5,14,3,1,2,0,0,7,4,11,10,3,11,21,"7-4","Y","Y","N",3,0,3,30,200,90,330,33,990
"2201","D2",2023-12-01,"St Pauli","Hamburg",2,2,"D",2,0,"H",1.91,3.92,4,"2-0","2-2",16,5,6,3,1,3,0,0,9,3,5,13,4,12,18,"9-3","Y","Y","Y",4,0,4,40,300,160,480,48,1920
"2212","D2",2023-12-09,"Hamburg","Paderborn",1,2,"A",1,1,"D",1.64,4.77,4.77,"1-1","1-2",18,6,11,4,2,1,1,1,8,4,16,8,3,12,24,"8-4","Y","Y","N",3,2,3,80,1575,240,960,36,2880
"2222","D2",2023-12-16,"Nurnberg","Hamburg",0,2,"A",0,0,"D",3.14,4.29,2.09,"0-0","0-2",12,2,14,4,1,5,0,0,4,6,9,18,2,10,27,"4-6","Y","N","N",6,0,2,60,500,120,600,20,1200
"13","D2",2023-12-16,"Nurnberg","Hamburg",0,2,"A",0,0,"D",3.14,4.29,2.09,"0-0","0-2",12,2,14,4,1,5,0,0,4,6,9,18,2,10,27,"4-6","Y","N","N",6,0,3.66666666666667,51.25,564.583333333333,175,491.666666666667,38,1733.33333333333
