"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"281","E0","2023-04-04","Bournemouth","Brighton",0,2,"A",0,1,"A",6.16,4.37,1.58,"0-1","0-2",14,3,16,6,1,1,0,0,5,5,11,5,2,10,16,"5-5","Y","N","N",2,0,"Bournemouth-Brighton",118,2,0,20,100,40,200,0,20,0,0,1180,400
"291","E0","2023-04-08","Leicester","Bournemouth",0,1,"A",0,1,"A",1.91,3.76,4.18,"0-1","0-1",14,4,19,7,0,3,0,0,6,6,10,13,1,12,23,"6-6","N","N","N",3,0,"Leicester-Bournemouth",40,1,0,30,0,30,360,0,12,0,0,480,360
"301","E0","2023-04-15","Tottenham","Bournemouth",2,3,"A",1,1,"D",1.49,4.68,6.8,"1-1","2-3",24,8,6,6,1,2,0,0,8,1,8,9,5,9,17,"8-1","Y","Y","Y",3,0,"Tottenham-Bournemouth",281,5,0,30,200,150,270,0,45,0,0,2529,1350
"313","E0","2023-04-23","Bournemouth","West Ham",0,4,"A",0,3,"A",2.85,3.3,2.68,"0-3","0-4",17,5,18,10,1,2,0,0,8,5,7,8,4,13,15,"8-5","Y","Y","Y",3,0,"Bournemouth-West Ham",132,4,69,30,200,120,390,2070,52,276,897,1716,1560
"323","E0","2023-04-27","Southampton","Bournemouth",0,1,"A",0,0,"D",2.34,3.49,3.19,"0-0","0-1",11,2,16,2,0,3,0,0,6,4,9,11,1,10,20,"6-4","N","N","N",3,0,"Southampton-Bournemouth",50,1,16,30,0,30,300,480,10,16,160,500,300
"328","E0","2023-04-30","Bournemouth","Leeds",4,1,"H",2,1,"H",2.65,3.57,2.69,"2-1","4-1",12,7,15,6,1,0,0,0,2,6,12,14,5,8,26,"2-6","Y","Y","Y",1,0,"Bournemouth-Leeds",0,0,0,10,0,50,80,0,40,0,0,0,400
"269","E0","2023-03-18","Chelsea","Everton",2,2,"D",0,0,"D",1.5,4.19,7.95,"0-0","2-2",20,7,12,3,2,2,0,0,8,2,8,12,4,10,20,"8-2","Y","Y","Y",4,0,"Chelsea-Everton",286,4,106,40,400,160,400,4240,40,424,1060,2860,1600
"277","E0","2023-04-01","Chelsea","Aston Villa",0,2,"A",0,1,"A",1.69,3.83,5.57,"0-1","0-2",27,8,5,2,3,3,0,0,13,2,14,16,2,15,30,"13-2","Y","N","N",6,0,"Chelsea-Aston Villa",74,2,0,60,900,120,900,0,30,0,0,1110,1800
"284","E0","2023-04-04","Chelsea","Liverpool",0,0,"D",0,0,"D",2.26,3.51,3.4,"0-0","0-0",12,3,7,4,1,4,0,0,3,5,6,17,0,8,23,"3-5","N","N","N",5,0,"Chelsea-Liverpool",0,0,0,50,400,0,400,0,0,0,0,0,0
"293","E0","2023-04-08","Wolves","Chelsea",1,0,"H",1,0,"H",4.28,3.58,1.93,"1-0","1-0",9,4,13,1,2,5,0,0,8,8,14,10,1,16,24,"8-8","N","N","N",7,0,"Wolves-Chelsea",31,1,27,70,1000,70,1120,1890,16,27,432,496,1120
"298","E0","2023-04-15","Chelsea","Brighton",1,2,"A",1,1,"D",2.67,3.52,2.72,"1-1","1-2",8,2,26,10,2,2,0,0,2,8,11,11,3,10,22,"2-8","Y","Y","N",4,0,"Chelsea-Brighton",124,3,61,40,400,120,400,2440,30,183,610,1240,1200
"319","E0","2023-04-26","Chelsea","Brentford",0,2,"A",0,1,"A",1.73,3.93,5.06,"0-1","0-2",15,4,7,1,1,2,0,0,5,2,5,13,2,7,18,"5-2","Y","N","N",3,0,"Chelsea-Brentford",115,2,47,30,200,60,210,1410,14,94,329,805,420
"13","E0","2023-04-26","Chelsea","Brentford",0,2,"A",0,1,"A",1.73,3.93,5.06,"0-1","0-2",15,4,7,1,1,2,0,0,5,2,5,13,2,7,18,"5-2","Y","N","N",3,0,"Chelsea-Brentford",104.25,2.08333333333333,27.1666666666667,36.6666666666667,316.666666666667,79.1666666666667,419.166666666667,1044.16666666667,25.75,85,290.666666666667,1076.33333333333,875.833333333333
