"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","E0",2024-03-02,"Luton","Aston Villa",2,3,"A",0,2,"A",4.34,4.44,1.72,"0-2","2-3",13,5,12,8,1,4,0,0,8,6,8,19,5,14,27,"8-6","Y","Y","Y",5,0,"Luton-Aston Villa",289,5,57,50,400,250,700,2850,70,285,798,4046,3500
"2","E0",2024-03-09,"Crystal Palace","Luton",1,1,"D",1,0,"H",1.77,3.95,4.58,"1-0","1-1",21,4,8,2,2,3,0,0,8,6,20,11,2,14,31,"8-6","Y","N","N",5,0,"Crystal Palace-Luton",101,2,24,50,600,100,700,1200,28,48,336,1414,1400
"3","E0",2024-03-13,"Bournemouth","Luton",4,3,"H",0,3,"A",1.51,4.71,6.18,"0-3","4-3",24,10,8,4,1,2,0,0,11,3,16,11,7,14,27,"11-3","Y","Y","Y",3,0,"Bournemouth-Luton",344,7,111,30,200,210,420,3330,98,777,1554,4816,2940
"4","E0",2024-03-16,"Luton","Nottm Forest",1,1,"D",0,1,"A",2.83,3.69,2.44,"0-1","1-1",10,4,16,6,1,2,0,0,6,7,10,17,2,13,27,"6-7","Y","N","N",3,0,"Luton-Nottm Forest",123,2,19,30,200,60,390,570,26,38,247,1599,780
"5","E0",2024-03-30,"Tottenham","Luton",2,1,"H",0,1,"A",1.21,7.6,11.57,"0-1","2-1",17,4,7,3,2,4,0,0,3,6,16,14,3,9,30,"3-6","Y","Y","N",6,0,"Tottenham-Luton",140,3,33,60,800,180,540,1980,27,99,297,1260,1620
"6","E0",2024-04-03,"Arsenal","Luton",2,0,"H",2,0,"H",1.11,11.82,20.95,"2-0","2-0",13,4,5,1,1,1,0,0,3,1,12,8,2,4,20,"3-1","Y","N","N",2,0,"Arsenal-Luton",68,2,35,20,100,40,80,700,8,70,140,272,160
"7","E0",2024-02-24,"Bournemouth","Man City",0,1,"A",0,1,"A",7.2,5.14,1.42,"0-1","0-1",13,4,15,6,2,2,0,0,3,8,14,6,1,11,20,"3-8","N","N","N",4,0,"Bournemouth-Man City",24,1,47,40,400,40,440,1880,11,47,517,264,440
"8","E0",2024-03-03,"Burnley","Bournemouth",0,2,"A",0,1,"A",3.79,3.83,1.96,"0-1","0-2",20,6,10,3,2,4,0,0,7,2,8,13,2,9,21,"7-2","Y","N","N",6,0,"Burnley-Bournemouth",101,2,43,60,800,120,540,2580,18,86,387,909,1080
"9","E0",2024-03-09,"Bournemouth","Sheffield United",2,2,"D",0,1,"A",1.35,5.55,8.52,"0-1","2-2",32,12,13,9,3,5,0,0,10,3,12,11,4,13,23,"10-3","Y","Y","Y",8,0,"Bournemouth-Sheffield United",255,4,64,80,1500,320,1040,5120,52,256,832,3315,4160
"10","E0",2024-03-13,"Bournemouth","Luton",4,3,"H",0,3,"A",1.51,4.71,6.18,"0-3","4-3",24,10,8,4,1,2,0,0,11,3,16,11,7,14,27,"11-3","Y","Y","Y",3,0,"Bournemouth-Luton",344,7,111,30,200,210,420,3330,98,777,1554,4816,2940
"11","E0",2024-03-30,"Bournemouth","Everton",2,1,"H",0,0,"D",2.24,3.56,3.27,"0-0","2-1",11,4,7,3,1,2,0,0,9,8,14,11,3,17,25,"9-8","Y","Y","N",3,0,"Bournemouth-Everton",241,3,46,30,200,90,510,1380,51,138,782,4097,1530
"12","E0",2024-04-02,"Bournemouth","Crystal Palace",1,0,"H",0,0,"D",2.02,3.8,3.69,"0-0","1-0",11,6,3,2,3,2,0,0,9,2,13,14,1,11,27,"9-2","N","N","N",5,0,"Bournemouth-Crystal Palace",79,1,19,50,600,50,550,950,11,19,209,869,550
"13","E0",2024-04-02,"Bournemouth","Crystal Palace",1,0,"H",0,0,"D",2.02,3.8,3.69,"0-0","1-0",11,6,3,2,3,2,0,0,9,2,13,14,1,11,27,"9-2","N","N","N",5,0,"Bournemouth-Crystal Palace",175.75,3.25,50.75,44.1666666666667,500,139.166666666667,527.5,2155.83333333333,41.5,220,637.75,2306.41666666667,1758.33333333333
