"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"286","E0","2023-04-05","West Ham","Newcastle",1,5,"A",1,2,"A",3.63,3.46,2.15,"1-2","1-5",7,2,15,8,2,1,0,0,7,6,11,12,6,13,23,"7-6","Y","Y","Y",3,0,"West Ham-Newcastle",277,6,50,30,200,180,390,1500,78,300,650,3601,2340
"289","E0","2023-04-08","Brentford","Newcastle",1,2,"A",1,0,"H",3.58,3.58,2.13,"1-0","1-2",12,6,10,4,0,0,0,0,6,5,10,15,3,11,25,"6-5","Y","Y","N",0,0,"Brentford-Newcastle",160,3,32,0,0,0,0,0,33,96,352,1760,0
"297","E0","2023-04-15","Aston Villa","Newcastle",3,0,"H",1,0,"H",3.71,3.47,2.13,"1-0","3-0",16,6,8,2,1,1,0,0,7,2,13,15,3,9,28,"7-2","Y","Y","N",2,0,"Aston Villa-Newcastle",158,3,0,20,100,60,180,0,27,0,0,1422,540
"314","E0","2023-04-23","Newcastle","Tottenham",6,1,"H",5,0,"H",1.84,3.94,4.31,"5-0","6-1",25,8,11,3,0,3,0,0,9,3,7,13,7,12,20,"9-3","Y","Y","Y",3,0,"Newcastle-Tottenham",173,7,100,30,0,210,360,3000,84,700,1200,2076,2520
"322","E0","2023-04-27","Everton","Newcastle",1,4,"A",0,1,"A",5.03,3.83,1.75,"0-1","1-4",13,5,15,8,2,1,0,0,3,14,8,6,5,17,14,"3-14","Y","Y","Y",3,0,"Everton-Newcastle",336,5,55,30,200,150,510,1650,85,275,935,5712,2550
"331","E0","2023-04-30","Newcastle","Southampton",3,1,"H",0,1,"A",1.33,5.71,9.61,"0-1","3-1",22,5,4,3,1,4,0,0,11,2,7,10,4,13,17,"11-2","Y","Y","Y",5,0,"Newcastle-Southampton",0,0,0,50,400,200,650,0,52,0,0,0,2600
"270","E0","2023-03-19","Arsenal","Crystal Palace",4,1,"H",2,0,"H",1.26,6.02,12.73,"2-0","4-1",15,5,8,4,0,1,0,0,5,4,8,10,5,9,18,"5-4","Y","Y","Y",1,0,"Arsenal-Crystal Palace",263,5,74,10,0,50,90,740,45,370,666,2367,450
"272","E0","2023-04-01","Arsenal","Leeds",4,1,"H",1,0,"H",1.29,5.97,10.92,"1-0","4-1",13,6,7,5,0,2,0,0,4,3,11,13,5,7,24,"4-3","Y","Y","Y",2,0,"Arsenal-Leeds",297,5,81,20,0,100,140,1620,35,405,567,2079,700
"296","E0","2023-04-09","Liverpool","Arsenal",2,2,"D",1,2,"A",2.82,3.81,2.44,"1-2","2-2",21,6,9,5,4,4,0,0,5,4,11,11,4,9,22,"5-4","Y","Y","Y",8,0,"Liverpool-Arsenal",165,4,40,80,1600,320,720,3200,36,160,360,1485,2880
"304","E0","2023-04-16","West Ham","Arsenal",2,2,"D",1,2,"A",6.14,4.29,1.57,"1-2","2-2",16,3,11,5,1,2,0,0,7,2,11,8,4,9,19,"7-2","Y","Y","Y",3,0,"West Ham-Arsenal",104,4,59,30,200,120,270,1770,36,236,531,936,1080
"307","E0","2023-04-21","Arsenal","Southampton",3,3,"D",1,2,"A",1.21,7.62,14.32,"1-2","3-3",25,6,8,6,1,5,0,0,7,2,10,14,6,9,24,"7-2","Y","Y","Y",6,0,"Arsenal-Southampton",279,6,90,60,500,360,540,5400,54,540,810,2511,3240
"321","E0","2023-04-26","Man City","Arsenal",4,1,"H",2,0,"H",1.57,4.52,5.71,"2-0","4-1",14,9,8,2,3,1,0,0,1,3,13,13,5,4,26,"1-3","Y","Y","Y",4,0,"Man City-Arsenal",282,5,64,40,300,200,160,2560,20,320,256,1128,800
"13","E0","2023-04-26","Man City","Arsenal",4,1,"H",2,0,"H",1.57,4.52,5.71,"2-0","4-1",14,9,8,2,3,1,0,0,1,3,13,13,5,4,26,"1-3","Y","Y","Y",4,0,"Man City-Arsenal",207.833333333333,4.41666666666667,53.75,33.3333333333333,291.666666666667,162.5,334.166666666667,1786.66666666667,48.75,283.5,527.25,2089.75,1641.66666666667
