"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"318","E0","4/26/2023","Nottm Forest","Brighton",3,1,"H",1,1,"D",6.12,4.42,1.56,"1-Jan","1-Mar",12,5,17,7,2,0,0,0,2,7,7,8,4,9,15,"7-Feb","Y","Y","Y",2,0,"Nottm Forest-Brighton",242,4,91,20,0,80,180,1820,36,364,819,2178,720
"326","E0","4/29/2023","Brentford","Nottm Forest",2,1,"H",0,1,"A",1.68,3.92,5.54,"0-1","1-Feb",14,8,5,3,1,2,0,0,6,0,6,13,3,6,19,"Jun-00","Y","Y","N",3,0,"Brentford-Nottm Forest",217,3,55,30,200,90,180,1650,18,165,330,1302,540
"347","E0","5/8/2023","Nottm Forest","Southampton",4,3,"H",3,1,"H",2.17,3.6,3.45,"1-Mar","3-Apr",9,4,19,5,1,0,0,0,2,11,16,10,7,13,26,"11-Feb","Y","Y","Y",1,0,"Nottm Forest-Southampton",322,7,94,10,0,70,130,940,91,658,1222,4186,910
"350","E0","5/13/2023","Chelsea","Nottm Forest",2,2,"D",0,1,"A",1.51,4.47,6.88,"0-1","2-Feb",14,6,11,2,3,1,0,0,2,5,13,15,4,7,28,"5-Feb","Y","Y","Y",4,0,"Chelsea-Nottm Forest",184,4,52,40,300,160,280,2080,28,208,364,1288,1120
"364","E0","5/20/2023","Nottm Forest","Arsenal",1,0,"H",1,0,"H",5.37,4.47,1.61,"Jan-00","Jan-00",6,2,11,3,3,2,0,0,3,6,11,12,1,9,23,"6-Mar","N","N","N",5,0,"Nottm Forest-Arsenal",19,1,9,50,600,50,450,450,9,9,81,171,450
"375","E0","5/28/2023","Crystal Palace","Nottm Forest",1,1,"D",0,1,"A",1.68,4.28,4.8,"0-1","1-Jan",16,4,7,4,0,2,0,0,5,4,9,13,2,9,22,"4-May","Y","N","N",2,0,"Crystal Palace-Nottm Forest",97,2,28,20,0,40,180,560,18,56,252,873,360
"346","E0","5/8/2023","Brighton","Everton",1,5,"A",0,3,"A",1.38,5.34,8.38,"0-3","5-Jan",23,5,10,5,1,5,0,0,15,1,11,13,6,16,24,"15-1","Y","Y","Y",6,0,"Brighton-Everton",310,6,79,60,500,360,960,4740,96,474,1264,4960,5760
"356","E0","5/14/2023","Arsenal","Brighton",0,3,"A",0,0,"D",1.78,4.36,4.21,"0-0","0-3",14,2,12,6,1,2,0,0,5,2,13,17,3,7,30,"2-May","Y","Y","N",3,0,"Arsenal-Brighton",227,3,71,30,200,90,210,2130,21,213,497,1589,630
"358","E0","5/18/2023","Newcastle","Brighton",4,1,"H",2,0,"H",2.06,3.95,3.44,"Feb-00","1-Apr",22,9,8,2,2,4,0,0,6,1,17,16,5,7,33,"1-Jun","Y","Y","Y",6,0,"Newcastle-Brighton",297,5,123,60,800,300,420,7380,35,615,861,2079,2100
"366","E0","5/21/2023","Brighton","Southampton",3,1,"H",2,0,"H",1.23,6.99,12.43,"Feb-00","1-Mar",26,8,5,1,2,5,0,0,4,3,8,9,4,7,17,"3-Apr","Y","Y","Y",7,0,"Brighton-Southampton",196,4,93,70,1000,280,490,6510,28,372,651,1372,1960
"369","E0","5/24/2023","Brighton","Man City",1,1,"D",1,1,"D",3.93,4.39,1.83,"1-Jan","1-Jan",20,7,13,4,2,1,0,0,5,1,16,11,2,6,27,"1-May","Y","N","N",3,0,"Brighton-Man City",63,2,67,30,200,60,180,2010,12,134,402,378,360
"372","E0","5/28/2023","Aston Villa","Brighton",2,1,"H",2,1,"H",2.05,4.03,3.35,"1-Feb","1-Feb",12,5,8,4,4,4,0,0,4,3,15,16,3,7,31,"3-Apr","Y","Y","N",8,0,"Aston Villa-Brighton",72,3,38,80,1600,240,560,3040,21,114,266,504,1680
"13","E0","5/28/2023","Aston Villa","Brighton",2,1,"H",2,1,"H",2.05,4.03,3.35,"1-Feb","1-Feb",12,5,8,4,4,4,0,0,4,3,15,16,3,7,31,"3-Apr","Y","Y","N",8,0,"Aston Villa-Brighton",187.166666666667,3.66666666666667,66.6666666666667,41.6666666666667,450,151.666666666667,351.666666666667,2775.83333333333,34.4166666666667,281.833333333333,584.083333333333,1740,1382.5
