"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"294","E0",2023-04-08,"Southampton","Man City",1,4,"A",0,1,"A",12.65,6.46,1.24,"0-1","1-4",4,1,13,8,0,2,0,0,0,10,6,10,5,10,16,"0-10","Y","Y","Y",2,0,"Southampton-Man City",318,5,65,20,0,100,200,1300,50,325,650,3180,1000
"300","E0",2023-04-15,"Southampton","Crystal Palace",0,2,"A",0,0,"D",2.88,3.19,2.73,"0-0","0-2",11,4,9,2,3,1,0,0,6,2,6,13,2,8,19,"6-2","Y","N","N",4,0,"Southampton-Crystal Palace",122,2,20,40,300,80,320,800,16,40,160,976,640
"307","E0",2023-04-21,"Arsenal","Southampton",3,3,"D",1,2,"A",1.21,7.62,14.32,"1-2","3-3",25,6,8,6,1,5,0,0,7,2,10,14,6,9,24,"7-2","Y","Y","Y",6,0,"Arsenal-Southampton",279,6,90,60,500,360,540,5400,54,540,810,2511,3240
"323","E0",2023-04-27,"Southampton","Bournemouth",0,1,"A",0,0,"D",2.34,3.49,3.19,"0-0","0-1",11,2,16,2,0,3,0,0,6,4,9,11,1,10,20,"6-4","N","N","N",3,0,"Southampton-Bournemouth",50,1,16,30,0,30,300,480,10,16,160,500,300
"331","E0",2023-04-30,"Newcastle","Southampton",3,1,"H",0,1,"A",1.33,5.71,9.61,"0-1","3-1",22,5,4,3,1,4,0,0,11,2,7,10,4,13,17,"11-2","Y","Y","Y",5,0,"Newcastle-Southampton",255,4,67,50,400,200,650,3350,52,268,871,3315,2600
"347","E0",2023-05-08,"Nottm Forest","Southampton",4,3,"H",3,1,"H",2.17,3.6,3.45,"3-1","4-3",9,4,19,5,1,0,0,0,2,11,16,10,7,13,26,"2-11","Y","Y","Y",1,0,"Nottm Forest-Southampton",0,0,0,10,0,70,130,0,91,0,0,0,910
"299","E0",2023-04-15,"Everton","Fulham",1,3,"A",1,1,"D",2.08,3.48,3.85,"1-1","1-3",15,7,21,7,3,2,0,0,4,8,10,6,4,12,16,"4-8","Y","Y","Y",5,0,"Everton-Fulham",176,4,42,50,600,200,600,2100,48,168,504,2112,2400
"308","E0",2023-04-22,"Fulham","Leeds",2,1,"H",0,0,"D",2.44,3.47,3.03,"0-0","2-1",12,5,10,2,1,4,0,0,8,6,10,15,3,14,25,"8-6","Y","Y","N",5,0,"Fulham-Leeds",209,3,52,50,400,150,700,2600,42,156,728,2926,2100
"316","E0",2023-04-25,"Aston Villa","Fulham",1,0,"H",1,0,"H",1.8,3.99,4.45,"1-0","1-0",14,3,1,0,3,2,0,0,8,2,6,18,1,10,24,"8-2","N","N","N",5,0,"Aston Villa-Fulham",21,1,5,50,600,50,500,250,10,5,50,210,500
"329","E0",2023-04-30,"Fulham","Man City",1,2,"A",1,2,"A",11.97,6.48,1.25,"1-2","1-2",4,1,12,9,1,3,0,0,2,5,9,10,3,7,19,"2-5","Y","Y","N",4,0,"Fulham-Man City",54,3,58,40,300,120,280,2320,21,174,406,378,840
"335","E0",2023-05-03,"Liverpool","Fulham",1,0,"H",1,0,"H",1.27,6.5,10.02,"1-0","1-0",15,3,9,3,0,0,0,0,7,5,10,8,1,12,18,"7-5","N","N","N",0,0,"Liverpool-Fulham",39,1,11,0,0,0,0,0,12,11,132,468,0
"345","E0",2023-05-08,"Fulham","Leicester",5,3,"H",3,0,"H",2.71,3.61,2.62,"3-0","5-3",17,7,18,9,0,3,0,0,2,7,13,15,8,9,28,"2-7","Y","Y","Y",3,0,"Fulham-Leicester",0,0,0,30,0,240,270,0,72,0,0,0,2160
"13","E0",2023-05-08,"Fulham","Leicester",5,3,"H",3,0,"H",2.71,3.61,2.62,"3-0","5-3",17,7,18,9,0,3,0,0,2,7,13,15,8,9,28,"2-7","Y","Y","Y",3,0,"Fulham-Leicester",126.916666666667,2.5,35.5,35.8333333333333,258.333333333333,133.333333333333,374.166666666667,1550,39.8333333333333,141.916666666667,372.583333333333,1381.33333333333,1390.83333333333
