"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"458","E1",2023-12-16,"Hull","Cardiff",3,0,"H",1,0,"H",1.91,3.6,4.4,"1-0","3-0",15,7,8,1,1,3,0,0,9,2,14,12,3,11,26,"9-2","Y","Y","N",4,0,3,40,300,120,440,33,1320
"477","E1",2023-12-23,"Sheffield Weds","Cardiff",1,2,"A",1,0,"H",2.18,3.34,3.71,"1-0","1-2",18,5,7,3,3,2,0,0,10,3,10,12,3,13,22,"10-3","Y","Y","N",5,0,3,50,600,150,650,39,1950
"482","E1",2023-12-26,"Cardiff","Plymouth",2,2,"D",1,1,"D",2.02,3.78,3.73,"1-1","2-2",17,4,13,6,0,1,0,0,7,3,5,9,4,10,14,"7-3","Y","Y","Y",1,0,4,10,0,40,100,40,400
"494","E1",2023-12-29,"Cardiff","Leicester",0,2,"A",0,1,"A",6.02,4.09,1.61,"0-1","0-2",10,2,9,4,1,0,0,0,5,2,11,7,2,7,18,"5-2","Y","N","N",1,0,2,10,0,20,70,14,140
"512","E1",2024-01-01,"QPR","Cardiff",1,2,"A",0,1,"A",2.36,3.2,3.44,"0-1","1-2",8,3,10,5,2,5,0,0,1,6,12,20,3,7,32,"1-6","Y","Y","N",7,0,3,70,1000,210,490,21,1470
"519","E1",2024-01-13,"Cardiff","Leeds",0,3,"A",0,2,"A",5.24,4.11,1.68,"0-2","0-3",9,1,15,7,1,1,0,0,5,4,5,7,3,9,12,"5-4","Y","Y","N",2,0,3,20,100,60,180,27,540
"463","E1",2023-12-16,"Sheffield Weds","QPR",2,1,"H",0,1,"A",2.39,3.24,3.32,"0-1","2-1",8,3,5,2,5,4,0,0,8,3,12,13,3,11,25,"8-3","Y","Y","N",9,0,3,90,2000,270,990,33,2970
"476","E1",2023-12-23,"QPR","Southampton",0,1,"A",0,1,"A",4.9,3.81,1.78,"0-1","0-1",12,2,13,4,1,3,0,1,7,5,8,12,1,12,20,"7-5","N","N","N",4,1,1,65,550,65,780,12,780
"481","E1",2023-12-26,"Millwall","QPR",2,0,"H",1,0,"H",2.2,3.27,3.72,"1-0","2-0",13,3,10,1,3,3,0,0,4,6,12,12,2,10,24,"4-6","Y","N","N",6,0,2,60,900,120,600,20,1200
"498","E1",2023-12-29,"Ipswich","QPR",0,0,"D",0,0,"D",1.47,4.69,7.14,"0-0","0-0",7,5,10,2,3,2,0,0,5,9,13,5,0,14,18,"5-9","N","N","N",5,0,0,50,600,0,700,0,0
"5121","E1",2024-01-01,"QPR","Cardiff",1,2,"A",0,1,"A",2.36,3.2,3.44,"0-1","1-2",8,3,10,5,2,5,0,0,1,6,12,20,3,7,32,"1-6","Y","Y","N",7,0,3,70,1000,210,490,21,1470
"527","E1",2024-01-14,"QPR","Watford",1,2,"A",0,0,"D",3.13,3.32,2.46,"0-0","1-2",16,7,9,2,3,3,0,0,8,4,17,13,3,12,30,"8-4","Y","Y","N",6,0,3,60,900,180,720,36,2160
"13","E1",2024-01-14,"QPR","Watford",1,2,"A",0,0,"D",3.13,3.32,2.46,"0-0","1-2",16,7,9,2,3,3,0,0,8,4,17,13,3,12,30,"8-4","Y","Y","N",6,0,2.5,49.5833333333333,662.5,120.416666666667,517.5,24.6666666666667,1200
