"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"157","E1",2023-09-19,"Southampton","Ipswich",0,1,"A",0,1,"A",2.32,3.74,3.05,"0-1","0-1",13,3,11,3,2,2,0,0,9,3,9,13,1,12,22,"9-3","N","N","N",4,0,1,40,400,40,480,12,480
"166","E1",2023-09-23,"Ipswich","Blackburn",4,3,"H",3,1,"H",1.7,4.26,4.77,"3-1","4-3",29,11,10,5,3,4,0,0,10,5,10,13,7,15,23,"10-5","Y","Y","Y",7,0,7,70,1200,490,1050,105,7350
"181","E1",2023-09-30,"Huddersfield","Ipswich",1,1,"D",0,0,"D",3.88,3.89,1.94,"0-0","1-1",12,6,20,6,3,3,0,0,5,6,10,11,2,11,21,"5-6","Y","N","N",6,0,2,60,900,120,660,22,1320
"190","E1",2023-10-03,"Ipswich","Hull",3,0,"H",2,0,"H",1.76,3.99,4.74,"2-0","3-0",14,6,13,6,0,0,0,0,6,5,16,11,3,11,27,"6-5","Y","Y","N",0,0,3,0,0,0,0,33,0
"205","E1",2023-10-07,"Ipswich","Preston",4,2,"H",3,1,"H",1.64,4.14,5.61,"3-1","4-2",16,10,8,2,0,3,0,0,7,0,10,11,6,7,21,"7-0","Y","Y","Y",3,0,6,30,0,180,210,42,1260
"155","E1",2023-09-19,"Preston","Birmingham",2,1,"H",0,0,"D",2.4,3.2,3.35,"0-0","2-1",10,3,16,4,2,1,0,0,5,2,11,13,3,7,24,"5-2","Y","Y","N",3,0,3,30,200,90,210,21,630
"171","E1",2023-09-23,"Rotherham","Preston",1,1,"D",1,1,"D",3.44,3.28,2.31,"1-1","1-1",3,1,14,6,3,2,0,0,2,10,7,6,2,12,13,"2-10","Y","N","N",5,0,2,50,600,100,600,24,1200
"185","E1",2023-09-30,"Preston","West Brom",0,4,"A",0,2,"A",2.5,3.27,3.11,"0-2","0-4",5,1,19,6,3,1,0,0,2,6,12,5,4,8,17,"2-6","Y","Y","Y",4,0,4,40,300,160,320,32,1280
"197","E1",2023-10-04,"Leicester","Preston",3,0,"H",0,0,"D",1.49,4.52,7.13,"0-0","3-0",9,4,6,1,0,2,0,0,4,4,3,8,3,8,11,"4-4","Y","Y","N",2,0,3,20,0,60,160,24,480
"2051","E1",2023-10-07,"Ipswich","Preston",4,2,"H",3,1,"H",1.64,4.14,5.61,"3-1","4-2",16,10,8,2,0,3,0,0,7,0,10,11,6,7,21,"7-0","Y","Y","Y",3,0,6,30,0,180,210,42,1260
"11","E1",2023-10-07,"Ipswich","Preston",4,2,"H",3,1,"H",1.64,4.14,5.61,"3-1","4-2",16,10,8,2,0,3,0,0,7,0,10,11,6,7,21,"7-0","Y","Y","Y",3,0,3.7,37,360,142,390,35.7,1526
