"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"596","E1",2024-01-27,"Millwall","Preston",1,1,"D",1,1,"D",2.27,3.14,3.73,"1-1","1-1",17,8,11,4,3,3,0,0,8,3,19,6,2,11,25,"8-3","Y","N","N",6,0,2,60,900,120,660,22,1320
"607","E1",2024-02-03,"Preston","Ipswich",3,2,"H",3,0,"H",3.87,3.57,2.04,"3-0","3-2",10,3,25,9,0,0,0,0,6,3,13,8,5,9,21,"6-3","Y","Y","Y",0,0,5,0,0,0,0,45,0
"617","E1",2024-02-10,"Cardiff","Preston",0,2,"A",0,2,"A",2.34,3.21,3.46,"0-2","0-2",14,5,3,3,2,1,0,0,4,0,5,11,2,4,16,"4-0","Y","N","N",3,0,2,30,200,60,120,8,240
"635","E1",2024-02-14,"Preston","Middlesbrough",2,1,"H",1,0,"H",3.36,3.46,2.26,"1-0","2-1",7,3,20,4,2,1,0,0,2,7,10,10,3,9,20,"2-7","Y","Y","N",3,0,3,30,200,90,270,27,810
"646","E1",2024-02-17,"Preston","Blackburn",2,2,"D",2,2,"D",2.44,3.5,3.01,"2-2","2-2",16,8,6,3,0,0,0,0,7,3,10,12,4,10,22,"7-3","Y","Y","Y",0,0,4,0,0,0,0,40,0
"654","E1",2024-02-23,"Coventry","Preston",0,3,"A",0,3,"A",1.78,3.78,4.9,"0-3","0-3",10,4,10,3,1,3,0,0,6,6,9,19,3,12,28,"6-6","Y","Y","N",4,0,3,40,300,120,480,36,1440
"605","E1",2024-02-03,"Hull","Millwall",1,0,"H",1,0,"H",2.06,3.48,3.92,"1-0","1-0",9,2,5,1,3,2,0,0,4,4,15,19,1,8,34,"4-4","N","N","N",5,0,1,50,600,50,400,8,400
"618","E1",2024-02-10,"Hull","Swansea",0,1,"A",0,1,"A",1.72,4.07,4.92,"0-1","0-1",9,3,13,5,1,3,0,0,2,4,7,10,1,6,17,"2-4","N","N","N",4,0,1,40,300,40,240,6,240
"629","E1",2024-02-13,"Rotherham","Hull",1,2,"A",1,0,"H",4.91,3.57,1.83,"1-0","1-2",11,6,20,8,2,1,0,0,4,9,13,6,3,13,19,"4-9","Y","Y","N",3,0,3,30,200,90,390,39,1170
"642","E1",2024-02-17,"Huddersfield","Hull",1,2,"A",0,1,"A",3.21,3.36,2.39,"0-1","1-2",16,3,9,3,3,1,0,0,11,3,11,8,3,14,19,"11-3","Y","Y","N",4,0,3,40,300,120,560,42,1680
"653","E1",2024-02-20,"Southampton","Hull",1,2,"A",0,2,"A",1.56,4.64,5.75,"0-2","1-2",15,3,17,5,1,2,0,0,4,2,9,13,3,6,22,"4-2","Y","Y","N",3,0,3,30,200,90,180,18,540
"656","E1",2024-02-24,"Hull","West Brom",1,1,"D",1,1,"D",2.5,3.29,3.08,"1-1","1-1",9,3,11,4,0,0,0,0,8,3,10,11,2,11,21,"8-3","Y","N","N",0,0,2,0,0,0,0,22,0
"13","E1",2024-02-24,"Hull","West Brom",1,1,"D",1,1,"D",2.5,3.29,3.08,"1-1","1-1",9,3,11,4,0,0,0,0,8,3,10,11,2,11,21,"8-3","Y","N","N",0,0,2.66666666666667,29.1666666666667,266.666666666667,65,275,26.0833333333333,653.333333333333
