"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"866","E1",2023-04-10,"West Brom","QPR",2,2,"D",2,1,"H",1.62,4.11,5.83,"2-1","2-2",12,6,14,2,0,1,0,0,8,4,8,12,4,12,20,"8-4","Y","Y","Y",1,0,4,10,0,40,120,48,480
"874","E1",2023-04-15,"QPR","Coventry",0,3,"A",0,1,"A",2.96,3.4,2.53,"0-1","0-3",6,2,14,5,1,3,0,0,5,2,9,10,3,7,19,"5-2","Y","Y","N",4,0,3,40,300,120,280,21,840
"889","E1",2023-04-19,"QPR","Norwich",1,1,"D",1,0,"H",3.46,3.52,2.19,"1-0","1-1",7,2,18,6,5,2,0,0,7,11,11,9,2,18,20,"7-11","Y","N","N",7,0,2,70,1000,140,1260,36,2520
"896","E1",2023-04-22,"Burnley","QPR",1,2,"A",0,0,"D",1.37,5.24,9.02,"0-0","1-2",21,6,6,5,2,2,0,0,11,4,5,10,3,15,15,"11-4","Y","Y","N",4,0,3,40,400,120,600,45,1800
"914","E1",2023-04-29,"Stoke","QPR",0,1,"A",0,0,"D",2.03,3.51,3.99,"0-0","0-1",6,2,4,4,1,3,0,0,7,0,7,10,1,7,17,"7-0","N","N","N",4,0,1,40,300,40,280,7,280
"929","E1",2023-05-08,"QPR","Bristol City",0,2,"A",0,1,"A",2.44,3.63,2.87,"0-1","0-2",16,0,8,2,0,1,0,0,7,3,13,7,2,10,20,"7-3","Y","N","N",1,0,2,10,0,20,100,20,200
"861","E1",2023-04-10,"Coventry","Watford",2,2,"D",0,2,"A",2.4,3.18,3.37,"0-2","2-2",23,6,7,4,3,5,0,0,6,4,8,14,4,10,22,"6-4","Y","Y","Y",8,0,4,80,1500,320,800,40,3200
"8741","E1",2023-04-15,"QPR","Coventry",0,3,"A",0,1,"A",2.96,3.4,2.53,"0-1","0-3",6,2,14,5,1,3,0,0,5,2,9,10,3,7,19,"5-2","Y","Y","N",4,0,3,40,300,120,280,21,840
"888","E1",2023-04-19,"Blackburn","Coventry",1,1,"D",1,0,"H",2.54,3.25,3.06,"1-0","1-1",6,2,4,3,3,1,0,0,5,6,14,9,2,11,23,"5-6","Y","N","N",4,0,2,40,300,80,440,22,880
"898","E1",2023-04-22,"Coventry","Reading",2,1,"H",1,0,"H",1.56,4.06,6.98,"1-0","2-1",19,5,11,3,4,4,0,0,2,4,15,12,3,6,27,"2-4","Y","Y","N",8,0,3,80,1600,240,480,18,1440
"910","E1",2023-04-29,"Coventry","Birmingham",2,0,"H",2,0,"H",1.52,4.29,7.04,"2-0","2-0",9,3,9,1,0,2,0,0,5,5,10,10,2,10,20,"5-5","Y","N","N",2,0,2,20,0,40,200,20,400
"925","E1",2023-05-08,"Middlesbrough","Coventry",1,1,"D",1,1,"D",2.59,3.62,2.7,"1-1","1-1",8,3,9,2,1,3,0,0,7,6,6,14,2,13,20,"7-6","Y","N","N",4,0,2,40,300,80,520,26,1040
"13","E1",2023-05-08,"Middlesbrough","Coventry",1,1,"D",1,1,"D",2.59,3.62,2.7,"1-1","1-1",8,3,9,2,1,3,0,0,7,6,6,14,2,13,20,"7-6","Y","N","N",4,0,2.58333333333333,42.5,500,113.333333333333,446.666666666667,27,1160
