"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"117","E1",2024-08-31,"West Brom","Swansea",1,0,"H",1,0,"H",1.86,3.7,4.27,"1-0","1-0",18,5,6,2,4,1,0,0,6,7,8,11,1,13,19,"6-7","N","N","N",5,0,1,50,400,50,650,13,650
"128","E1",2024-09-14,"Swansea","Norwich",1,0,"H",1,0,"H",2.34,3.46,2.97,"1-0","1-0",9,4,13,3,2,3,0,0,4,5,14,14,1,9,28,"4-5","N","N","N",5,0,1,50,600,50,450,9,450
"138","E1",2024-09-21,"Coventry","Swansea",1,2,"A",1,2,"A",1.71,3.93,4.62,"1-2","1-2",20,7,11,4,2,3,0,0,6,3,12,5,3,9,17,"6-3","Y","Y","N",5,0,3,50,600,150,450,27,1350
"154","E1",2024-09-29,"Swansea","Bristol City",1,1,"D",1,0,"H",2.33,3.52,2.96,"1-0","1-1",7,2,15,6,1,3,0,0,3,8,10,15,2,11,25,"3-8","Y","N","N",4,0,2,40,300,80,440,22,880
"164","E1",2024-10-02,"Sheffield United","Swansea",1,0,"H",1,0,"H",1.76,3.79,4.5,"1-0","1-0",15,3,7,1,3,2,0,0,5,5,13,9,1,10,22,"5-5","N","N","N",5,0,1,50,600,50,500,10,500
"175","E1",2024-10-05,"Swansea","Stoke",0,0,"D",0,0,"D",2.24,3.41,3.23,"0-0","0-0",19,5,10,4,0,4,0,0,5,9,8,14,0,14,22,"5-9","N","N","N",4,0,0,40,0,0,560,0,0
"112","E1",2024-08-31,"Leeds","Hull",2,0,"H",0,0,"D",1.32,5.4,9.66,"0-0","2-0",16,5,9,2,2,1,0,0,8,7,12,15,2,15,27,"8-7","Y","N","N",3,0,2,30,200,60,450,30,900
"120","E1",2024-09-14,"Leeds","Burnley",0,1,"A",0,1,"A",1.71,3.82,4.76,"0-1","0-1",17,4,7,3,3,4,0,1,9,3,8,13,1,12,21,"9-3","N","N","N",7,1,1,95,1950,95,1140,12,1140
"137","E1",2024-09-21,"Cardiff","Leeds",0,2,"A",0,1,"A",4.87,4.12,1.65,"0-1","0-2",3,2,15,7,2,2,1,0,0,4,10,14,2,4,24,"0-4","Y","N","N",4,1,2,65,900,130,260,8,520
"148","E1",2024-09-28,"Leeds","Coventry",3,0,"H",1,0,"H",1.56,4.29,5.47,"1-0","3-0",13,8,7,2,1,1,0,0,7,3,16,15,3,10,31,"7-3","Y","Y","N",2,0,3,20,100,60,200,30,600
"159","E1",2024-10-01,"Norwich","Leeds",1,1,"D",1,0,"H",3.78,3.61,2.03,"1-0","1-1",7,1,14,3,2,4,0,0,9,6,12,18,2,15,30,"9-6","Y","N","N",6,0,2,60,800,120,900,30,1800
"167","E1",2024-10-04,"Sunderland","Leeds",2,2,"D",1,1,"D",3.01,3.36,2.48,"1-1","2-2",14,4,15,4,3,3,0,0,8,1,11,16,4,9,27,"8-1","Y","Y","Y",6,0,4,60,900,240,540,36,2160
"13","E1",2024-10-04,"Sunderland","Leeds",2,2,"D",1,1,"D",3.01,3.36,2.48,"1-1","2-2",14,4,15,4,3,3,0,0,8,1,11,16,4,9,27,"8-1","Y","Y","Y",6,0,1.83333333333333,50.8333333333333,612.5,90.4166666666667,545,18.9166666666667,912.5
