"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"315","E1",2023-10-28,"Watford","Millwall",2,2,"D",1,1,"D",2.1,3.34,3.95,"1-1","2-2",19,6,11,4,3,3,0,0,7,2,13,13,4,9,26,"7-2","Y","Y","Y",6,0,4,60,900,240,540,36,2160
"321","E1",2023-11-04,"Huddersfield","Watford",0,0,"D",0,0,"D",3.27,3.45,2.31,"0-0","0-0",5,2,9,3,0,2,0,0,1,3,6,20,0,4,26,"1-3","N","N","N",2,0,0,20,0,0,80,0,0
"342","E1",2023-11-11,"Watford","Rotherham",5,0,"H",2,0,"H",1.49,4.43,7.55,"2-0","5-0",14,8,9,2,2,1,0,0,7,2,12,11,5,9,23,"7-2","Y","Y","Y",3,0,5,30,200,150,270,45,1350
"347","E1",2023-11-25,"Leicester","Watford",2,0,"H",0,0,"D",1.61,4.15,5.96,"0-0","2-0",23,8,9,1,2,5,0,1,6,2,5,14,2,8,19,"6-2","Y","N","N",7,1,2,95,1500,190,760,16,1520
"360","E1",2023-11-28,"Watford","Norwich",3,2,"H",2,2,"D",2.19,3.57,3.44,"2-2","3-2",21,9,12,5,1,4,0,0,7,5,14,12,5,12,26,"7-5","Y","Y","Y",5,0,5,50,400,250,600,60,3000
"370","E1",2023-12-02,"Hull","Watford",1,2,"A",1,1,"D",2.2,3.46,3.5,"1-1","1-2",23,7,10,4,1,2,0,0,8,2,7,12,3,10,19,"8-2","Y","Y","N",3,0,3,30,200,90,300,30,900
"307","E1",2023-10-28,"Southampton","Birmingham",3,1,"H",2,0,"H",1.62,4.27,5.54,"2-0","3-1",11,5,10,2,0,4,0,0,4,4,8,12,4,8,20,"4-4","Y","Y","Y",4,0,4,40,0,160,320,32,1280
"322","E1",2023-11-04,"Millwall","Southampton",0,1,"A",0,0,"D",3.55,3.68,2.11,"0-0","0-1",7,1,16,8,2,2,0,0,5,12,10,10,1,17,20,"5-12","N","N","N",4,0,1,40,400,40,680,17,680
"341","E1",2023-11-11,"Southampton","West Brom",2,1,"H",1,0,"H",1.88,3.76,4.31,"1-0","2-1",10,3,14,2,3,0,0,0,3,10,7,10,3,13,17,"3-10","Y","Y","N",3,0,3,30,0,90,390,39,1170
"346","E1",2023-11-25,"Huddersfield","Southampton",1,1,"D",0,1,"A",4.96,4.07,1.71,"0-1","1-1",10,2,16,4,4,1,0,0,2,7,5,11,2,9,16,"2-7","Y","N","N",5,0,2,50,400,100,450,18,900
"364","E1",2023-11-29,"Southampton","Bristol City",1,0,"H",0,0,"D",1.59,4.33,5.8,"0-0","1-0",14,5,8,1,3,1,0,0,6,3,11,14,1,9,25,"6-3","N","N","N",4,0,1,40,300,40,360,9,360
"376","E1",2023-12-02,"Southampton","Cardiff",2,0,"H",2,0,"H",1.67,4.11,5.28,"2-0","2-0",18,6,10,3,1,1,0,0,7,3,6,9,2,10,15,"7-3","Y","N","N",2,0,2,20,100,40,200,20,400
"13","E1",2023-12-02,"Southampton","Cardiff",2,0,"H",2,0,"H",1.67,4.11,5.28,"2-0","2-0",18,6,10,3,1,1,0,0,7,3,6,9,2,10,15,"7-3","Y","N","N",2,0,2.66666666666667,42.0833333333333,366.666666666667,115.833333333333,412.5,26.8333333333333,1143.33333333333
