"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1287","E2",2024-03-16,"Barnsley","Cheltenham",0,0,"D",0,0,"D",1.8,3.89,4.48,"0-0","0-0",18,4,7,2,1,1,0,0,10,5,8,10,0,15,18,"10-5","N","N","N",2,0,0,20,100,0,300,0,0
"1302","E2",2024-03-29,"Barnsley","Cambridge",0,2,"A",0,1,"A",1.53,4.4,6.14,"0-1","0-2",17,3,7,4,2,2,0,0,0,3,8,9,2,3,17,"0-3","Y","N","N",4,0,2,40,400,80,120,6,240
"1317","E2",2024-04-01,"Burton","Barnsley",1,3,"A",1,0,"H",4.2,3.8,1.85,"1-0","1-3",12,2,14,3,0,0,0,0,5,3,10,7,4,8,17,"5-3","Y","Y","Y",0,0,4,0,0,0,0,32,0
"1329","E2",2024-04-06,"Charlton","Barnsley",2,1,"H",2,1,"H",2.79,3.51,2.53,"2-1","2-1",15,4,13,3,4,4,0,0,7,5,13,7,3,12,20,"7-5","Y","Y","N",8,0,3,80,1600,240,960,36,2880
"1341","E2",2024-04-09,"Stevenage","Barnsley",2,1,"H",1,1,"D",2.39,3.38,3.09,"1-1","2-1",18,8,10,2,2,2,0,0,10,7,11,11,3,17,22,"10-7","Y","Y","N",4,0,3,40,400,120,680,51,2040
"1344","E2",2024-04-13,"Barnsley","Reading",2,2,"D",1,1,"D",1.81,3.95,4.27,"1-1","2-2",23,9,22,5,1,0,0,0,5,7,8,9,4,12,17,"5-7","Y","Y","Y",1,0,4,10,0,40,120,48,480
"1285","E2",2024-03-12,"Bolton","Oxford",5,0,"H",2,0,"H",1.77,3.86,4.74,"2-0","5-0",20,8,4,0,0,3,0,0,6,1,9,17,5,7,26,"6-1","Y","Y","Y",3,0,5,30,0,150,210,35,1050
"1288","E2",2024-03-16,"Derby","Bolton",1,0,"H",0,0,"D",2.15,3.44,3.6,"0-0","1-0",10,3,6,3,1,1,0,0,6,6,9,13,1,12,22,"6-6","N","N","N",2,0,1,20,100,20,240,12,240
"1311","E2",2024-03-29,"Stevenage","Bolton",0,0,"D",0,0,"D",3.01,3.37,2.45,"0-0","0-0",14,3,10,4,0,2,0,0,8,4,13,11,0,12,24,"8-4","N","N","N",2,0,0,20,0,0,240,0,0
"1315","E2",2024-04-01,"Bolton","Reading",5,2,"H",2,1,"H",1.56,4.29,5.95,"2-1","5-2",18,8,18,7,2,0,0,0,13,3,9,5,7,16,14,"13-3","Y","Y","Y",2,0,7,20,0,140,320,112,2240
"1327","E2",2024-04-06,"Bristol Rvs","Bolton",0,2,"A",0,0,"D",5.37,4.13,1.63,"0-0","0-2",13,6,9,4,6,2,0,0,5,5,15,11,2,10,26,"5-5","Y","N","N",8,0,2,80,1200,160,800,20,1600
"1345","E2",2024-04-13,"Bolton","Portsmouth",1,1,"D",1,1,"D",2.21,3.51,3.31,"1-1","1-1",19,5,5,1,3,1,0,0,6,0,14,19,2,6,33,"6-0","Y","N","N",4,0,2,40,300,80,240,12,480
"13","E2",2024-04-13,"Bolton","Portsmouth",1,1,"D",1,1,"D",2.21,3.51,3.31,"1-1","1-1",19,5,5,1,3,1,0,0,6,0,14,19,2,6,33,"6-0","Y","N","N",4,0,2.75,33.3333333333333,341.666666666667,85.8333333333333,352.5,30.3333333333333,937.5
