"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"993","E2",2024-01-27,"Blackpool","Charlton",1,1,"D",0,0,"D",1.74,4.09,4.63,"0-0","1-1",16,3,13,3,1,5,0,0,9,2,7,16,2,11,23,"9-2","Y","N","N",6,0,2,60,500,120,660,22,1320
"1016","E2",2024-02-03,"Stevenage","Blackpool",1,0,"H",0,0,"D",2.4,3.37,3.12,"0-0","1-0",12,4,11,4,2,3,0,0,4,9,12,14,1,13,26,"4-9","N","N","N",5,0,1,50,600,50,650,13,650
"1022","E2",2024-02-10,"Blackpool","Oxford",1,1,"D",1,1,"D",1.89,3.71,4.21,"1-1","1-1",16,6,8,2,3,1,0,0,6,5,9,9,2,11,18,"6-5","Y","N","N",4,0,2,40,300,80,440,22,880
"1035","E2",2024-02-13,"Cheltenham","Blackpool",2,0,"H",1,0,"H",3.63,3.48,2.12,"1-0","2-0",17,8,3,1,4,3,0,0,7,3,16,13,2,10,29,"7-3","Y","N","N",7,0,2,70,1200,140,700,20,1400
"1051","E2",2024-02-17,"Peterboro","Blackpool",1,2,"A",1,0,"H",1.95,3.86,3.81,"1-0","1-2",14,4,17,8,1,4,0,0,7,1,12,11,3,8,23,"7-1","Y","Y","N",5,0,3,50,400,150,400,24,1200
"1061","E2",2024-02-24,"Blackpool","Bolton",4,1,"H",2,1,"H",2.44,3.33,3.09,"2-1","4-1",15,8,14,3,1,2,0,1,4,7,8,13,5,11,21,"4-7","Y","Y","Y",3,1,5,55,450,275,605,55,3025
"1003","E2",2024-01-27,"Wycombe","Fleetwood Town",2,2,"D",0,2,"A",1.84,3.71,4.51,"0-2","2-2",26,7,7,5,1,3,0,1,11,7,15,22,4,18,37,"11-7","Y","Y","Y",4,1,4,65,550,260,1170,72,4680
"1009","E2",2024-02-03,"Cheltenham","Wycombe",1,3,"A",0,2,"A",2.58,3.4,2.84,"0-2","1-3",13,3,11,4,1,2,0,0,8,6,7,12,4,14,19,"8-6","Y","Y","Y",3,0,4,30,200,120,420,56,1680
"1032","E2",2024-02-10,"Wycombe","Peterboro",5,2,"H",2,0,"H",3.22,3.59,2.25,"2-0","5-2",15,7,11,3,2,1,0,0,3,11,8,6,7,14,14,"3-11","Y","Y","Y",3,0,7,30,200,210,420,98,2940
"1033","E2",2024-02-13,"Bolton","Wycombe",2,1,"H",1,0,"H",1.83,3.65,4.66,"1-0","2-1",8,4,11,3,1,1,0,0,6,2,11,16,3,8,27,"6-2","Y","Y","N",2,0,3,20,100,60,160,24,480
"1054","E2",2024-02-17,"Wycombe","Oxford",0,0,"D",0,0,"D",2.26,3.47,3.29,"0-0","0-0",10,4,9,2,0,3,0,0,8,3,10,13,0,11,23,"8-3","N","N","N",3,0,0,30,0,0,330,0,0
"1069","E2",2024-02-24,"Stevenage","Wycombe",1,0,"H",1,0,"H",1.96,3.48,4.2,"1-0","1-0",11,4,6,1,1,1,0,1,8,2,9,15,1,10,24,"8-2","N","N","N",2,1,1,45,350,45,450,10,450
"13","E2",2024-02-24,"Stevenage","Wycombe",1,0,"H",1,0,"H",1.96,3.48,4.2,"1-0","1-0",11,4,6,1,1,1,0,1,8,2,9,15,1,10,24,"8-2","N","N","N",2,1,2.83333333333333,45.4166666666667,404.166666666667,125.833333333333,533.75,34.6666666666667,1558.75
