"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1062","E2",2023-02-14,"Bristol Rvs","Ipswich",0,0,"D",0,0,"D",5.51,4.05,1.64,"0-0","0-0",9,4,21,7,0,1,0,0,6,10,6,11,0,16,17,"6-10","N","N","N",1,0,0,10,0,0,160,0,0
"1073","E2",2023-02-18,"Bristol Rvs","Burton",1,2,"A",1,1,"D",2.22,3.56,3.31,"1-1","1-2",10,2,18,10,0,3,0,0,8,5,11,16,3,13,27,"8-5","Y","Y","N",3,0,3,30,0,90,390,39,1170
"1086","E2",2023-02-25,"Oxford","Bristol Rvs",0,3,"A",0,2,"A",1.95,3.89,3.77,"0-2","0-3",14,2,5,4,2,2,0,0,6,5,16,11,3,11,27,"6-5","Y","Y","N",4,0,3,40,400,120,440,33,1320
"1104","E2",2023-03-04,"Bristol Rvs","Barnsley",0,0,"D",0,0,"D",3.78,3.59,2.04,"0-0","0-0",7,2,10,3,3,2,0,0,3,7,8,14,0,10,22,"3-7","N","N","N",5,0,0,50,600,0,500,0,0
"1127","E2",2023-03-11,"Forest Green","Bristol Rvs",1,3,"A",1,2,"A",2.85,3.4,2.57,"1-2","1-3",4,2,13,6,1,3,0,0,7,7,6,9,4,14,15,"7-7","Y","Y","Y",4,0,4,40,300,160,560,56,2240
"1134","E2",2023-03-14,"Bristol Rvs","Wycombe",0,2,"A",0,1,"A",2.98,3.53,2.41,"0-1","0-2",21,6,15,8,1,2,0,0,6,3,18,8,2,9,26,"6-3","Y","N","N",3,0,2,30,200,60,270,18,540
"1096","E2",2023-02-25,"Portsmouth","Cheltenham",4,0,"H",3,0,"H",1.76,3.83,4.87,"3-0","4-0",13,6,9,1,1,5,0,0,3,3,13,16,4,6,29,"3-3","Y","Y","Y",6,0,4,60,500,240,360,24,1440
"1101","E2",2023-02-28,"Portsmouth","Bolton",3,1,"H",0,0,"D",2.78,3.28,2.72,"0-0","3-1",17,5,10,2,2,4,0,0,6,2,16,19,4,8,35,"6-2","Y","Y","Y",6,0,4,60,800,240,480,32,1920
"1105","E2",2023-03-04,"Cambridge","Portsmouth",0,1,"A",0,0,"D",3.67,3.48,2.11,"0-0","0-1",17,4,5,3,1,1,0,0,7,3,10,9,1,10,19,"7-3","N","N","N",2,0,1,20,100,20,200,10,200
"1114","E2",2023-03-07,"Barnsley","Portsmouth",3,1,"H",2,0,"H",1.98,3.43,4.19,"2-0","3-1",18,7,6,3,1,0,0,0,4,2,11,6,4,6,17,"4-2","Y","Y","Y",1,0,4,10,0,40,60,24,240
"1131","E2",2023-03-11,"Portsmouth","Sheffield Weds",0,1,"A",0,1,"A",3.9,3.38,2.07,"0-1","0-1",12,2,6,2,2,2,0,1,9,5,6,20,1,14,26,"9-5","N","N","N",4,1,1,65,900,65,910,14,910
"1133","E2",2023-03-14,"Accrington","Portsmouth",1,3,"A",0,1,"A",3.58,3.21,2.26,"0-1","1-3",20,4,10,7,3,2,1,1,7,4,12,18,4,11,30,"7-4","Y","Y","Y",5,2,4,100,2475,400,1100,44,4400
"13","E2",2023-03-14,"Accrington","Portsmouth",1,3,"A",0,1,"A",3.58,3.21,2.26,"0-1","1-3",20,4,10,7,3,2,1,1,7,4,12,18,4,11,30,"7-4","Y","Y","Y",5,2,2.5,42.9166666666667,522.916666666667,119.583333333333,452.5,24.5,1198.33333333333
