"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"144","E2",2024-08-17,"Rotherham","Bristol Rvs",0,0,"D",0,0,"D",2.02,3.55,3.58,"0-0","0-0",20,5,5,1,3,2,0,0,5,0,8,20,0,5,28,"5-0","N","N","N",5,0,0,50,600,0,250,0,0
"148","E2",2024-08-24,"Stockport","Bristol Rvs",2,0,"H",1,0,"H",1.72,3.97,4.65,"1-0","2-0",18,8,11,3,0,3,0,0,8,4,12,7,2,12,19,"8-4","Y","N","N",3,0,2,30,0,60,360,24,720
"163","E2",2024-08-31,"Bristol Rvs","Cambridge",2,0,"H",1,0,"H",2.05,3.45,3.76,"1-0","2-0",13,3,9,1,1,1,0,0,5,8,15,5,2,13,20,"5-8","Y","N","N",2,0,2,20,100,40,260,26,520
"171","E2",2024-09-07,"Barnsley","Bristol Rvs",2,1,"H",1,1,"D",1.7,4.16,4.28,"1-1","2-1",16,8,8,2,4,0,0,0,12,5,16,8,3,17,24,"12-5","Y","Y","N",4,0,3,40,0,120,680,51,2040
"178","E2",2024-09-14,"Bristol Rvs","Wigan",0,4,"A",0,2,"A",2.11,3.39,3.45,"0-2","0-4",11,2,23,8,0,1,1,0,5,4,11,12,4,9,23,"5-4","Y","Y","Y",1,1,4,35,250,140,315,36,1260
"193","E2",2024-09-21,"Peterboro","Bristol Rvs",3,2,"H",2,0,"H",1.6,4.25,4.95,"2-0","3-2",12,8,17,4,2,1,0,0,2,5,13,11,5,7,24,"2-5","Y","Y","Y",3,0,5,30,200,150,210,35,1050
"134","E2",2024-08-10,"Wrexham","Wycombe",3,2,"H",2,0,"H",2.02,3.6,3.51,"2-0","3-2",14,6,16,3,3,1,0,0,5,7,13,7,5,12,20,"5-7","Y","Y","Y",4,0,5,40,300,200,480,60,2400
"145","E2",2024-08-17,"Wycombe","Birmingham",2,3,"A",1,1,"D",3.64,3.5,2.01,"1-1","2-3",8,2,13,7,3,2,0,0,1,9,13,13,5,10,26,"1-9","Y","Y","Y",5,0,5,50,600,250,500,50,2500
"158","E2",2024-08-24,"Wycombe","Rotherham",2,0,"H",0,0,"D",2.5,3.24,2.89,"0-0","2-0",11,6,19,8,1,2,0,0,4,8,10,7,2,12,17,"4-8","Y","N","N",3,0,2,30,200,60,360,24,720
"159","E2",2024-08-31,"Blackpool","Wycombe",2,2,"D",1,1,"D",1.83,3.81,4.18,"1-1","2-2",21,9,12,5,2,1,0,0,6,1,16,14,4,7,30,"6-1","Y","Y","Y",3,0,4,30,200,120,210,28,840
"175","E2",2024-09-14,"Northampton","Wycombe",1,2,"A",1,1,"D",3.28,3.35,2.19,"1-1","1-2",5,3,14,4,2,4,0,0,5,2,10,11,3,7,21,"5-2","Y","Y","N",6,0,3,60,800,180,420,21,1260
"197","E2",2024-09-21,"Wycombe","Cambridge",2,1,"H",1,1,"D",1.69,3.92,4.68,"1-1","2-1",18,6,4,2,1,2,0,0,9,2,10,17,3,11,27,"9-2","Y","Y","N",3,0,3,30,200,90,330,33,990
"13","E2",2024-09-21,"Wycombe","Cambridge",2,1,"H",1,1,"D",1.69,3.92,4.68,"1-1","2-1",18,6,4,2,1,2,0,0,9,2,10,17,3,11,27,"9-2","Y","Y","N",3,0,3.16666666666667,37.0833333333333,287.5,117.5,364.583333333333,32.3333333333333,1191.66666666667
