"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"301","E2",2023-09-19,"Port Vale","Burton",2,3,"A",1,1,"D",1.94,3.52,4.23,"1-1","2-3",19,9,8,3,2,3,0,0,7,1,11,12,5,8,23,"7-1","Y","Y","Y",5,0,5,50,600,250,400,40,2000
"305","E2",2023-09-23,"Burton","Fleetwood Town",1,1,"D",1,1,"D",2.64,3.49,2.72,"1-1","1-1",13,2,13,4,2,0,0,0,4,5,9,9,2,9,18,"4-5","Y","N","N",2,0,2,20,0,40,180,18,360
"321","E2",2023-09-30,"Reading","Burton",0,0,"D",0,0,"D",1.96,3.66,3.96,"0-0","0-0",20,7,3,1,1,4,0,0,5,2,7,11,0,7,18,"5-2","N","N","N",5,0,0,50,400,0,350,0,0
"329","E2",2023-10-03,"Burton","Wigan",2,1,"H",0,1,"A",2.74,3.37,2.7,"0-1","2-1",15,5,12,1,2,3,1,0,3,4,14,16,3,7,30,"3-4","Y","Y","N",5,1,3,75,1350,225,525,21,1575
"348","E2",2023-10-09,"Burton","Cambridge",2,1,"H",2,0,"H",2.42,3.25,3.09,"2-0","2-1",11,3,10,2,2,0,0,0,7,7,12,5,3,14,17,"7-7","Y","Y","N",2,0,3,20,0,60,280,42,840
"297","E2",2023-09-16,"Wigan","Cambridge",2,1,"H",0,0,"D",2.15,3.71,3.35,"0-0","2-1",6,3,18,3,2,0,0,0,3,2,13,10,3,5,23,"3-2","Y","Y","N",2,0,3,20,0,60,100,15,300
"306","E2",2023-09-23,"Cambridge","Port Vale",1,1,"D",0,1,"A",2.33,3.29,3.34,"0-1","1-1",12,5,8,2,0,4,0,0,7,7,9,14,2,14,23,"7-7","Y","N","N",4,0,2,40,0,80,560,28,1120
"315","E2",2023-09-30,"Derby","Cambridge",0,0,"D",0,0,"D",1.67,4.17,5.03,"0-0","0-0",12,2,4,1,2,2,0,0,9,3,11,12,0,12,23,"9-3","N","N","N",4,0,0,40,400,0,480,0,0
"330","E2",2023-10-03,"Cambridge","Barnsley",0,4,"A",0,2,"A",2.96,3.55,2.42,"0-2","0-4",17,8,12,7,2,2,0,0,6,6,7,12,4,12,19,"6-6","Y","Y","Y",4,0,4,40,400,160,480,48,1920
"3481","E2",2023-10-09,"Burton","Cambridge",2,1,"H",2,0,"H",2.42,3.25,3.09,"2-0","2-1",11,3,10,2,2,0,0,0,7,7,12,5,3,14,17,"7-7","Y","Y","N",2,0,3,20,0,60,280,42,840
"11","E2",2023-10-09,"Burton","Cambridge",2,1,"H",2,0,"H",2.42,3.25,3.09,"2-0","2-1",11,3,10,2,2,0,0,0,7,7,12,5,3,14,17,"7-7","Y","Y","N",2,0,2.5,37.5,315,93.5,363.5,25.4,895.5
