"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1335","E2",2023-04-07,"Cambridge","Fleetwood Town",2,1,"H",1,0,"H",2.33,3.26,3.35,"1-0","2-1",13,7,10,7,4,4,0,0,2,3,9,17,3,5,26,"2-3","Y","Y","N",8,0,3,80,1600,240,400,15,1200
"1345","E2",2023-04-10,"Bolton","Cambridge",1,1,"D",0,0,"D",1.6,3.95,6.36,"0-0","1-1",8,3,10,2,3,1,0,0,2,2,13,7,2,4,20,"2-2","Y","N","N",4,0,2,40,300,80,160,8,320
"1357","E2",2023-04-15,"Cambridge","Peterboro",2,0,"H",1,0,"H",3.77,3.39,2.11,"1-0","2-0",12,4,9,2,1,2,0,0,5,3,9,15,2,8,24,"5-3","Y","N","N",3,0,2,30,200,60,240,16,480
"1371","E2",2023-04-18,"Cambridge","Wycombe",1,2,"A",0,2,"A",2.65,3.28,2.86,"0-2","1-2",14,8,13,7,0,1,0,0,6,7,8,13,3,13,21,"6-7","Y","Y","N",1,0,3,10,0,30,130,39,390
"1386","E2",2023-04-22,"Plymouth","Cambridge",3,1,"H",1,1,"D",1.69,3.93,5.23,"1-1","3-1",13,4,8,4,1,3,0,0,5,4,8,8,4,9,16,"5-4","Y","Y","Y",4,0,4,40,300,160,360,36,1440
"1396","E2",2023-04-29,"Accrington","Cambridge",1,2,"A",0,1,"A",2.73,3.35,2.72,"0-1","1-2",15,6,15,6,2,2,0,0,6,4,18,11,3,10,29,"6-4","Y","Y","N",4,0,3,40,400,120,400,30,1200
"1337","E2",2023-04-07,"Forest Green","Derby",0,2,"A",0,1,"A",5.99,3.97,1.62,"0-1","0-2",3,1,14,7,1,1,0,0,1,6,8,14,2,7,22,"1-6","Y","N","N",2,0,2,20,100,40,140,14,280
"1355","E2",2023-04-10,"Wycombe","Forest Green",2,0,"H",1,0,"H",1.53,4.32,6.27,"1-0","2-0",5,2,3,2,0,2,0,0,8,3,12,12,2,11,24,"8-3","Y","N","N",2,0,2,20,0,40,220,22,440
"1361","E2",2023-04-15,"Forest Green","Barnsley",1,5,"A",0,3,"A",6.71,4.23,1.51,"0-3","1-5",9,2,14,8,0,1,0,0,5,5,8,9,6,10,17,"5-5","Y","Y","Y",1,0,6,10,0,60,100,60,600
"1373","E2",2023-04-18,"Forest Green","Fleetwood Town",0,0,"D",0,0,"D",3.44,3.32,2.27,"0-0","0-0",3,1,15,4,1,3,0,0,4,3,12,12,0,7,24,"4-3","N","N","N",4,0,0,40,300,0,280,0,0
"1382","E2",2023-04-22,"Cheltenham","Forest Green",3,1,"H",3,0,"H",1.78,3.62,5.09,"3-0","3-1",13,7,6,3,4,2,0,0,4,1,13,11,4,5,24,"4-1","Y","Y","Y",6,0,4,60,800,240,300,20,1200
"1400","E2",2023-04-29,"Forest Green","Oxford",0,3,"A",0,1,"A",6.2,4.13,1.58,"0-1","0-3",2,1,15,6,0,0,0,0,1,5,5,8,3,6,13,"1-5","Y","Y","N",0,0,3,0,0,0,0,18,0
"13","E2",2023-04-29,"Forest Green","Oxford",0,3,"A",0,1,"A",6.2,4.13,1.58,"0-1","0-3",2,1,15,6,0,0,0,0,1,5,5,8,3,6,13,"1-5","Y","Y","N",0,0,2.83333333333333,32.5,333.333333333333,89.1666666666667,227.5,23.1666666666667,629.166666666667
