"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1200","E2",2024-03-02,"Northampton","Charlton",1,1,"D",0,1,"A",2.78,3.38,2.65,"0-1","1-1",10,1,14,4,2,2,0,0,3,6,6,15,2,9,21,"3-6","Y","N","N",4,0,2,40,400,80,360,18,720
"1206","E2",2024-03-05,"Cheltenham","Charlton",1,3,"A",0,1,"A",2.65,3.17,2.94,"0-1","1-3",19,5,16,5,0,2,0,0,2,9,2,7,4,11,9,"2-9","Y","Y","Y",2,0,4,20,0,80,220,44,880
"1213","E2",2024-03-09,"Charlton","Carlisle",3,2,"H",1,1,"D",1.56,4.3,6.12,"1-1","3-2",17,8,6,2,2,1,0,0,6,2,8,4,5,8,12,"6-2","Y","Y","Y",3,0,5,30,200,150,240,40,1200
"1234","E2",2024-03-16,"Fleetwood Town","Charlton",1,1,"D",0,1,"A",2.74,3.44,2.65,"0-1","1-1",17,7,13,7,3,1,0,0,10,6,13,7,2,16,20,"10-6","Y","N","N",4,0,2,40,300,80,640,32,1280
"1248","E2",2024-03-29,"Exeter","Charlton",1,1,"D",1,0,"H",2.79,3.38,2.6,"1-0","1-1",9,2,17,6,1,1,0,0,11,2,7,9,2,13,16,"11-2","Y","N","N",2,0,2,20,100,40,260,26,520
"1264","E2",2024-04-01,"Charlton","Stevenage",0,0,"D",0,0,"D",2.83,3.19,2.7,"0-0","0-0",10,3,14,3,1,2,0,0,1,2,12,9,0,3,21,"1-2","N","N","N",3,0,0,30,200,0,90,0,0
"1205","E2",2024-03-05,"Barnsley","Bolton",2,2,"D",1,0,"H",2.47,3.44,2.96,"1-0","2-2",9,6,20,8,2,3,0,0,3,6,14,10,4,9,24,"3-6","Y","Y","Y",5,0,4,50,600,200,450,36,1800
"1208","E2",2024-03-09,"Barnsley","Lincoln",1,5,"A",0,1,"A",2.02,3.45,4,"0-1","1-5",13,4,17,10,3,2,0,0,7,2,10,17,6,9,27,"7-2","Y","Y","Y",5,0,6,50,600,300,450,54,2700
"1220","E2",2024-03-12,"Carlisle","Barnsley",2,3,"A",1,1,"D",4.98,4.02,1.7,"1-1","2-3",7,5,24,6,0,3,0,0,6,9,5,9,5,15,14,"6-9","Y","Y","Y",3,0,5,30,0,150,450,75,2250
"1231","E2",2024-03-16,"Barnsley","Cheltenham",0,0,"D",0,0,"D",1.8,3.89,4.48,"0-0","0-0",18,4,7,2,1,1,0,0,10,5,8,10,0,15,18,"10-5","N","N","N",2,0,0,20,100,0,300,0,0
"1246","E2",2024-03-29,"Barnsley","Cambridge",0,2,"A",0,1,"A",1.53,4.4,6.14,"0-1","0-2",17,3,7,4,2,2,0,0,0,3,8,9,2,3,17,"0-3","Y","N","N",4,0,2,40,400,80,120,6,240
"1261","E2",2024-04-01,"Burton","Barnsley",1,3,"A",1,0,"H",4.2,3.8,1.85,"1-0","1-3",12,2,14,3,0,0,0,0,5,3,10,7,4,8,17,"5-3","Y","Y","Y",0,0,4,0,0,0,0,32,0
"13","E2",2024-04-01,"Burton","Barnsley",1,3,"A",1,0,"H",4.2,3.8,1.85,"1-0","1-3",12,2,14,3,0,0,0,0,5,3,10,7,4,8,17,"5-3","Y","Y","Y",0,0,3,30.8333333333333,241.666666666667,96.6666666666667,298.333333333333,30.25,965.833333333333
