"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"296","E2",2023-09-16,"Stevenage","Charlton",1,1,"D",1,0,"H",2.01,3.68,3.78,"1-0","1-1",9,3,12,1,3,3,0,0,5,4,10,16,2,9,26,"5-4","Y","N","N",6,0,2,60,900,120,540,18,1080
"308","E2",2023-09-23,"Charlton","Wycombe",3,1,"H",1,0,"H",2.23,3.6,3.24,"1-0","3-1",9,6,12,1,3,2,0,0,7,6,15,10,4,13,25,"7-6","Y","Y","Y",5,0,4,50,600,200,650,52,2600
"322","E2",2023-09-30,"Shrewsbury","Charlton",0,0,"D",0,0,"D",3.07,3.43,2.4,"0-0","0-0",15,8,14,6,1,4,0,0,7,7,6,9,0,14,15,"7-7","N","N","N",5,0,0,50,400,0,700,0,0
"332","E2",2023-10-03,"Charlton","Exeter",4,1,"H",1,1,"D",2.08,3.65,3.57,"1-1","4-1",21,10,12,3,1,0,0,1,9,5,12,10,5,14,22,"9-5","Y","Y","Y",1,1,5,35,250,175,490,70,2450
"339","E2",2023-10-07,"Charlton","Blackpool",2,2,"D",0,1,"A",2.38,3.57,3,"0-1","2-2",18,5,9,4,2,3,0,0,5,3,5,6,4,8,11,"5-3","Y","Y","Y",5,0,4,50,600,200,400,32,1600
"298","E2",2023-09-16,"Wycombe","Blackpool",2,0,"H",1,0,"H",2.81,3.43,2.59,"1-0","2-0",10,4,11,2,3,1,0,0,0,5,14,11,2,5,25,"0-5","Y","N","N",4,0,2,40,300,80,200,10,400
"302","E2",2023-09-23,"Blackpool","Reading",4,1,"H",3,0,"H",1.89,3.65,4.3,"3-0","4-1",17,6,5,4,0,1,0,0,10,3,7,12,5,13,19,"10-3","Y","Y","Y",1,0,5,10,0,50,130,65,650
"314","E2",2023-09-30,"Barnsley","Blackpool",0,1,"A",0,1,"A",2.26,3.6,3.19,"0-1","0-1",13,0,6,3,1,7,0,0,5,2,10,13,1,7,23,"5-2","N","N","N",8,0,1,80,700,80,560,7,560
"326","E2",2023-10-03,"Blackpool","Derby",1,3,"A",0,0,"D",2.35,3.38,3.2,"0-0","1-3",10,4,9,5,1,1,0,0,9,3,6,11,4,12,17,"9-3","Y","Y","Y",2,0,4,20,100,80,240,48,960
"3391","E2",2023-10-07,"Charlton","Blackpool",2,2,"D",0,1,"A",2.38,3.57,3,"0-1","2-2",18,5,9,4,2,3,0,0,5,3,5,6,4,8,11,"5-3","Y","Y","Y",5,0,4,50,600,200,400,32,1600
"11","E2",2023-10-07,"Charlton","Blackpool",2,2,"D",0,1,"A",2.38,3.57,3,"0-1","2-2",18,5,9,4,2,3,0,0,5,3,5,6,4,8,11,"5-3","Y","Y","Y",5,0,3.1,44.5,445,118.5,431,33.4,1190
