"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1048","E2",2024-02-10,"Derby","Shrewsbury",1,1,"D",0,0,"D",1.43,4.71,7.86,"0-0","1-1",8,3,7,3,2,3,0,0,4,2,7,15,2,6,22,"4-2","Y","N","N",5,0,2,50,600,100,300,12,600
"1058","E2",2024-02-13,"Exeter","Derby",0,3,"A",0,1,"A",3.65,3.5,2.11,"0-1","0-3",13,2,9,6,2,3,0,0,3,1,9,13,3,4,22,"3-1","Y","Y","N",5,0,3,50,600,150,200,12,600
"1068","E2",2024-02-17,"Derby","Stevenage",1,0,"H",0,0,"D",2.05,3.47,3.89,"0-0","1-0",5,2,4,2,0,2,0,0,2,4,13,16,1,6,29,"2-4","N","N","N",2,0,1,20,0,20,120,6,120
"1082","E2",2024-02-24,"Barnsley","Derby",2,1,"H",1,1,"D",2.78,3.46,2.61,"1-1","2-1",7,5,12,5,4,1,0,0,3,10,11,6,3,13,17,"3-10","Y","Y","N",5,0,3,50,400,150,650,39,1950
"1093","E2",2024-02-27,"Derby","Charlton",1,2,"A",1,0,"H",1.63,3.89,5.98,"1-0","1-2",12,5,7,3,2,2,0,0,4,5,11,15,3,9,26,"4-5","Y","Y","N",4,0,3,40,400,120,360,27,1080
"1103","E2",2024-03-02,"Derby","Port Vale",3,0,"H",2,0,"H",1.45,4.62,7.43,"2-0","3-0",20,6,3,0,0,2,0,0,7,4,14,9,3,11,23,"7-4","Y","Y","N",2,0,3,20,0,60,220,33,660
"1029","E2",2024-02-03,"Burton","Lincoln",0,1,"A",0,0,"D",3.07,3.21,2.52,"0-0","0-1",13,5,11,4,8,2,0,1,5,5,17,8,1,10,25,"5-5","N","N","N",10,1,1,125,3600,125,1250,10,1250
"1045","E2",2024-02-10,"Bristol Rvs","Burton",1,2,"A",0,1,"A",1.67,4.13,5.17,"0-1","1-2",7,3,13,7,0,4,0,0,5,1,12,14,3,6,26,"5-1","Y","Y","N",4,0,3,40,0,120,240,18,720
"1070","E2",2024-02-17,"Leyton Orient","Burton",1,2,"A",1,0,"H",1.56,4.16,6.31,"1-0","1-2",10,5,8,3,1,1,0,0,4,6,10,8,3,10,18,"4-6","Y","Y","N",2,0,3,20,100,60,200,30,600
"1085","E2",2024-02-24,"Burton","Northampton",0,2,"A",0,2,"A",2.65,3.26,2.87,"0-2","0-2",16,4,10,4,0,2,0,0,6,1,16,6,2,7,22,"6-1","Y","N","N",2,0,2,20,0,40,140,14,280
"1092","E2",2024-02-27,"Burton","Carlisle",0,1,"A",0,1,"A",2.03,3.45,3.97,"0-1","0-1",15,4,6,3,0,2,0,0,2,3,13,11,1,5,24,"2-3","N","N","N",2,0,1,20,0,20,100,5,100
"1102","E2",2024-03-02,"Cheltenham","Burton",0,0,"D",0,0,"D",1.86,3.57,4.6,"0-0","0-0",8,0,16,2,1,4,0,0,1,2,11,14,0,3,25,"1-2","N","N","N",5,0,0,50,400,0,150,0,0
"13","E2",2024-03-02,"Cheltenham","Burton",0,0,"D",0,0,"D",1.86,3.57,4.6,"0-0","0-0",8,0,16,2,1,4,0,0,1,2,11,14,0,3,25,"1-2","N","N","N",5,0,2.08333333333333,42.0833333333333,508.333333333333,80.4166666666667,327.5,17.1666666666667,663.333333333333
