"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"523","E2",2023-10-21,"Exeter","Wigan",0,2,"A",0,1,"A",2.17,3.7,3.29,"0-1","0-2",30,4,5,1,4,3,0,0,17,1,10,16,2,18,26,"17-1","Y","N","N",7,0,2,70,1200,140,1260,36,2520
"536","E2",2023-10-24,"Derby","Exeter",2,0,"H",1,0,"H",1.6,4.2,5.74,"1-0","2-0",26,8,3,0,2,1,0,0,4,3,9,11,2,7,20,"4-3","Y","N","N",3,0,2,30,200,60,210,14,420
"549","E2",2023-10-28,"Exeter","Lincoln",1,1,"D",0,1,"A",2.35,3.34,3.24,"0-1","1-1",16,5,12,3,4,4,0,0,7,9,10,12,2,16,22,"7-9","Y","N","N",8,0,2,80,1600,160,1280,32,2560
"568","E2",2023-11-11,"Fleetwood Town","Exeter",3,0,"H",3,0,"H",2.28,3.56,3.2,"3-0","3-0",20,12,11,7,2,2,0,0,9,5,8,19,3,14,27,"9-5","Y","Y","N",4,0,3,40,400,120,560,42,1680
"578","E2",2023-11-25,"Bolton","Exeter",7,0,"H",2,0,"H",1.47,4.55,7.21,"2-0","7-0",24,10,1,0,0,1,0,0,5,0,4,9,7,5,13,"5-0","Y","Y","Y",1,0,7,10,0,70,50,35,350
"596","E2",2023-11-28,"Exeter","Shrewsbury",0,0,"D",0,0,"D",2.13,3.43,3.68,"0-0","0-0",13,5,11,4,2,1,0,0,7,5,12,11,0,12,23,"7-5","N","N","N",3,0,0,30,200,0,360,0,0
"530","E2",2023-10-21,"Stevenage","Port Vale",0,0,"D",0,0,"D",1.85,3.68,4.51,"0-0","0-0",12,2,8,3,3,3,0,0,6,7,10,8,0,13,18,"6-7","N","N","N",6,0,0,60,900,0,780,0,0
"539","E2",2023-10-24,"Port Vale","Peterboro",0,1,"A",0,1,"A",3.44,3.6,2.15,"0-1","0-1",16,5,10,5,1,5,0,0,6,5,7,10,1,11,17,"6-5","N","N","N",6,0,1,60,500,60,660,11,660
"551","E2",2023-10-28,"Port Vale","Cheltenham",1,2,"A",1,1,"D",1.68,3.95,5.32,"1-1","1-2",16,5,9,3,2,4,0,0,11,7,12,19,3,18,31,"11-7","Y","Y","N",6,0,3,60,800,180,1080,54,3240
"570","E2",2023-11-11,"Lincoln","Port Vale",1,1,"D",0,1,"A",2.32,3.44,3.21,"0-1","1-1",15,3,6,4,0,1,1,1,9,1,5,5,2,10,10,"9-1","Y","N","N",1,2,2,60,875,120,600,20,1200
"588","E2",2023-11-25,"Shrewsbury","Port Vale",2,1,"H",1,0,"H",2.49,3.39,2.98,"1-0","2-1",10,4,22,5,4,1,0,0,2,14,14,11,3,16,25,"2-14","Y","Y","N",5,0,3,50,400,150,800,48,2400
"598","E2",2023-11-28,"Port Vale","Derby",0,1,"A",0,0,"D",3.81,3.58,2.03,"0-0","0-1",8,3,11,7,2,0,0,0,9,6,12,9,1,15,21,"9-6","N","N","N",2,0,1,20,0,20,300,15,300
"13","E2",2023-11-28,"Port Vale","Derby",0,1,"A",0,0,"D",3.81,3.58,2.03,"0-0","0-1",8,3,11,7,2,0,0,0,9,6,12,9,1,15,21,"9-6","N","N","N",2,0,2.16666666666667,47.5,589.583333333333,90,661.666666666667,25.5833333333333,1277.5
