"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1049","E2",2024-02-10,"Lincoln","Fleetwood Town",2,1,"H",0,1,"A",1.99,3.41,4.19,"0-1","2-1",20,4,3,2,3,1,0,1,6,0,11,15,3,6,26,"6-0","Y","Y","N",4,1,3,65,1050,195,390,18,1170
"1059","E2",2024-02-13,"Fleetwood Town","Reading",1,1,"D",0,0,"D",2.94,3.4,2.5,"0-0","1-1",13,5,7,4,0,3,0,0,5,2,8,9,2,7,17,"5-2","Y","N","N",3,0,2,30,0,60,210,14,420
"1069","E2",2024-02-17,"Fleetwood Town","Barnsley",1,2,"A",1,1,"D",3.51,3.79,2.06,"1-1","1-2",18,5,15,6,0,4,0,0,7,3,10,9,3,10,19,"7-3","Y","Y","N",4,0,3,40,0,120,400,30,1200
"1087","E2",2024-02-24,"Exeter","Fleetwood Town",1,1,"D",1,0,"H",2.16,3.5,3.5,"1-0","1-1",6,2,15,3,4,1,0,0,7,9,10,7,2,16,17,"7-9","Y","N","N",5,0,2,50,400,100,800,32,1600
"1096","E2",2024-02-27,"Port Vale","Fleetwood Town",2,2,"D",2,0,"H",2.46,3.37,3.03,"2-0","2-2",7,2,20,6,0,2,0,0,3,16,8,4,4,19,12,"3-16","Y","Y","Y",2,0,4,20,0,80,380,76,1520
"1104","E2",2024-03-02,"Fleetwood Town","Wigan",4,2,"H",2,2,"D",2.41,3.41,3.09,"2-2","4-2",12,6,8,3,0,1,0,0,5,4,16,9,6,9,25,"5-4","Y","Y","Y",1,0,6,10,0,60,90,54,540
"1053","E2",2024-02-10,"Wigan","Exeter",1,2,"A",0,1,"A",2.18,3.32,3.64,"0-1","1-2",13,6,8,4,2,2,0,0,11,6,13,14,3,17,27,"11-6","Y","Y","N",4,0,3,40,400,120,680,51,2040
"1061","E2",2024-02-13,"Oxford","Wigan",4,2,"H",1,1,"D",1.87,3.71,4.33,"1-1","4-2",14,5,11,5,3,4,0,0,2,5,21,8,6,7,29,"2-5","Y","Y","Y",7,0,6,70,1200,420,490,42,2940
"1075","E2",2024-02-17,"Shrewsbury","Wigan",0,1,"A",0,0,"D",2.65,3.35,2.79,"0-0","0-1",15,4,7,3,4,3,0,0,14,5,24,11,1,19,35,"14-5","N","N","N",7,0,1,70,1200,70,1330,19,1330
"1080","E2",2024-02-23,"Wigan","Cheltenham",1,1,"D",0,1,"A",2.46,3.27,3.11,"0-1","1-1",9,2,6,2,1,0,0,0,6,1,11,11,2,7,22,"6-1","Y","N","N",1,0,2,10,0,20,70,14,140
"1098","E2",2024-02-27,"Wigan","Bolton",1,0,"H",0,0,"D",3.29,3.37,2.31,"0-0","1-0",4,2,10,3,3,3,0,0,0,9,17,15,1,9,32,"0-9","N","N","N",6,0,1,60,900,60,540,9,540
"11041","E2",2024-03-02,"Fleetwood Town","Wigan",4,2,"H",2,2,"D",2.41,3.41,3.09,"2-2","4-2",12,6,8,3,0,1,0,0,5,4,16,9,6,9,25,"5-4","Y","Y","Y",1,0,6,10,0,60,90,54,540
"13","E2",2024-03-02,"Fleetwood Town","Wigan",4,2,"H",2,2,"D",2.41,3.41,3.09,"2-2","4-2",12,6,8,3,0,1,0,0,5,4,16,9,6,9,25,"5-4","Y","Y","Y",1,0,3.25,39.5833333333333,429.166666666667,113.75,455.833333333333,34.4166666666667,1165
