"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"998","E2",2024-01-27,"Lincoln","Peterboro",0,0,"D",0,0,"D",4.75,3.84,1.78,"0-0","0-0",12,3,7,3,1,1,0,0,3,6,11,14,0,9,25,"3-6","N","N","N",2,0,0,20,100,0,180,0,0
"1007","E2",2024-02-03,"Burton","Lincoln",0,1,"A",0,0,"D",3.07,3.21,2.52,"0-0","0-1",13,5,11,4,8,2,0,1,5,5,17,8,1,10,25,"5-5","N","N","N",10,1,1,125,3600,125,1250,10,1250
"1027","E2",2024-02-10,"Lincoln","Fleetwood Town",2,1,"H",0,1,"A",1.99,3.41,4.19,"0-1","2-1",20,4,3,2,3,1,0,1,6,0,11,15,3,6,26,"6-0","Y","Y","N",4,1,3,65,1050,195,390,18,1170
"1034","E2",2024-02-13,"Charlton","Lincoln",1,1,"D",0,1,"A",2.21,3.48,3.4,"0-1","1-1",9,5,5,1,3,4,0,0,5,6,12,15,2,11,27,"5-6","Y","N","N",7,0,2,70,1200,140,770,22,1540
"1049","E2",2024-02-17,"Lincoln","Exeter",1,0,"H",0,0,"D",2.21,3.22,3.69,"0-0","1-0",13,5,6,2,1,3,0,0,7,5,5,12,1,12,17,"7-5","N","N","N",4,0,1,40,300,40,480,12,480
"1067","E2",2024-02-24,"Port Vale","Lincoln",0,2,"A",0,1,"A",2.71,3.24,2.81,"0-1","0-2",10,4,5,4,4,1,0,0,2,5,9,7,2,7,16,"2-5","Y","N","N",5,0,2,50,400,100,350,14,700
"1016","E2",2024-02-03,"Stevenage","Blackpool",1,0,"H",0,0,"D",2.4,3.37,3.12,"0-0","1-0",12,4,11,4,2,3,0,0,4,9,12,14,1,13,26,"4-9","N","N","N",5,0,1,50,600,50,650,13,650
"1020","E2",2024-02-06,"Stevenage","Reading",0,1,"A",0,1,"A",1.67,3.98,5.41,"0-1","0-1",14,2,7,1,0,4,0,0,9,3,4,13,1,12,17,"9-3","N","N","N",4,0,1,40,0,40,480,12,480
"1029","E2",2024-02-10,"Port Vale","Stevenage",2,2,"D",1,0,"H",3.37,3.33,2.18,"1-0","2-2",12,4,11,4,3,4,0,0,4,1,14,13,4,5,27,"4-1","Y","Y","Y",7,0,4,70,1200,280,350,20,1400
"1042","E2",2024-02-13,"Stevenage","Bristol Rvs",2,3,"A",2,1,"H",1.78,3.77,4.78,"2-1","2-3",20,6,6,4,0,1,0,1,6,1,7,16,5,7,23,"6-1","Y","Y","Y",1,1,5,35,0,175,245,35,1225
"1046","E2",2024-02-17,"Derby","Stevenage",1,0,"H",0,0,"D",2.05,3.47,3.89,"0-0","1-0",5,2,4,2,0,2,0,0,2,4,13,16,1,6,29,"2-4","N","N","N",2,0,1,20,0,20,120,6,120
"1069","E2",2024-02-24,"Stevenage","Wycombe",1,0,"H",1,0,"H",1.96,3.48,4.2,"1-0","1-0",11,4,6,1,1,1,0,1,8,2,9,15,1,10,24,"8-2","N","N","N",2,1,1,45,350,45,450,10,450
"13","E2",2024-02-24,"Stevenage","Wycombe",1,0,"H",1,0,"H",1.96,3.48,4.2,"1-0","1-0",11,4,6,1,1,1,0,1,8,2,9,15,1,10,24,"8-2","N","N","N",2,1,1.83333333333333,52.5,733.333333333333,100.833333333333,476.25,14.3333333333333,788.75
