"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1411","E2",2023-04-10,"Derby","Milton Keynes Dons",1,1,"D",1,0,"H",1.68,3.91,5.33,"1-0","1-1",28,7,3,2,2,2,0,0,10,2,8,8,2,12,16,"10-2","Y","N","N",4,0,2,40,400,80,480,24,960
"1427","E2",2023-04-15,"Milton Keynes Dons","Cheltenham",2,2,"D",1,1,"D",2.19,3.2,3.78,"1-1","2-2",14,5,13,5,1,2,0,0,6,4,8,17,4,10,25,"6-4","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"1439","E2",2023-04-18,"Milton Keynes Dons","Charlton",0,1,"A",0,0,"D",2.42,3.36,3.1,"0-0","0-1",11,2,10,3,0,3,0,0,12,7,6,9,1,19,15,"12-7","N","N","N",3,0,1,30,0,30,570,19,570
"1447","E2",2023-04-22,"Fleetwood Town","Milton Keynes Dons",1,0,"H",1,0,"H",2.61,3.35,2.85,"1-0","1-0",19,5,17,3,2,4,0,0,6,6,12,11,1,12,23,"6-6","N","N","N",6,0,1,60,800,60,720,12,720
"1465","E2",2023-04-29,"Milton Keynes Dons","Barnsley",4,4,"D",0,1,"A",2.84,3.42,2.57,"0-1","4-4",17,8,17,9,2,2,0,0,7,3,9,7,8,10,16,"7-3","Y","Y","Y",4,0,8,40,400,320,400,80,3200
"1475","E2",2023-05-07,"Burton","Milton Keynes Dons",0,0,"D",0,0,"D",3.46,3.57,2.05,"0-0","0-0",5,2,31,6,1,1,0,0,3,12,13,10,0,15,23,"3-12","N","N","N",2,0,0,20,100,0,300,0,0
"1410","E2",2023-04-10,"Cheltenham","Ipswich",1,1,"D",0,0,"D",6.62,4.28,1.53,"0-0","1-1",7,3,23,9,1,1,0,0,5,4,7,8,2,9,15,"5-4","Y","N","N",2,0,2,20,100,40,180,18,360
"14271","E2",2023-04-15,"Milton Keynes Dons","Cheltenham",2,2,"D",1,1,"D",2.19,3.2,3.78,"1-1","2-2",14,5,13,5,1,2,0,0,6,4,8,17,4,10,25,"6-4","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"1445","E2",2023-04-22,"Cheltenham","Forest Green",3,1,"H",3,0,"H",1.78,3.62,5.09,"3-0","3-1",13,7,6,3,4,2,0,0,4,1,13,11,4,5,24,"4-1","Y","Y","Y",6,0,4,60,800,240,300,20,1200
"1457","E2",2023-04-25,"Oxford","Cheltenham",4,0,"H",1,0,"H",1.61,3.96,6.09,"1-0","4-0",13,7,10,4,0,3,0,0,4,2,12,12,4,6,24,"4-2","Y","Y","Y",3,0,4,30,0,120,180,24,720
"1470","E2",2023-04-29,"Wycombe","Cheltenham",0,3,"A",0,1,"A",1.73,3.94,4.69,"0-1","0-3",14,2,18,7,1,3,0,0,8,1,10,14,3,9,24,"8-1","Y","Y","N",4,0,3,40,300,120,360,27,1080
"1477","E2",2023-05-07,"Cheltenham","Charlton",2,2,"D",0,1,"A",2.45,3.56,2.74,"0-1","2-2",20,7,16,6,0,0,0,0,5,3,7,8,4,8,15,"5-3","Y","Y","Y",0,0,4,0,0,0,0,32,0
"13","E2",2023-05-07,"Cheltenham","Charlton",2,2,"D",0,1,"A",2.45,3.56,2.74,"0-1","2-2",20,7,16,6,0,0,0,0,5,3,7,8,4,8,15,"5-3","Y","Y","Y",0,0,3.08333333333333,33.3333333333333,275,104.166666666667,340.833333333333,28,934.166666666667
