"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"193","E2",2023-08-19,"Barnsley","Oxford",1,3,"A",0,1,"A",2.13,3.54,3.56,"0-1","1-3",14,6,14,8,3,2,0,0,9,8,10,5,4,17,15,"9-8","Y","Y","Y",5,0,4,50,600,200,850,68,3400
"211","E2",2023-08-26,"Oxford","Charlton",2,1,"H",1,0,"H",1.92,3.82,3.97,"1-0","2-1",16,5,9,3,3,6,0,0,7,1,11,16,3,8,27,"7-1","Y","Y","N",9,0,3,90,1800,270,720,24,2160
"225","E2",2023-09-02,"Oxford","Port Vale",1,2,"A",0,0,"D",1.71,3.87,5.2,"0-0","1-2",13,6,8,5,1,2,2,0,5,3,8,14,3,8,22,"5-3","Y","Y","N",3,2,3,80,1200,240,640,24,1920
"233","E2",2023-09-16,"Fleetwood Town","Oxford",0,3,"A",0,2,"A",3.22,3.59,2.25,"0-2","0-3",11,0,10,5,2,0,0,0,9,4,12,7,3,13,19,"9-4","Y","Y","N",2,0,3,20,0,60,260,39,780
"255","E2",2023-09-23,"Oxford","Exeter",3,0,"H",1,0,"H",1.81,3.83,4.51,"1-0","3-0",9,4,14,5,1,1,0,0,3,4,11,13,3,7,24,"3-4","Y","Y","N",2,0,3,20,100,60,140,21,420
"192","E2",2023-08-19,"Bolton","Wigan",0,4,"A",0,3,"A",1.79,3.81,4.63,"0-3","0-4",20,4,11,5,2,3,0,0,4,2,18,11,4,6,29,"4-2","Y","Y","Y",5,0,4,50,600,200,300,24,1200
"215","E2",2023-08-26,"Wigan","Barnsley",0,2,"A",0,1,"A",2.38,3.53,3.02,"0-1","0-2",9,1,19,8,1,3,1,0,4,5,7,14,2,9,21,"4-5","Y","N","N",4,1,2,65,1050,130,585,18,1170
"216","E2",2023-09-02,"Blackpool","Wigan",2,1,"H",1,0,"H",2.26,3.46,3.31,"1-0","2-1",14,7,6,3,3,3,0,0,4,3,14,7,3,7,21,"4-3","Y","Y","N",6,0,3,60,900,180,420,21,1260
"240","E2",2023-09-16,"Wigan","Cambridge",2,1,"H",0,0,"D",2.15,3.71,3.35,"0-0","2-1",6,3,18,3,2,0,0,0,3,2,13,10,3,5,23,"3-2","Y","Y","N",2,0,3,20,0,60,100,15,300
"247","E2",2023-09-23,"Bristol Rvs","Wigan",4,1,"H",2,1,"H",2.24,3.6,3.23,"2-1","4-1",15,6,9,3,3,2,0,0,3,5,12,15,5,8,27,"3-5","Y","Y","Y",5,0,5,50,600,250,400,40,2000
"11","E2",2023-09-23,"Bristol Rvs","Wigan",4,1,"H",2,1,"H",2.24,3.6,3.23,"2-1","4-1",15,6,9,3,3,2,0,0,3,5,12,15,5,8,27,"3-5","Y","Y","Y",5,0,3.3,50.5,685,165,441.5,29.4,1461
