"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1021","E2",2023-02-11,"Plymouth","Portsmouth",3,1,"H",1,0,"H",2.1,3.65,3.51,"1-0","3-1",20,9,23,4,2,2,0,0,4,7,15,9,4,11,24,"4-7","Y","Y","Y",4,0,4,40,400,160,440,44,1760
"1032","E2",2023-02-14,"Oxford","Plymouth",1,3,"A",1,1,"D",2.74,3.45,2.65,"1-1","1-3",9,4,14,6,3,5,0,0,6,8,17,14,4,14,31,"6-8","Y","Y","Y",8,0,4,80,1500,320,1120,56,4480
"1044","E2",2023-02-18,"Plymouth","Fleetwood Town",0,0,"D",0,0,"D",1.61,4.01,5.98,"0-0","0-0",17,2,7,0,1,6,0,0,5,4,3,16,0,9,19,"5-4","N","N","N",7,0,0,70,600,0,630,0,0
"1059","E2",2023-02-25,"Peterboro","Plymouth",5,2,"H",2,1,"H",2.04,3.74,3.62,"2-1","5-2",19,12,13,7,1,2,0,0,4,8,11,11,7,12,22,"4-8","Y","Y","Y",3,0,7,30,200,210,360,84,2520
"1074","E2",2023-03-04,"Plymouth","Charlton",2,0,"H",0,0,"D",1.91,3.8,4.04,"0-0","2-0",19,6,8,0,0,0,0,0,14,3,11,17,2,17,28,"14-3","Y","N","N",0,0,2,0,0,0,0,34,0
"1084","E2",2023-03-07,"Plymouth","Derby",2,1,"H",0,1,"A",2.7,3.49,2.66,"0-1","2-1",10,5,10,4,2,1,0,0,4,4,7,15,3,8,22,"4-4","Y","Y","N",3,0,3,30,200,90,240,24,720
"1020","E2",2023-02-11,"Peterboro","Bolton",0,5,"A",0,2,"A",2.22,3.4,3.35,"0-2","0-5",16,6,14,7,3,3,0,0,8,3,13,16,5,11,29,"8-3","Y","Y","Y",6,0,5,60,900,300,660,55,3300
"1025","E2",2023-02-14,"Bolton","Milton Keynes Dons",5,0,"H",3,0,"H",1.69,3.84,5.44,"3-0","5-0",18,11,10,2,0,0,0,0,5,4,10,7,5,9,17,"5-4","Y","Y","Y",0,0,5,0,0,0,0,45,0
"1047","E2",2023-02-18,"Wycombe","Bolton",1,0,"H",1,0,"H",2.97,3.49,2.44,"1-0","1-0",19,6,16,3,2,2,0,0,7,7,9,9,1,14,18,"7-7","N","N","N",4,0,1,40,400,40,560,14,560
"1052","E2",2023-02-25,"Bolton","Port Vale",2,1,"H",2,1,"H",1.66,3.85,5.74,"2-1","2-1",5,2,12,5,0,0,0,0,4,10,13,8,3,14,21,"4-10","Y","Y","N",0,0,3,0,0,0,0,42,0
"1065","E2",2023-02-28,"Portsmouth","Bolton",3,1,"H",0,0,"D",2.78,3.28,2.72,"0-0","3-1",17,5,10,2,2,4,0,0,6,2,16,19,4,8,35,"6-2","Y","Y","Y",6,0,4,60,800,240,480,32,1920
"1066","E2",2023-03-04,"Morecambe","Bolton",0,0,"D",0,0,"D",5.38,3.95,1.67,"0-0","0-0",11,2,13,4,1,0,0,0,2,11,12,7,0,13,19,"2-11","N","N","N",1,0,0,10,0,0,130,0,0
"13","E2",2023-03-04,"Morecambe","Bolton",0,0,"D",0,0,"D",5.38,3.95,1.67,"0-0","0-0",11,2,13,4,1,0,0,0,2,11,12,7,0,13,19,"2-11","N","N","N",1,0,3.16666666666667,35,416.666666666667,113.333333333333,385,35.8333333333333,1271.66666666667
