"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1197","E2",2024-03-02,"Fleetwood Town","Wigan",4,2,"H",2,2,"D",2.41,3.41,3.09,"2-2","4-2",12,6,8,3,0,1,0,0,5,4,16,9,6,9,25,"5-4","Y","Y","Y",1,0,6,10,0,60,90,54,540
"1219","E2",2024-03-09,"Wigan","Leyton Orient",1,0,"H",0,0,"D",3.01,3.31,2.51,"0-0","1-0",10,3,10,1,1,1,0,1,6,2,7,12,1,8,19,"6-2","N","N","N",2,1,1,45,350,45,360,8,360
"1228","E2",2024-03-12,"Wycombe","Wigan",1,0,"H",1,0,"H",1.97,3.48,4.16,"1-0","1-0",5,1,15,5,2,1,0,0,1,11,4,10,1,12,14,"1-11","N","N","N",3,0,1,30,200,30,360,12,360
"1241","E2",2024-03-16,"Wigan","Blackpool",1,0,"H",1,0,"H",3.41,3.38,2.25,"1-0","1-0",4,1,11,3,3,2,0,0,2,3,14,8,1,5,22,"2-3","N","N","N",5,0,1,50,600,50,250,5,250
"1256","E2",2024-03-29,"Wigan","Burton",1,1,"D",1,0,"H",2,3.47,3.97,"1-0","1-1",13,5,15,4,1,3,0,0,6,6,15,16,2,12,31,"6-6","Y","N","N",4,0,2,40,300,80,480,24,960
"1262","E2",2024-04-01,"Cambridge","Wigan",3,1,"H",1,0,"H",2.73,3.27,2.74,"1-0","3-1",8,3,12,3,2,2,0,0,0,4,10,14,4,4,24,"0-4","Y","Y","Y",4,0,4,40,400,160,160,16,640
"1216","E2",2024-03-09,"Port Vale","Shrewsbury",1,2,"A",0,1,"A",2.29,3.34,3.37,"0-1","1-2",16,3,8,2,3,2,0,0,8,7,12,14,3,15,26,"8-7","Y","Y","N",5,0,3,50,600,150,750,45,2250
"1223","E2",2024-03-12,"Leyton Orient","Port Vale",0,0,"D",0,0,"D",1.59,4.02,6.3,"0-0","0-0",7,2,10,2,0,1,0,0,9,2,9,4,0,11,13,"9-2","N","N","N",1,0,0,10,0,0,110,0,0
"1237","E2",2024-03-16,"Port Vale","Oxford",0,2,"A",0,1,"A",3.43,3.42,2.22,"0-1","0-2",8,0,14,6,2,0,0,0,3,7,14,12,2,10,26,"3-7","Y","N","N",2,0,2,20,0,40,200,20,400
"1243","E2",2024-03-23,"Burton","Port Vale",0,1,"A",0,0,"D",2.32,3.3,3.34,"0-0","0-1",12,2,16,5,2,0,0,0,6,6,12,11,1,12,23,"6-6","N","N","N",2,0,1,20,0,20,240,12,240
"1252","E2",2024-03-29,"Port Vale","Bristol Rvs",2,0,"H",1,0,"H",2.48,3.41,2.93,"1-0","2-0",19,11,2,0,0,2,0,0,7,6,6,8,2,13,14,"7-6","Y","N","N",2,0,2,20,0,40,260,26,520
"1267","E2",2024-04-01,"Northampton","Port Vale",2,0,"H",1,0,"H",2.54,3.31,2.92,"1-0","2-0",8,3,13,4,2,2,0,0,2,2,9,9,2,4,18,"2-2","Y","N","N",4,0,2,40,400,80,160,8,320
"13","E2",2024-04-01,"Northampton","Port Vale",2,0,"H",1,0,"H",2.54,3.31,2.92,"1-0","2-0",8,3,13,4,2,2,0,0,2,2,9,9,2,4,18,"2-2","Y","N","N",4,0,2.08333333333333,31.25,237.5,62.9166666666667,285,19.1666666666667,570
