"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"313","E3",2023-08-26,"Salford","Accrington",1,2,"A",0,2,"A",1.77,3.84,4.59,"0-2","1-2",16,2,16,6,3,3,0,0,1,6,20,10,3,7,30,"1-6","Y","Y","N",6,0,3,60,900,180,420,21,1260
"324","E3",2023-09-02,"Notts County","Accrington",3,1,"H",1,1,"D",1.59,4.51,5.32,"1-1","3-1",10,5,16,6,4,2,0,0,2,7,11,11,4,9,22,"2-7","Y","Y","Y",6,0,4,60,800,240,540,36,2160
"329","E3",2023-09-09,"Accrington","Mansfield",0,3,"A",0,2,"A",3.56,3.57,2.11,"0-2","0-3",13,2,12,5,1,1,0,0,5,4,13,17,3,9,30,"5-4","Y","Y","N",2,0,3,20,100,60,180,27,540
"340","E3",2023-09-16,"Accrington","Sutton",4,1,"H",1,0,"H",2.09,3.63,3.57,"1-0","4-1",15,5,12,1,3,1,0,0,2,3,10,12,5,5,22,"2-3","Y","Y","Y",4,0,5,40,300,200,200,25,1000
"361","E3",2023-09-23,"Tranmere","Accrington",2,0,"H",1,0,"H",2.74,3.49,2.62,"1-0","2-0",17,7,9,3,0,3,0,1,8,6,11,16,2,14,27,"8-6","Y","N","N",3,1,2,55,0,110,770,28,1540
"309","E3",2023-08-26,"Mansfield","Stockport",3,2,"H",1,2,"A",2.36,3.36,3.22,"1-2","3-2",28,11,10,3,1,0,0,0,11,1,5,7,5,12,12,"11-1","Y","Y","Y",1,0,5,10,0,50,120,60,600
"325","E3",2023-09-02,"Stockport","Crawley Town",3,3,"D",2,1,"H",1.56,4.35,6.01,"2-1","3-3",17,5,8,5,1,5,0,0,2,3,7,12,6,5,19,"2-3","Y","Y","Y",6,0,6,60,500,360,300,30,1800
"330","E3",2023-09-09,"AFC Wimbledon","Stockport",1,2,"A",1,0,"H",2.81,3.34,2.65,"1-0","1-2",9,4,12,3,2,2,0,0,3,5,13,7,3,8,20,"3-5","Y","Y","N",4,0,3,40,400,120,320,24,960
"347","E3",2023-09-16,"Milton Keynes Dons","Stockport",1,2,"A",1,2,"A",3.03,3.61,2.35,"1-2","1-2",20,3,10,5,4,2,0,0,9,4,11,10,3,13,21,"9-4","Y","Y","N",6,0,3,60,800,180,780,39,2340
"359","E3",2023-09-23,"Stockport","Wrexham",5,0,"H",3,0,"H",2.52,3.73,2.72,"3-0","5-0",10,5,20,5,1,1,0,0,1,5,10,13,5,6,23,"1-5","Y","Y","Y",2,0,5,20,100,100,120,30,600
"11","E3",2023-09-23,"Stockport","Wrexham",5,0,"H",3,0,"H",2.52,3.73,2.72,"3-0","5-0",10,5,20,5,1,1,0,0,1,5,10,13,5,6,23,"1-5","Y","Y","Y",2,0,3.9,42.5,390,160,375,32,1280
