"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1602","E3",2023-03-04,"Carlisle","Grimsby",2,0,"H",2,0,"H",1.72,3.62,5.53,"2-0","2-0",13,5,3,1,1,2,0,0,2,1,9,17,2,3,26,"2-1","Y","N","N",3,0,2,30,200,60,90,6,180
"1627","E3",2023-03-11,"Swindon","Carlisle",1,2,"A",0,0,"D",2.86,3.39,2.57,"0-0","1-2",10,2,7,3,4,3,0,0,3,6,10,12,3,9,22,"3-6","Y","Y","N",7,0,3,70,1200,210,630,27,1890
"1635","E3",2023-03-18,"Carlisle","Stevenage",0,0,"D",0,0,"D",2.64,3.12,3,"0-0","0-0",10,1,9,0,2,3,0,0,4,3,11,12,0,7,23,"4-3","N","N","N",5,0,0,50,600,0,350,0,0
"1644","E3",2023-03-21,"Bradford","Carlisle",0,0,"D",0,0,"D",2.4,3.16,3.33,"0-0","0-0",8,1,10,1,1,3,0,0,3,4,7,11,0,7,18,"3-4","N","N","N",4,0,0,40,300,0,280,0,0
"1652","E3",2023-03-25,"Gillingham","Carlisle",1,0,"H",0,0,"D",3.38,3.07,2.43,"0-0","1-0",9,3,3,1,2,5,0,0,6,3,12,17,1,9,29,"6-3","N","N","N",7,0,1,70,1000,70,630,9,630
"1668","E3",2023-04-01,"Leyton Orient","Carlisle",1,0,"H",0,0,"D",2.29,3.09,3.67,"0-0","1-0",12,3,7,2,4,1,1,0,5,7,10,16,1,12,26,"5-7","N","N","N",5,1,1,75,650,75,900,12,900
"1599","E3",2023-02-28,"Tranmere","Crawley Town",1,0,"H",0,0,"D",1.65,3.96,5.55,"0-0","1-0",9,4,13,4,1,0,0,0,7,8,16,14,1,15,30,"7-8","N","N","N",1,0,1,10,0,10,150,15,150
"1610","E3",2023-03-04,"Tranmere","Hartlepool",1,1,"D",0,1,"A",1.83,3.69,4.62,"0-1","1-1",15,5,10,5,0,1,0,0,7,6,12,16,2,13,28,"7-6","Y","N","N",1,0,2,10,0,20,130,26,260
"1622","E3",2023-03-11,"Gillingham","Tranmere",2,0,"H",1,0,"H",2.65,2.94,3.18,"1-0","2-0",14,6,7,2,0,1,0,0,8,3,9,13,2,11,22,"8-3","Y","N","N",1,0,2,10,0,20,110,22,220
"1642","E3",2023-03-18,"Tranmere","Newport County",1,3,"A",0,2,"A",2.73,3.16,2.85,"0-2","1-3",18,5,13,4,1,1,0,0,10,1,7,11,4,11,18,"10-1","Y","Y","Y",2,0,4,20,100,80,220,44,880
"1649","E3",2023-03-25,"Colchester","Tranmere",1,1,"D",0,1,"A",2.52,3.16,3.13,"0-1","1-1",14,5,13,5,5,8,0,0,7,3,14,13,2,10,27,"7-3","Y","N","N",13,0,2,130,4000,260,1300,20,2600
"1661","E3",2023-03-31,"Tranmere","Harrogate",1,1,"D",1,1,"D",2.19,3.4,3.53,"1-1","1-1",12,1,16,9,3,3,0,0,3,4,10,10,2,7,20,"3-4","Y","N","N",6,0,2,60,900,120,420,14,840
"13","E3",2023-03-31,"Tranmere","Harrogate",1,1,"D",1,1,"D",2.19,3.4,3.53,"1-1","1-1",12,1,16,9,3,3,0,0,3,4,10,10,2,7,20,"3-4","Y","N","N",6,0,1.66666666666667,47.9166666666667,745.833333333333,77.0833333333333,434.166666666667,16.25,712.5
