"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1475","E3",2023-02-11,"Grimsby","Colchester",0,1,"A",0,1,"A",2.12,3.41,3.71,"0-1","0-1",11,1,7,2,1,2,0,0,2,3,10,12,1,5,22,"2-3","N","N","N",3,0,1,30,200,30,150,5,150
"1486","E3",2023-02-14,"Colchester","Walsall",0,0,"D",0,0,"D",2.66,3.26,2.86,"0-0","0-0",6,2,7,1,2,1,0,0,0,7,10,12,0,7,22,"0-7","N","N","N",3,0,0,30,200,0,210,0,0
"1499","E3",2023-02-18,"Carlisle","Colchester",1,0,"H",1,0,"H",2.05,3.38,3.97,"1-0","1-0",12,3,8,0,0,0,0,0,1,5,7,7,1,6,14,"1-5","N","N","N",0,0,1,0,0,0,0,6,0
"1513","E3",2023-02-25,"Colchester","Northampton",0,1,"A",0,1,"A",3.14,3.2,2.49,"0-1","0-1",9,4,13,5,3,5,0,0,9,5,6,14,1,14,20,"9-5","N","N","N",8,0,1,80,1500,80,1120,14,1120
"1530","E3",2023-03-04,"Bradford","Colchester",2,0,"H",0,0,"D",1.85,3.54,4.71,"0-0","2-0",16,3,9,4,3,1,0,0,5,5,12,12,2,10,24,"5-5","Y","N","N",4,0,2,40,300,80,400,20,800
"1548","E3",2023-03-11,"Colchester","Stockport",0,1,"A",0,1,"A",4.11,3.31,2.05,"0-1","0-1",10,0,13,5,2,2,0,0,7,7,9,14,1,14,23,"7-7","N","N","N",4,0,1,40,400,40,560,14,560
"1496","E3",2023-02-18,"Northampton","Grimsby",1,2,"A",1,0,"H",2.06,3.35,3.98,"1-0","1-2",12,6,9,4,1,4,0,0,6,4,8,15,3,10,23,"6-4","Y","Y","N",5,0,3,50,400,150,500,30,1500
"15131","E3",2023-02-25,"Colchester","Northampton",0,1,"A",0,1,"A",3.14,3.2,2.49,"0-1","0-1",9,4,13,5,3,5,0,0,9,5,6,14,1,14,20,"9-5","N","N","N",8,0,1,80,1500,80,1120,14,1120
"1527","E3",2023-02-28,"Harrogate","Northampton",1,1,"D",0,0,"D",4.03,3.28,2.08,"0-0","1-1",5,2,10,1,1,1,0,0,5,2,16,12,2,7,28,"5-2","Y","N","N",2,0,2,20,100,40,140,14,280
"1534","E3",2023-03-04,"Northampton","Crawley Town",1,0,"H",0,0,"D",1.53,4.32,6.65,"0-0","1-0",14,6,9,1,3,5,1,0,7,5,9,15,1,12,24,"7-5","N","N","N",8,1,1,105,2750,105,1260,12,1260
"1553","E3",2023-03-11,"Hartlepool","Northampton",1,1,"D",1,0,"H",3.82,3.52,2.02,"1-0","1-1",8,4,13,6,1,0,0,0,6,4,10,9,2,10,19,"6-4","Y","N","N",1,0,2,10,0,20,100,20,200
"1558","E3",2023-03-14,"Northampton","Mansfield",1,0,"H",1,0,"H",2.44,3.19,3.22,"1-0","1-0",14,4,9,2,1,3,0,1,6,1,9,12,1,7,21,"6-1","N","N","N",4,1,1,65,550,65,455,7,455
"13","E3",2023-03-14,"Northampton","Mansfield",1,0,"H",1,0,"H",2.44,3.19,3.22,"1-0","1-0",14,4,9,2,1,3,0,1,6,1,9,12,1,7,21,"6-1","N","N","N",4,1,1.33333333333333,45.8333333333333,658.333333333333,57.5,501.25,13,620.416666666667
