"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1614","E3",2023-03-07,"Stockport","Gillingham",0,0,"D",0,0,"D",1.67,3.67,6.07,"0-0","0-0",17,3,2,0,0,2,0,0,7,0,7,13,0,7,20,"7-0","N","N","N",2,0,0,20,0,0,140,0,0
"1622","E3",2023-03-11,"Gillingham","Tranmere",2,0,"H",1,0,"H",2.65,2.94,3.18,"1-0","2-0",14,6,7,2,0,1,0,0,8,3,9,13,2,11,22,"8-3","Y","N","N",1,0,2,10,0,20,110,22,220
"1643","E3",2023-03-18,"Walsall","Gillingham",2,0,"H",0,0,"D",2.23,3.09,3.81,"0-0","2-0",12,6,13,0,2,1,0,0,7,4,10,14,2,11,24,"7-4","Y","N","N",3,0,2,30,200,60,330,22,660
"1646","E3",2023-03-21,"Gillingham","Crewe",2,1,"H",0,0,"D",1.79,3.44,5.3,"0-0","2-1",8,4,13,3,2,1,0,0,3,3,11,13,3,6,24,"3-3","Y","Y","N",3,0,3,30,200,90,180,18,540
"1652","E3",2023-03-25,"Gillingham","Carlisle",1,0,"H",0,0,"D",3.38,3.07,2.43,"0-0","1-0",9,3,3,1,2,5,0,0,6,3,12,17,1,9,29,"6-3","N","N","N",7,0,1,70,1000,70,630,9,630
"1664","E3",2023-04-01,"Barrow","Gillingham",2,1,"H",1,0,"H",2.3,3.08,3.65,"1-0","2-1",12,7,6,1,2,2,0,0,3,1,16,14,3,4,30,"3-1","Y","Y","N",4,0,3,40,400,120,160,12,480
"1612","E3",2023-03-07,"Doncaster","Harrogate",0,2,"A",0,0,"D",2.01,3.45,4.05,"0-0","0-2",14,1,14,8,1,0,0,0,4,5,7,8,2,9,15,"4-5","Y","N","N",1,0,2,10,0,20,90,18,180
"1621","E3",2023-03-11,"Doncaster","AFC Wimbledon",2,1,"H",2,1,"H",2.55,3.16,3.08,"2-1","2-1",10,3,13,6,2,0,0,0,9,2,9,10,3,11,19,"9-2","Y","Y","N",2,0,3,20,0,60,220,33,660
"1640","E3",2023-03-18,"Salford","Doncaster",3,1,"H",2,1,"H",1.84,3.67,4.54,"2-1","3-1",20,7,6,1,2,1,0,0,9,5,9,12,4,14,21,"9-5","Y","Y","Y",3,0,4,30,200,120,420,56,1680
"1645","E3",2023-03-21,"Crawley Town","Doncaster",1,1,"D",0,1,"A",2.41,3.46,3.03,"0-1","1-1",15,6,2,1,1,4,0,0,9,0,4,10,2,9,14,"9-0","Y","N","N",5,0,2,50,400,100,450,18,900
"1651","E3",2023-03-25,"Doncaster","Northampton",0,2,"A",0,1,"A",3.9,3.31,2.1,"0-1","0-2",10,2,10,5,2,3,0,0,3,4,11,14,2,7,25,"3-4","Y","N","N",5,0,2,50,600,100,350,14,700
"1666","E3",2023-04-01,"Doncaster","Crewe",0,2,"A",0,2,"A",2.04,3.59,3.78,"0-2","0-2",6,3,11,5,0,0,0,0,3,9,11,10,2,12,21,"3-9","Y","N","N",0,0,2,0,0,0,0,24,0
"13","E3",2023-04-01,"Doncaster","Crewe",0,2,"A",0,2,"A",2.04,3.59,3.78,"0-2","0-2",6,3,11,5,0,0,0,0,3,9,11,10,2,12,21,"3-9","Y","N","N",0,0,2.16666666666667,30,250,63.3333333333333,256.666666666667,20.5,554.166666666667
