"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1407","E3",2023-02-04,"Bradford","Mansfield",1,1,"D",1,0,"H",2.66,3.32,2.81,"1-0","1-1",12,7,12,6,1,3,0,0,9,4,6,18,2,13,24,"9-4","Y","N","N",4,0,2,40,300,80,520,26,1040
"1426","E3",2023-02-11,"Mansfield","Gillingham",2,0,"H",2,0,"H",1.85,3.53,4.68,"2-0","2-0",17,6,8,3,2,3,0,0,5,5,12,11,2,10,23,"5-5","Y","N","N",5,0,2,50,600,100,500,20,1000
"1433","E3",2023-02-14,"Carlisle","Mansfield",0,4,"A",0,4,"A",2.46,3.19,3.2,"0-4","0-4",12,3,16,6,3,1,0,0,5,4,8,13,4,9,21,"5-4","Y","Y","Y",4,0,4,40,300,160,360,36,1440
"1454","E3",2023-02-18,"Tranmere","Mansfield",0,2,"A",0,1,"A",2.9,3.06,2.76,"0-1","0-2",11,0,12,7,0,1,0,0,4,5,9,8,2,9,17,"4-5","Y","N","N",1,0,2,10,0,20,90,18,180
"1468","E3",2023-02-25,"Mansfield","Salford",2,5,"A",1,2,"A",2,3.56,3.92,"1-2","2-5",19,5,14,8,4,1,0,0,6,6,12,4,7,12,16,"6-6","Y","Y","Y",5,0,7,50,400,350,600,84,4200
"1477","E3",2023-03-04,"AFC Wimbledon","Mansfield",1,3,"A",1,1,"D",3.37,3.24,2.34,"1-1","1-3",12,2,11,4,1,4,0,0,2,4,13,11,4,6,24,"2-4","Y","Y","Y",5,0,4,50,400,200,300,24,1200
"1418","E3",2023-02-07,"Crewe","Leyton Orient",0,2,"A",0,1,"A",5.35,3.3,1.83,"0-1","0-2",5,1,12,3,1,0,0,0,4,9,12,13,2,13,25,"4-9","Y","N","N",1,0,2,10,0,20,130,26,260
"1431","E3",2023-02-11,"Walsall","Leyton Orient",1,1,"D",1,0,"H",2.64,3.01,3.11,"1-0","1-1",8,2,16,5,3,1,0,0,4,4,8,4,2,8,12,"4-4","Y","N","N",4,0,2,40,300,80,320,16,640
"1438","E3",2023-02-14,"Leyton Orient","Rochdale",2,1,"H",2,0,"H",1.66,3.74,5.99,"2-0","2-1",22,8,7,4,1,4,0,0,6,3,10,12,3,9,22,"6-3","Y","Y","N",5,0,3,50,400,150,450,27,1350
"1449","E3",2023-02-18,"Leyton Orient","Crawley Town",1,0,"H",0,0,"D",1.58,4,6.52,"0-0","1-0",16,1,2,0,2,1,0,0,9,4,9,8,1,13,17,"9-4","N","N","N",3,0,1,30,200,30,390,13,390
"1466","E3",2023-02-25,"Grimsby","Leyton Orient",2,2,"D",0,1,"A",3.21,3.29,2.39,"0-1","2-2",11,6,5,3,1,3,0,0,1,1,6,7,4,2,13,"1-1","Y","Y","Y",4,0,4,40,300,160,80,8,320
"1481","E3",2023-03-04,"Leyton Orient","Swindon",1,1,"D",1,0,"H",1.96,3.43,4.3,"1-0","1-1",11,4,8,4,1,1,0,0,12,2,11,8,2,14,19,"12-2","Y","N","N",2,0,2,20,100,40,280,28,560
"13","E3",2023-03-04,"Leyton Orient","Swindon",1,1,"D",1,0,"H",1.96,3.43,4.3,"1-0","1-1",11,4,8,4,1,1,0,0,12,2,11,8,2,14,19,"12-2","Y","N","N",2,0,2.91666666666667,35.8333333333333,275,115.833333333333,335,27.1666666666667,1048.33333333333
