"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1087","E3",2023-12-16,"Newport County","Grimsby",1,1,"D",0,0,"D",2.79,3.2,2.76,"0-0","1-1",19,3,19,5,1,0,0,0,10,2,8,6,2,12,14,"10-2","Y","N","N",1,0,2,10,0,20,120,24,240
"1104","E3",2023-12-23,"Wrexham","Newport County",2,0,"H",0,0,"D",1.43,4.98,7.34,"0-0","2-0",16,5,9,2,0,1,0,0,7,5,9,9,2,12,18,"7-5","Y","N","N",1,0,2,10,0,20,120,24,240
"1112","E3",2023-12-26,"Newport County","Forest Green",4,2,"H",0,2,"A",2.11,3.65,3.52,"0-2","4-2",13,8,12,4,3,4,0,1,7,7,10,22,6,14,32,"7-7","Y","Y","Y",7,1,6,95,1950,570,1330,84,7980
"1124","E3",2023-12-29,"Newport County","Crewe",1,1,"D",0,0,"D",2.25,3.71,3.13,"0-0","1-1",19,3,22,4,0,1,0,0,7,5,10,6,2,12,16,"7-5","Y","N","N",1,0,2,10,0,20,120,24,240
"1138","E3",2024-01-01,"Sutton","Newport County",1,1,"D",0,0,"D",2.49,3.41,2.96,"0-0","1-1",13,4,11,2,1,0,0,0,3,7,8,5,2,10,13,"3-7","Y","N","N",1,0,2,10,0,20,100,20,200
"1151","E3",2024-01-13,"Doncaster","Newport County",0,1,"A",0,0,"D",2.2,3.94,3.07,"0-0","0-1",13,5,5,1,1,2,0,0,2,4,12,16,1,6,28,"2-4","N","N","N",3,0,1,30,200,30,180,6,180
"1092","E3",2023-12-16,"Wrexham","Colchester",2,1,"H",1,0,"H",1.41,5.19,7.44,"1-0","2-1",11,5,18,4,3,2,1,0,4,7,8,7,3,11,15,"4-7","Y","Y","N",5,1,3,75,1100,225,825,33,2475
"11041","E3",2023-12-23,"Wrexham","Newport County",2,0,"H",0,0,"D",1.43,4.98,7.34,"0-0","2-0",16,5,9,2,0,1,0,0,7,5,9,9,2,12,18,"7-5","Y","N","N",1,0,2,10,0,20,120,24,240
"1115","E3",2023-12-26,"Swindon","Wrexham",0,1,"A",0,1,"A",4.12,4.12,1.82,"0-1","0-1",16,3,15,4,1,0,0,1,8,5,8,10,1,13,18,"8-5","N","N","N",1,1,1,35,250,35,455,13,455
"1128","E3",2023-12-29,"Walsall","Wrexham",3,1,"H",1,1,"D",3.47,3.71,2.1,"1-1","3-1",22,8,16,5,3,1,0,0,2,4,7,9,4,6,16,"2-4","Y","Y","Y",4,0,4,40,300,160,240,24,960
"1140","E3",2024-01-01,"Wrexham","Barrow",4,1,"H",3,1,"H",1.91,3.7,4.16,"3-1","4-1",16,10,7,3,1,4,0,0,3,0,12,14,5,3,26,"3-0","Y","Y","Y",5,0,5,50,400,250,150,15,750
"1158","E3",2024-01-13,"Wrexham","AFC Wimbledon",2,0,"H",0,0,"D",1.89,3.85,4.04,"0-0","2-0",10,5,17,1,1,1,0,0,5,5,11,13,2,10,24,"5-5","Y","N","N",2,0,2,20,100,40,200,20,400
"13","E3",2024-01-13,"Wrexham","AFC Wimbledon",2,0,"H",0,0,"D",1.89,3.85,4.04,"0-0","2-0",10,5,17,1,1,1,0,0,5,5,11,13,2,10,24,"5-5","Y","N","N",2,0,2.66666666666667,32.9166666666667,358.333333333333,117.5,330,25.9166666666667,1196.66666666667
