"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1404","E3",2024-01-27,"Notts County","Barrow",1,1,"D",1,1,"D",2.16,3.9,3.19,"1-1","1-1",9,1,11,3,1,4,0,0,6,8,9,11,2,14,20,"6-8","Y","N","N",5,0,2,50,400,100,700,28,1400
"1415","E3",2024-02-03,"Mansfield","Notts County",1,0,"H",1,0,"H",1.86,4.03,3.98,"1-0","1-0",13,7,13,1,4,0,0,0,3,8,16,6,1,11,22,"3-8","N","N","N",4,0,1,40,0,40,440,11,440
"1420","E3",2024-02-09,"Notts County","Gillingham",1,3,"A",1,2,"A",2.21,3.68,3.23,"1-2","1-3",11,4,11,4,2,1,0,0,4,4,9,13,4,8,22,"4-4","Y","Y","Y",3,0,4,30,200,120,240,32,960
"1438","E3",2024-02-13,"Newport County","Notts County",1,3,"A",0,2,"A",2.65,3.87,2.51,"0-2","1-3",11,3,13,8,0,0,0,0,9,6,5,11,4,15,16,"9-6","Y","Y","Y",0,0,4,0,0,0,0,60,0
"1454","E3",2024-02-17,"Wrexham","Notts County",1,0,"H",1,0,"H",2.04,3.84,3.52,"1-0","1-0",16,4,11,3,1,2,0,0,7,8,8,7,1,15,15,"7-8","N","N","N",3,0,1,30,200,30,450,15,450
"1467","E3",2024-02-24,"Notts County","Crewe",1,3,"A",0,2,"A",1.92,3.99,3.8,"0-2","1-3",14,6,9,3,4,4,0,0,9,4,11,7,4,13,18,"9-4","Y","Y","Y",8,0,4,80,1600,320,1040,52,4160
"1379","E3",2024-01-13,"Colchester","Bradford",1,1,"D",0,1,"A",3.73,3.63,2.04,"0-1","1-1",6,3,22,3,0,0,0,0,2,8,5,11,2,10,16,"2-8","Y","N","N",0,0,2,0,0,0,0,20,0
"1403","E3",2024-01-27,"Morecambe","Colchester",0,1,"A",0,1,"A",2.3,3.61,3.11,"0-1","0-1",8,1,16,3,3,2,0,0,3,9,7,11,1,12,18,"3-9","N","N","N",5,0,1,50,600,50,600,12,600
"1412","E3",2024-02-03,"Colchester","Forest Green",3,3,"D",0,2,"A",2.29,3.73,3.05,"0-2","3-3",20,5,11,3,1,1,0,0,5,5,14,10,6,10,24,"5-5","Y","Y","Y",2,0,6,20,100,120,200,60,1200
"1426","E3",2024-02-10,"Harrogate","Colchester",1,0,"H",0,0,"D",2.19,3.62,3.33,"0-0","1-0",11,6,25,5,1,3,0,0,7,9,4,12,1,16,16,"7-9","N","N","N",4,0,1,40,300,40,640,16,640
"1445","E3",2024-02-17,"Colchester","Accrington",1,1,"D",1,0,"H",2.42,3.59,2.94,"1-0","1-1",17,5,8,1,3,1,0,1,6,4,16,10,2,10,26,"6-4","Y","N","N",4,1,2,65,1050,130,650,20,1300
"1469","E3",2024-02-24,"Sutton","Colchester",1,1,"D",1,1,"D",2.52,3.43,2.9,"1-1","1-1",16,4,11,4,2,3,0,0,5,5,15,12,2,10,27,"5-5","Y","N","N",5,0,2,50,600,100,500,20,1000
"13","E3",2024-02-24,"Sutton","Colchester",1,1,"D",1,1,"D",2.52,3.43,2.9,"1-1","1-1",16,4,11,4,2,3,0,0,5,5,15,12,2,10,27,"5-5","Y","N","N",5,0,2.5,37.9166666666667,420.833333333333,87.5,455,28.8333333333333,1012.5
